阿拉伯語,阿拉伯语,Ā lā bó yǔ,"Arabic (language)"
負有,负有,fù yoǔ,"to be responsible for"
附,附,fù,"comply with, agree to, appose, attachment, enclose, get close to, enclosure, depend on, add, be near, rely on, attach"
附帶,附带,fù dài,"supplementary, incidentally, in parentheses, by chance, in passing, additionally, secondary, subsidiary, to attach"
附和,附和,fù hè,"to agree, to go along with, to echo (what sb says)"
附加,附加,fùjiā,"hang on, supervene, suffix, additional, affix, superimpose, inset, tack on, tack, attachment, tag on, append, add, subjoin, annex, engraft, attach"
附屬,附属,fùshǔ,"adjunct, belong, pertain, appertain, affiliated, be attached, attached, adjective, auxiliary, be affiliated, subsidiary"
赴,赴,fù,"repair, attendance, go, go to, come, seek, attend, betake"
復查,复查,fù chá,"rechecking, re-inspection, reexamination"
復發,复发,fù fā,"to recur (of a disease), to reappear, to relapse (into a former bad state)"
複合,复合,fù hé, fù hé,"complex, compound, composite, hybrid"
復活,复活,fù huó,"resurrection"
復興,复兴,Fù xīng, fù xīng,"Fuxing district of Handan city 邯鄲市|邯郸市[Han2 dan1 shi4], Hebei, Fuxing or Fuhsing township in Taoyuan county 桃園縣|桃园县[Tao2 yuan2 xian4], north Taiwan, to revive, to rejuvenate"
復原,复原,fù yuán,"to restore (sth) to (its) former condition, to recover from illness, recovery"
副作用,副作用,fùzuòyòng,side-effect
賦予,赋予,fùyǔ,"indue, endow, lend, girt, gift, endue, entrust, inspire, give, impart, confer, grant"
富含,富含,fùhán,"Rich"
富豪,富豪,fù háo,"rich and powerful person"
富強,富强,fù qiáng,"rich and powerful"
富翁,富翁,fù wēng,"rich person, millionaire, billionaire"
富裕,富裕,fùyū,"plentiful, abundant, rich"
富足,富足,fù zú,"rich, plentiful"
腹部,腹部,fù bù,"abdomen, belly, flank"
腹瀉,腹泻,fù xiè,"diarrhea, to have the runs"
覆蓋,覆盖,fù gài,"to cover"
該,该,gāi,"det.: this, that"
改版,改版,gǎi bǎn,"to revise the current edition, revised edition"
改編,改编,gǎibiān,"adapt, rearrange, revise"
改動,改动,gǎi dòng,"to alter, to modify, to revise"
改革開放,改革开放,gǎi gé kāi fàng,"to reform and open to the outside world, refers to Deng Xiaoping's policies from around 1980"
改良,改良,gǎiliáng,"improve, ameliorate"
改名,改名,gǎi míng,"to change one's name"
改日,改日,gǎi rì,"another day, some other day"
改為,改为,gǎiwéi,"change ... into, change to"
改邪歸正,改邪归正,gǎi xié guī zhèng,"to mend one's ways (idiom), to turn over a new leaf"
鈣,钙,gài,"atomic number 20, calcium, Ca, calcic"
蓋子,盖子,gài zi,"cover, lid, shell"
概況,概况,gài kuàng,"general situation, summary"
概率,概率,gài lǜ,"probability (math.)"
概論,概论,gài lùn,"outline, introduction, survey, general discussion"
干戈,干戈,gān gē,"weapons of war, arms"
乾旱,干旱,gān hàn,"drought, arid, dry"
乾燥,干燥,gānzào,"dry, arid"
甘心,甘心,gānxīn,"be reconciled, be willing, pleased, resigned to, be content with, be reconciled to, be reconciled/resigned to, be resigned to, resign oneself to"
肝臟,肝脏,gān zàng,"liver"
尷尬,尴尬,gāngà,"awkward, embarrassed"
趕赴,赶赴,gǎn fù,"to hurry, to rush"
趕往,赶往,gǎn wǎng,"to hurry to (somewhere)"
敢情,敢情,gǎn qing,"actually, as it turns out, indeed, of course"
感,感,gǎn,"feel, sense, move, touch, be affected (by cold)"
感觸,感触,gǎnchù,"feel, texture, sentiment, thoughts and feelings, feeling, tactile property"
感恩,感恩,gǎn ēn,"to be grateful"
感激,感激,gǎnjī,feel grateful/indebted
感慨,感慨,gǎnkài,sigh with emotion
感染,感染,gǎnrǎn,"infect, influence, affect"
感染力,感染力,gǎn rǎn lì,"inspiration, infectious (enthusiasm)"
感嘆,感叹,gǎn tàn,"to sigh (with feeling), to lament"
感性,感性,gǎnxìng,sensitive
幹部,干部,gànbù,"organizer, staff, cadre"
幹事,干事,gàn shi,"administrator, executive secretary"
剛毅,刚毅,gāng yì,"resolute, steadfast, stalwart"
綱領,纲领,gānglǐng,"summary, creed, programme, political program, political platform, guiding principle, digest, outline, program, platform"
綱要,纲要,gāng yào,"outline, essential points"
鋼,钢,gāng,steel
缸,缸,gāng,"jar, vat, classifier for loads of laundry, CL:口[kou3]"
港,港,gǎng,Hong Kong
槓鈴,杠铃,gàng líng,"barbell"
高昂,高昂,gāoáng,"held high (head/etc.), high, elated, exalted"
高傲,高傲,gāo ào,"arrogant, haughty, proud"
高超,高超,gāo chāo,"excellent, superlative"
高低,高低,gāo dī,"height, altitude (aviation), pitch (music), ups and downs (success or failure), whether sth is right or wrong, comparative strength, weight, depth, stature, (spoken interjection) anyway, whatever, eventually, in the end"
高調,高调,gāo diào,"high-sounding speech, bombast, high-profile"
高額,高额,gāo é,"high quota, large amount"
高爾夫球,高尔夫球,gāoěrfūqiú,golf ball
高峰期,高峰期,gāo fēng qī,"peak period, rush hour"
高貴,高贵,gāoguì,"noble, high"
高空,高空,gāokōng,"high altitude, upper air"
高齡,高龄,gāo líng,"elderly"
高明,高明,gāomíng,"brilliant, wise"
高山,高山,gāoshān,"jebel, high mountain, mountain, alp, mount, ben"
高效,高效,gāo xiào,"efficient, highly effective"
高新技術,高新技术,gāoxīnjìshù,"High-tech"
高血壓,高血压,gāoxiěyā,"high_blood_pressure, high blood pressure, hypertension"
高壓,高压,gāoyā,"high pressure, high voltage/tension, coercion, tyranny"
高雅,高雅,gāo yǎ,"dainty, elegance, elegant"
高漲,高涨,gāo zhǎng,"to surge up, to rise, (of tensions etc) to run high"
搞鬼,搞鬼,gǎo guǐ,"to make mischief, to play tricks in secret"
搞笑,搞笑,gǎo xiào,"funny, hilarious"
告,告,gào,"accuse, go to law against"
告辭,告辞,gào cí,"to say goodbye, to take one's leave"
告誡,告诫,gào jiè,"to warn, to admonish"
告示,告示,gào shi,"announcement"
告知,告知,gàozhī,"acknowledge, expose, divulge, disclose, intimation, notify, impart, inform, communicate, apprize, notification, advise, give notice, assure, reveal, let on, tell, discover, acquaint, let out, send word, declare, instruct, apprise, break, give away, bring out"
告狀,告状,gào zhuàng,"to tell on sb, to complain (to a teacher, a superior etc), to bring a lawsuit"
戈壁,戈壁,Gē bì,"Gobi (desert)"
胳膊,胳膊,gē bo,"arm, CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]"
鴿子,鸽子,gē zi,"pigeon, dove, various birds of the family Columbidae"
擱,搁,gē, gé,"to place, to put aside, to shelve, to bear, to stand, to endure"
擱淺,搁浅,gē qiǎn,"to be stranded (of ship), to run aground, fig. to run into difficulties and stop"
擱置,搁置,gē zhì,"to shelve, to set aside"
割,割,gē,"hack, cut, fissure, slit, crop, slice, mow, carbonado"
歌劇,歌剧,gējù,"revue, melodrama, opus, operatic, opera"
歌頌,歌颂,gē sòng,"to sing the praises of, to extol, to eulogize"
歌舞,歌舞,gē wǔ,"singing and dancing"
歌詠,歌咏,gē yǒng,"singing"
革命,革命,gémìng,revolt
格,格,gé,"lattice, grid, squares"
格格不入,格格不入,gé gé bù rù,"(idiom) inharmonious, incompatible"
格局,格局,géjú,"pattern, setup, structure"
格式,格式,géshì,"pattern, form, a style, a format, etiquette, format, style, the form of characters or letters"
隔閡,隔阂,gé hé,"misunderstanding, estrangement, (language etc) barrier"
隔離,隔离,gélí,"keep apart, segregate, isolate"
個案,个案,gèàn,case (in law/etc.)
個頭兒,个头儿,gètóur,"size, height, stature"
各奔前程,各奔前程,gè bèn qián chéng,"each goes his own way (idiom), each person has his own life to lead"
各式各樣,各式各样,gèshìgèyàng,"various, kinds, sundry, all sorts, assorted"
根基,根基,gēn jī,"foundation"
根深蒂固,根深蒂固,gēn shēn dì gù,"deep-rooted (problem etc)"
根源,根源,gēnyuán,"rootage, parent, origin, spore, source, rootstock, germ, springhead, cradle, whence, paternity, spawn, mother, root, seed, fount, fountainhead"
根治,根治,gēn zhì,"to bring under permanent control, to effect a radical cure"
跟不上,跟不上,gēn bu shàng,"not able to keep up with"
跟上,跟上,gēn shàng,"to catch up with, to keep pace with"
跟蹤,跟踪,gēnzōng,track
更改,更改,gēnggǎi,"change, alter"
更衣室,更衣室,gēng yī shì,"change room, dressing room, locker room, toilet"
耕地,耕地,gēng dì,"arable land, to plow land"
耿直,耿直,gěng zhí,"honest, frank, candid"
工地,工地,gōng dì,"construction site"
工會,工会,gōnghuì,trade/labor union
工科,工科,gōng kē,"engineering as an academic subject"
工商界,工商界,gōngshāngjiè,industrial and commercial circles
工序,工序,gōng xù,"working procedure, process"
工整,工整,gōng zhěng,"fine work, carefully and neatly done"
工作量,工作量,gōng zuò liàng,"workload, volume of work"
弓,弓,Gōng, gōng,"surname Gong, a bow (weapon), CL:張|张[zhang1], to bend, to arch (one's back etc)"
公安局,公安局,gōng ān jú,"public security bureau (government office similar in function to a police station)"
公車,公车,gōngchē,"bus, cars provided by an organization"
公道,公道,gōng dào, gōng dao,"justice, fairness, public highway, fair, equitable"
公費,公费,gōng fèi,"at public expense"
公共場所,公共场所,gōnggòngchǎngsuǒ,"Public places"
公關,公关,gōngguān,person in public relations
公函,公函,gōng hán,"official letter"
公積金,公积金,gōng jī jīn,"official reserves, accumulated fund"
公開信,公开信,gōng kāi xìn,"open letter"
公款,公款,gōng kuǎn,"public money"
公立,公立,gōnglì,"public, established and maintained by the government"
公墓,公墓,gōng mù,"public cemetery"
公僕,公仆,gōng pú,"public servant, CL:個|个[ge4],位[wei4]"
公頃,公顷,gōngqīng,m.[standard]
公然,公然,gōng rán,"openly, publicly, undisguised"
公示,公示,gōngshì,"Publicity"
公事,公事,gōng shì,"public affairs, official (matters, duties etc)"
公務,公务,gōng wù,"official business"
公益,公益,gōngyì,public good/welfare
公益性,公益性,gōngyìxìng,"Public welfare"
公用,公用,gōngyòng,be for public use
公寓,公寓,gōngyū,"flats, apartment house, public housing"
公約,公约,gōngyuē,"convention, pact, joint pledge"
公證,公证,gōng zhèng,"notarization, notarized, acknowledgement"
公職,公职,gōngzhí,public office/employment
功,功,gōng,"meritorious service, exploit, achievement, result, effect, skill"
功臣,功臣,gōng chén,"minister who has given outstanding service"
功底,功底,gōng dǐ,"training in the basic skills, knowledge of the fundamentals"
功勞,功劳,gōng láo,"contribution, meritorious service, credit"
功力,功力,gōnglì,"effect, efficacy, craftsmanship, skill, capability, touch"
功率,功率,gōng lǜ,"rate of work, power (output)"
功效,功效,gōngxiào,"efficacy, effect"
攻,攻,gōng,"assault, attack, censure, accuse"
攻讀,攻读,gōng dú,"to major (in a field), to study a specialty to obtain a higher degree"
攻關,攻关,gōng guān,"to storm a strategic pass, fig. to tackle a key problem"
供,供,gōng,"supply, feed, be for (the use/convenience of)"
供不應求,供不应求,gōng bù yìng qiú,"supply does not meet demand"
供暖,供暖,gōngnuǎn,"Heating"
供求,供求,gōng qiú,"supply and demand (economics)"
宮殿,宫殿,gōngdiàn,"palatium, dome, alcazar, palace"
宮廷,宫廷,gōngtíng,"royal, royal/imperial court, cupbearer, court, royal or imperial court, royal court, imperial court, palace"
恭維,恭维,gōng wei,"to praise, to speak highly of, compliment, praise"
恭喜,恭喜,gōngxǐ,congratulate
拱,拱,gǒng,"to cup one's hands in salute, to surround, to arch, to dig earth with the snout, arched"
共鳴,共鸣,gòngmíng,"sympathy, fellow feeling, vibration, consonance, resonance, sympathetic response"
共識,共识,gòngshì,"wavelength, common understanding, consensus"
共同體,共同体,gòngtóngtǐ,"community, integration"
共性,共性,gòng xìng,"overall character"
供奉,供奉,gòng fèng,"to consecrate, to enshrine and worship, an offering (to one's ancestors), a sacrifice (to a God)"
勾,勾,Goū, goū, goù,"surname Gou, to attract, to arouse, to tick, to strike out, to delineate, to collude, variant of 鉤|钩[gou1], hook, see 勾當|勾当[gou4 dang4]"
勾畫,勾画,goū huà,"to sketch out, to delineate"
勾結,勾结,goū jié,"to collude with, to collaborate with, to gang up with"
鉤,钩,goū, goū,"to hook, to sew, to crochet, hook, check mark or tick, window catch"
鉤子,钩子,goū zi,"hook"
構思,构思,goù sī,"to design, to plot, to plan out, to compose, to draw a mental sketch, conception, plan, idea, composition"
構想,构想,gòuxiǎng,proposition
購,购,gòu,buy
夠嗆,够呛,goù qiàng,"unbearable, terrible, enough, unlikely"
估算,估算,gū suàn,"assessment, evaluation"
沽名釣譽,沽名钓誉,gū míng diào yù,"to angle for fame (idiom), to fish for compliments"
孤單,孤单,gū dān,"lone, lonely, loneliness"
孤立,孤立,gū lì,"isolate, isolated"
孤零零,孤零零,gū líng líng,"lone, isolated and without help, all alone, solitary"
孤陋寡聞,孤陋寡闻,gū loù guǎ wén,"ignorant and inexperienced, ill-informed and narrow-minded"
辜負,辜负,gū fù,"to fail to live up (to expectations), unworthy (of trust), to let down, to betray (hopes), to disappoint"
古董,古董,gǔdǒng,"old fogey, curio, antique, virtu, vertu, bygone, bric-a-brac"
古怪,古怪,gǔ guài,"eccentric, grotesque, oddly, queer"
古跡,古迹,gǔ jì,"places of historic interest, historical sites, CL:個|个[ge4]"
古今中外,古今中外,gǔ jīn zhōng wài,"at all times and in all places (idiom)"
古樸,古朴,gǔ pǔ,"simple and unadorned (of art, architecture etc)"
古人,古人,gǔrén,"forefathers, our forefather, ancient, ancients, antiquity"
股份,股份,gǔfèn,"equity, concern, share, stake, stock, interest"
股民,股民,gǔ mín,"stock investor, share trader"
股市,股市,gǔshì,"stock exchange, securities market, stock market, stock_market"
骨幹,骨干,gǔ gàn,"diaphysis (long segment of a bone), fig. backbone"
骨氣,骨气,gǔ qì,"unyielding character, courageous spirit, integrity, moral backbone"
骨折,骨折,gǔ zhé,"to suffer a fracture, (of a bone) to break, fracture"
鼓動,鼓动,gǔ dòng,"to agitate, to arouse, to instigate, to encite"
鼓舞,鼓舞,gǔwǔ,"inspire, hearten, dance for joy, rejoice"
固然,固然,gùrán,"conj.: though, although"
固執,固执,gù zhí,"obstinate, stubborn"
故,故,gù,"conj.: hence, so, therefore, as a result"
顧不得,顾不得,gù bu de,"unable to change sth, unable to deal with"
顧不上,顾不上,gù bu shàng,"cannot attend to or manage"
顧及,顾及,gùjí,"study, give consideration to, consider, take into account, consult, attend to, allow_for"
顧慮,顾虑,gù lǜ,"misgivings, apprehensions"
顧全大局,顾全大局,gù quán dà jú,"to take the big picture into consideration (idiom), to work for the benefits of all"
雇,雇,gù, gù,"to employ, to hire, to rent"
雇傭,雇佣,gù yōng,"to employ, to hire"
雇員,雇员,gù yuán,"employee"
雇主,雇主,gùzhǔ,"gaffer, beanfeast, master, governor, boss, employer, hirer"
瓜分,瓜分,guā fēn,"to partition, to divide up"
瓜子,瓜子,guā zǐ,"melon seeds"
颳風,刮风,guā fēng,"to be windy"
寡婦,寡妇,guǎ fu,"widow"
掛鉤,挂钩,guà goū,"hook (on which to hang sth), to couple, to link together, to establish contact with, hook, coupling links (e.g. between two railway coaches)"
掛號,挂号,guà hào,"to register (at a hospital etc), to send by registered mail"
掛念,挂念,guà niàn,"concerned"
掛失,挂失,guà shī,"to report the loss of something"
乖,乖,guāi,"be at variance, well-behaved, obedient, oppose"
乖巧,乖巧,guāi qiǎo,"clever (child), smart, lovable, cute"
拐彎,拐弯,guǎi wān,"to go round a curve, to turn a corner, fig. a new direction"
拐杖,拐杖,guǎi zhàng,"crutches, crutch, walking stick"
怪不得,怪不得,guài bu de,"no wonder!, so that's why!"
怪物,怪物,guài wu,"monster, freak, eccentric person"
怪異,怪异,guài yì,"monstrous, strange, strange phenomenon"
關掉,关掉,guān diào,"to switch off, to shut off"
關節,关节,guānjié,joint
關稅,关税,guān shuì,"customs duty, tariff"
關頭,关头,guān toú,"juncture, moment"
關照,关照,guān zhào,"to take care, to keep an eye on, to look after, to tell, to remind"
觀測,观测,guāncè,"observe, survey"
觀感,观感,guān gǎn,"one's impressions, observations"
觀摩,观摩,guānmó,view and emulate
觀賞,观赏,guānshǎng,"enjoy sight of, see and enjoy"
觀望,观望,guānwàng,"straddle, pussyfoot, look on (from sidelines), swiver, hesitate, waver, look on, wait and see"
官兵,官兵,guānbīng,"officers and men, government troops"
官吏,官吏,guān lì,"bureaucrat, official"
官僚,官僚,guānliáo,"bureaucrats, bureaucracy"
官僚主義,官僚主义,guān liáo zhǔ yì,"bureaucracy"
官員,官员,guānyuán,"beg, official, mandarinate, administrative official, office-bearer, officer, bureaucrat, placeman, federal agent, government officials, agent, officialism, functionary, director, officeholder, officialdom, myrmidon"
棺材,棺材,guān cai,"coffin, CL:具[ju4],口[kou3]"
管家,管家,guǎn jiā,"housekeeper, butler, manage one's household"
管教,管教,guǎnjiào,"subject sb. to discipline, restrain and instruct"
管理費,管理费,guǎnlǐfèi,"management fee"
管轄,管辖,guǎn xiá,"to administer, to have jurisdiction (over)"
管用,管用,guǎn yòng,"efficacious, useful"
管子,管子,Guǎn zǐ, guǎn zi,"Guanzi or Guan Zhong 管仲 (-645 BC), famous politician of Qi 齊國|齐国 of Spring and Autumn period, Guanzi, classical book containing writings of Guan Zhong and his school, tube, pipe, drinking straw, CL:根[gen1]"
貫徹,贯彻,guànchè,"carry out, implement"
貫穿,贯穿,guàn chuān,"to run through, a connecting thread from beginning to end, to link"
貫通,贯通,guàn tōng,"to link up, to thread together"
慣,惯,guàn,"accustomed to, used to, indulge, to spoil (a child)"
慣例,惯例,guànlì,"custom, pattern, practice, manner, tradition, routine, law, wont, habit, codex, ritual, convention, convenance, consuetude, usual practice, rule, use, observance, institution, modus operandi, precedent, conventionality, rite, praxis, natural law"
慣性,惯性,guàn xìng,"inertia"
灌,灌,guàn,"to irrigate, to pour, to install (software), to record (music)"
灌溉,灌溉,guàngài,irrigate
灌輸,灌输,guàn shū,"to imbue with, to inculcate, to instill into, to teach, to impart, to channel water to another place"
鑵,罐,guàn, guàn,"variant of 罐[guan4]"
罐頭,罐头,guàntóu,"tin, can, canned goods"
光彩,光彩,guāng cǎi,"luster, splendor, radiance, brilliance"
光碟,光碟,guāngdié,"compact disk, compact disc, CD ROM, compact_disk, CD"
光顧,光顾,guāng gù,"to visit (as a customer)"
光滑,光滑,guāng huá,"glossy, sleek, smooth"
光環,光环,guāng huán,"halo, ring of light"
光纜,光缆,guāng lǎn,"optical cable"
光芒,光芒,guāngmáng,"ray_of_light, rays of light, brilliant ray, radiance"
光明磊落,光明磊落,guāng míng lěi luò,"open and candid (idiom), straightforward and upright"
光澤,光泽,Guāng zé, guāng zé,"Guangze county in Nanping 南平[Nan2 ping2] Fujian, luster, gloss"
廣義,广义,guǎngyì,broad sense
歸根到底,归根到底,guī gēn dào dǐ,"after all, in the final analysis, ultimately"
歸還,归还,guī huán,"to return sth, to revert"
歸結,归结,guī jié,"to sum up, to conclude, in a nutshell, the end (of a story)"
歸來,归来,guīlái,"come back, be back, return, go back to"
歸納,归纳,guīnà,"sum up, conclude, induce"
歸屬,归属,guīshǔ,belong to
歸宿,归宿,guī sù,"place to return to, home, final destination, ending"
龜,龟,guī,"tortoise, turtle"
規格,规格,guīgé,"quality requirements, requirement, specification, standard, spec, criterion, measure, touchstone, specifications"
規矩,规矩,guījǔ,"rule, custom"
閨女,闺女,guī nǚ,"maiden, unmarried woman, daughter"
瑰寶,瑰宝,guī bǎo,"gem, (fig.) rare and valuable item, gem, treasure"
軌跡,轨迹,guǐjī,"track, orbit, trail, locus"
櫃臺,柜台,guì tái, guì tái, guì tái,"variant of 櫃檯|柜台[gui4 tai2]"
貴賓,贵宾,guìbīn,"honored guest, VIP, visiting fireman, visitant, honoured guest, distinguished guest, visiting_fireman, honored/distinguished guest, honored"
貴重,贵重,guì zhòng,"precious"
貴族,贵族,guìzú,"baron, aristocratism, atheling, nobleman, jarl, grandee, raja, aristocracy, patrician, blue blood, lord, magnifico, noble, aristocrat, baronage, peer, mogul, nobility, patricianhood, peerage, sirdar, amir, nobles"
桂花,桂花,guì huā,"osmanthus flowers, Osmanthus fragrans"
滾動,滚动,gǔn dòng,"to roll, (to do sth) in a loop, to scroll (computing), to progressively expand (economics), to rumble (of thunder)"
棍,棍,gùn,"stick, rod, truncheon"
棍子,棍子,gùn zi,"stick, rod"
國寶,国宝,guóbǎo,national treasure
國防,国防,guófáng,"national defence, national defense"
國畫,国画,guóhuà,trad. Ch. painting
國徽,国徽,guó huī,"national emblem, coat of arms"
國情,国情,guó qíng,"current state of a country, national conditions, (US) State of the Union"
國土,国土,guótǔ,"territorial dominion, state, country, colony, soil, nation, realm, soli, province, territory, mandate, dominion, land"
國學,国学,guó xué,"Chinese national culture, studies of ancient Chinese civilization, the Imperial College (history)"
國有,国有,guóyǒu,"belong to the state, nationalized, state-owned"
果斷,果断,guǒ duàn,"firm, decisive"
果園,果园,guǒyuán,"arbour, garden, orchard"
果真,果真,guǒzhēn,"really, as expected"
裹,裹,guǒ,"to bind, to wrap, a bundle, a parcel"
過半,过半,guò bàn,"over fifty percent, more than half"
過不去,过不去,guò bu qù,"to make life difficult for, to embarrass, unable to make it through"
過錯,过错,guò cuò,"mistake, fault, responsibility (for a fault)"
過道,过道,guò dào,"passageway, corridor, aisle"
過關,过关,guòguān,"reach standard, pass a barrier, reach a standard, pass test, pass barrier, pass, go through ordeal, pass a test, go through an ordeal"
過獎,过奖,guò jiǎng,"to overpraise, to flatter"
過節,过节,guò jié,"to celebrate a festival, after the celebrations (i.e. once the festival is over)"
過境,过境,guò jìng,"to pass through a country's territory, transit"
過濾,过滤,guò lǜ,"to filter, filter"
過期,过期,guò qī,"to be overdue, to exceed the time limit, to expire (as in expiration date)"
過日子,过日子,guòrìzi5,"live, get along, practice economy"
過剩,过剩,guò shèng,"surplus, excess"
過失,过失,guò shī,"error, fault, (law) negligence, delinquency"
過頭,过头,guò toú,"to overdo it, to overstep the limit, excessively, above one's head, overhead"
過往,过往,guò wǎng,"to come and go, to have friendly relations with, in the past, previous"
過意不去,过意不去,guò yì bù qù,"to feel very apologetic"
過癮,过瘾,guò yǐn,"to satisfy a craving, to get a kick out of sth, gratifying, immensely enjoyable, satisfying, fulfilling"
過硬,过硬,guò yìng,"to have perfect mastery of sth, to be up to the mark"
過早,过早,guò zǎo,"premature, untimely"
海岸,海岸,hǎiàn,"seashore, coastal, seaside, tidewater, seacoast, shore, coast, staith, rivage, seaboard, sea, beach"
海拔,海拔,hǎibá,"natural elevation, ALT, height above sea level, altitude, sea_level, height, EL, above sea level, sea level, elevation"
海濱,海滨,hǎi bīn,"shore, seaside"
海盜,海盗,hǎi dào,"pirate"
海量,海量,hǎi liàng,"huge volume"
海綿,海绵,hǎi mián,"sponge (zoology), sponge (piece of absorbent material, either natural or made from plastic etc), foam rubber"
海面,海面,hǎimiàn,"offing, sea surface, offshore, sea level, rim"
海內外,海内外,hǎi nèi wài,"domestic and international, at home and abroad"
海灘,海滩,hǎitān,"seabeach, seaside, sea beach, foreshore, beach"
海峽,海峡,hǎixiá,"narrow, channel, straits, gullet, sound, strait, gut"
海嘯,海啸,hǎi xiào,"tsunami"
海域,海域,hǎiyū,"water, waters, maritime space, sea area"
海運,海运,hǎiyùn,"sea transportation, ocean shipping"
海藻,海藻,hǎi zǎo,"seaweed, marine alga, kelp"
駭人聽聞,骇人听闻,hài rén tīng wén,"shocking, horrifying, atrocious, terrible"
害蟲,害虫,hài chóng,"injurious insect, pest"
害臊,害臊,hài sào,"to be bashful, to feel ashamed"
害羞,害羞,hàixiū,"be shy, bashful, coy, be bashful, shy, blush"
酣暢,酣畅,hān chàng,"unrestrained, cheerful lack of inhibition, esp. for drinking or sleeping, to drink with abandon"
酣睡,酣睡,hān shuì,"to sleep soundly, to fall into a deep sleep"
含糊,含糊,hán hu,"ambiguous, vague, careless, perfunctory"
含蓄,含蓄,hán xù,"to contain, to hold, (of a person or style etc) reserved, restrained, (of words, writings) full of hidden meaning, implicit, veiled (criticism)"
函授,函授,hán shoù,"to teach by correspondence"
涵蓋,涵盖,hángài,"cover, include"
涵義,涵义,hán yì,"content, meaning, connotation, implication"
罕見,罕见,hǎnjiàn,"rare, rarely seen"
汗水,汗水,hàn shuǐ,"sweat, perspiration"
旱,旱,hàn,"drought"
旱災,旱灾,hàn zāi,"drought"
捍衛,捍卫,hàn wèi,"to defend, to uphold, to safeguard"
銲,焊,hàn, hàn, hàn,"variant of 焊[han4]"
行家,行家,háng jiā,"connoisseur, expert, veteran"
行列,行列,hángliè,"parade, procession, ranks, waiting line, cortege, promenade, row, single file, Indian file, column, queue, lineup, file, rank"
行情,行情,hángqíng,"prices, quotation, (market) quotations, market, price, quotations"
航海,航海,háng hǎi,"sailing, navigation, voyage by sea"
航天,航天,háng tiān,"space flight"
航天員,航天员,háng tiān yuán,"astronaut"
航行,航行,hángxíng,"sail, fly"
航運,航运,háng yùn,"shipping, transport"
毫不,毫不,háobù,"nohow, not at all, no, no more, none, nowise, nothing"
毫不猶豫,毫不犹豫,háo bù yoú yù,"without the slightest hesitation"
毫無,毫无,háowú,completely lack
豪華,豪华,háohuá,"luxurious, sumptuous"
好比,好比,hǎobǐ,"like, may be likened to, be just like, can be compared to"
好歹,好歹,hǎo dǎi,"good and bad, most unfortunate occurrence, in any case, whatever"
好感,好感,hǎo gǎn,"good opinion, favorable impression"
好壞,好坏,hǎo huài,"good or bad, good and bad, standard, quality"
好家伙,好家伙,hǎo jiā huo,"my God!, oh boy!, man!"
好評,好评,hǎopíng,"reputation, high opinion, favorable comment, conceit, favorable review, esteem"
好說,好说,hǎo shuō,"easy to deal with, not a problem, (polite answer) you flatter me"
好笑,好笑,hǎoxiào,"laughable, funny"
好心,好心,hǎo xīn,"kindness, good intentions"
好心人,好心人,hǎoxīnrén,"Good people"
好意,好意,hǎo yì,"good intention, kindness"
好在,好在,hǎo zài,"luckily, fortunately"
號稱,号称,hàochēng,"be known as, claim to be"
好客,好客,hào kè,"hospitality, to treat guests well, to enjoy having guests, hospitable, friendly"
好奇心,好奇心,hào qí xīn,"interest in sth, curiosity, inquisitive"
耗,耗,hào,"to waste, to spend, to consume, to squander, news, (coll.) to delay, to dilly-dally"
耗費,耗费,hào fèi,"to waste, to spend, to consume, to squander"
耗時,耗时,hào shí,"time-consuming, to take a period of (x amount of time)"
浩劫,浩劫,hào jié,"calamity, catastrophe, apocalypse"
呵護,呵护,hē hù,"to bless, to cherish, to take good care of, to conserve"
禾苗,禾苗,hé miáo,"seedling (of rice or other grain), CL:棵[ke1]"
合唱,合唱,héchàng,"choir, do a chorus, sing in a chorus, chorus, descant"
合乎,合乎,héhū,"conform with/to, accord, tally with, correspond to, accord with, conform_to, conform with, conform to, accord/tally with, to"
合伙,合伙,hé huǒ,"to act jointly, to form a partnership"
合計,合计,hé jì,"to add up the total, to figure what sth amounts to, to consider"
合情合理,合情合理,hé qíng hé lǐ,"reasonable and fair (idiom)"
合影,合影,hé yǐng,"to take a joint photo, group photo"
合資,合资,hézī,"joint venture, collect money, pool capital, raise funds, enter into partnership"
合作社,合作社,hézuòshè,"cooperative, cooperation, co-op, artel"
何必,何必,hébì,"why must...?, there is no need"
何處,何处,héchù,where
何苦,何苦,hé kǔ,"why bother?, is it worth the trouble?"
何況,何况,hékuàng,"conj.: much less, let alone, all the more"
何時,何时,hé shí,"when"
和藹,和蔼,hé ǎi,"kindly, nice, amiable"
和解,和解,héjiě,become reconciled
和睦,和睦,hé mù,"peaceful relations, harmonious"
和平共處,和平共处,hé píng gòng chǔ,"peaceful coexistence of nations, societies etc"
和氣,和气,hé qi,"friendly, polite, amiable"
和尚,和尚,héshàng,"bonze, talapoin, monk, Bhikku, Buddhist monk"
河流,河流,héliú,"freshet, rivers, river"
河畔,河畔,hé pàn,"riverside, river plain"
荷花,荷花,hé huā,"lotus"
核,核,hé,"pit, nuclear, nucleus, nut, sth. resembling a fruit stone, stone, core, nucleolus, hilum, kernel"
核電站,核电站,hé diàn zhàn,"nuclear power plant"
