挨著	挨着	āizhe
職責	职责	zhízé
止	止	zhǐ
只得	只得	zhǐdé
只顧	只顾	zhǐgù
只管	只管	zhǐguǎn
指數	指数	zhǐshù
指定	指定	zhǐdìng
指頭	指头	zhǐtou
指著	指着	zhǐzhe
至於	至于	zhìyú
智慧	智慧	zhìhuì
治病	治病	zhìbìng
中華	中华	Zhōnghuá
中等	中等	zhōngděng
中外	中外	zhōngwài
中期	中期	zhōngqī
忠心	忠心	zhōngxīn
腫	肿	zhǒng
鐘頭	钟头	zhōngtóu
種種	种种	zhǒngzhǒng
珠寶	珠宝	zhūbǎo
諸位	诸位	zhūwèi
主持人	主持人	zhǔchírén
粥	粥	zhōu
主角	主角	zhǔjué
煮	煮	zhǔ
主流	主流	zhǔliú
住宅	住宅	zhùzhái
駐	驻	zhù
柱子	柱子	zhùzi
專用	专用	zhuānyòng
祝願	祝愿	zhùyuàn
轉動	转动	zhuǎn dòng
轉	转	zhuǎn
賺錢	赚钱	zhuàn qián
壯觀	壮观	zhuàngguān
賺	赚	zhuàn
追究	追究	zhuījiū
裝備	装备	zhuāngbèi
自來水	自来水	zìláishuǐ
咨詢	咨询	zīxún
捉	捉	zhuō
自我	自我	zìwǒ
自學	自学	zìxué
自言自語	自言自语	zìyán-zìyǔ
自在	自在	zìzai
宗教	宗教	zōngjiào
總部	总部	zǒngbù
總經理	总经理	zǒngjīnglǐ
總監	总监	zǒngjiān
總量	总量	zǒngliàng
走私	走私	zǒu sī
奏	奏	zòu
租金	租金	zūjīn
足	足	zú
足以	足以	zúyǐ
祖父	祖父	zǔfù
族	族	zú
祖國	祖国	zǔguó
祖母	祖母	zǔmǔ
最終	最终	zuìzhōng
罪	罪	zuì
鑽	钻	zuān
罪惡	罪恶	zuìè
作	作	zuò
最佳	最佳	zuìjiā
作廢	作废	zuòfèi
座談會	座谈会	zuòtánhuì
作戰	作战	zuò zhàn
