阿拉伯語	阿拉伯语	Ālābóyǔ
對白	对白	duìbái
對策	对策	duìcè
對稱	对称	duìchèn
對得起	对得起	duìdeqǐ
對聯	对联	duìlián
對弈	对弈	duìyì
對照	对照	duìzhào
對峙	对峙	duìzhì
對準	对准	duì zhǔn
兌換	兑换	duìhuàn
兌現	兑现	duìxiàn
敦厚	敦厚	dūnhòu
敦促	敦促	dūncù
頓時	顿时	dùnshí
多邊	多边	duōbiān
炖	炖	dùn
多功能	多功能	duōgōngnéng
多勞多得	多劳多得	duōláo-duōdé
多年來	多年来	duōniánlái
多心	多心	duōxīn
多虧	多亏	duōkuī
多元	多元	duōyuán
哆嗦	哆嗦	duōsuo
多餘	多余	duōyú
奪魁	夺魁	duókuí
奪冠	夺冠	duó guàn
躲藏	躲藏	duǒcáng
舵手	舵手	duòshǒu
躲避	躲避	duǒbì
墮落	堕落	duòluò
俄語	俄语	Éyǔ
訛詐	讹诈	ézhà
鵝	鹅	é
額外	额外	éwài
惡	恶	è
厄運	厄运	èyùn
惡劣	恶劣	èliè
惡化	恶化	èhuà
惡性	恶性	èxìng
惡意	恶意	èyì
遏制	遏制	èzhì
鱷魚	鳄鱼	èyú
恩賜	恩赐	ēncì
恩惠	恩惠	ēnhuì
恩情	恩情	ēnqíng
而已	而已	éryǐ
耳光	耳光	ěrguāng
恩怨	恩怨	ēnyuàn
耳目一新	耳目一新	ěrmù-yīxīn
耳熟能詳	耳熟能详	ěrshú-néngxiáng
耳聞目睹	耳闻目睹	ěrwén-mùdǔ
二手車	二手车	èrshǒuchē
二氧化碳	二氧化碳	èryǎnghuàtàn
發佈會	发布会	fābùhuì
發財	发财	fācái
發愁	发愁	fā chóu
發電機	发电机	fādiànjī
發抖	发抖	fādǒu
發光	发光	fāguāng
發憤圖強	发愤图强	fāfèn-túqiáng
發酵	发酵	fājiào
發掘	发掘	fājué
發火	发火	fā huǒ
發脾氣	发脾气	fā píqi
發起人	发起人	fāqǐrén
發熱	发热	fā rè
發誓	发誓	fā shì
發愣	发愣	fālèng
發揚	发扬	fāyáng
發揚光大	发扬光大	fāyáng-guāngdà
發育	发育	fāyù
發源地	发源地	fāyuándì
發泄	发泄	fāxiè
發作	发作	fāzuò
閥門	阀门	fámén
髮型	发型	fàxíng
帆	帆	fān
帆船	帆船	fānchuán
翻番	翻番	fān fān
翻來覆去	翻来覆去	fānlái-fùqù
翻天覆地	翻天覆地	fāntiān-fùdì
凡	凡	fán
煩悶	烦闷	fánmèn
煩惱	烦恼	fánnǎo
煩躁	烦躁	fánzào
繁華	繁华	fánhuá
繁忙	繁忙	fánmáng
繁體字	繁体字	fántǐzì
繁重	繁重	fánzhòng
反駁	反驳	fǎnbó
反差	反差	fǎnchā
反常	反常	fǎncháng
反倒	反倒	fǎndào
反感	反感	fǎngǎn
反過來	反过来	fǎnguolai
反擊	反击	fǎnjī
反饋	反馈	fǎnkuì
反面	反面	fǎnmiàn
反思	反思	fǎnsī
反彈	反弹	fǎntán
反省	反省	fǎnxǐng
返還	返还	fǎnhuán
犯愁	犯愁	fàn chóu
飯碗	饭碗	fànwǎn
泛濫	泛滥	fànlàn
範疇	范畴	fànchóu
販賣	贩卖	fànmài
方方面面	方方面面	fāngfāng-miànmiàn
方向盤	方向盘	fāngxiàngpán
方言	方言	fāngyán
防盜	防盗	fángdào
防盜門	防盗门	fángdàomén
防護	防护	fánghù
防火牆	防火墙	fánghuǒqiáng
防衛	防卫	fángwèi
防汛	防汛	fángxùn
防疫	防疫	fángyì
防禦	防御	fángyù
妨礙	妨碍	fángài
房地產	房地产	fángdìchǎn
妨害	妨害	fánghài
仿	仿	fǎng
仿製	仿制	fǎngzhì
訪談	访谈	fǎngtán
紡織	纺织	fǎngzhī
放過	放过	fàngguò
放水	放水	fàng shuǐ
放肆	放肆	fàngsì
放映	放映	fàngyìng
放置	放置	fàngzhì
放縱	放纵	fàngzòng
飛速	飞速	fēisù
飛往	飞往	fēi wǎng
飛翔	飞翔	fēixiáng
飛躍	飞跃	fēiyuè
非	非	fēi
非得	非得	fēiděi
非法	非法	fēifǎ
肥料	肥料	féiliào
非凡	非凡	fēifán
肥胖	肥胖	féipàng
緋聞	绯闻	fēiwén
肥沃	肥沃	féiwò
肥皂	肥皂	féizào
誹謗	诽谤	fěibàng
廢	废	fèi
廢除	废除	fèichú
廢話	废话	fèihuà
廢品	废品	fèipǐn
廢寢忘食	废寝忘食	fèiqǐn-wàngshí
廢物	废物	fèiwu
廢墟	废墟	fèixū
沸沸揚揚	沸沸扬扬	fèifèi-yángyáng
沸騰	沸腾	fèiténg
分辨	分辨	fēnbiàn
費勁	费劲	fèi jìn
分寸	分寸	fēncun
分擔	分担	fēndān
分割	分割	fēngē
分紅	分红	fēn hóng
分化	分化	fēnhuà
分泌	分泌	fēnmì
分明	分明	fēnmíng
分歧	分歧	fēnqí
分贓	分赃	fēn zāng
分支	分支	fēnzhī
芬芳	芬芳	fēnfāng
氛圍	氛围	fēnwéi
吩咐	吩咐	fēnfu
墳	坟	fén
墳墓	坟墓	fénmù
焚燒	焚烧	fénshāo
粉	粉	fěn
粉絲	粉丝	fěnsī
粉碎	粉碎	fěnsuì
分量	分量	fènliang
分外	分外	fènwài
份額	份额	fèné
奮力	奋力	fènlì
奮勇	奋勇	fènyǒng
糞	粪	fèn
糞便	粪便	fènbiàn
豐富多彩	丰富多彩	fēngfù-duōcǎi
豐厚	丰厚	fēnghòu
豐滿	丰满	fēngmǎn
豐碩	丰硕	fēngshuò
豐盛	丰盛	fēngshèng
風波	风波	fēngbō
風采	风采	fēngcǎi
風餐露宿	风餐露宿	fēngcān-lùsù
風和日麗	风和日丽	fēnghé-rìlì
風風雨雨	风风雨雨	fēngfēng-yǔyǔ
風浪	风浪	fēnglàng
風力	风力	fēnglì
風範	风范	fēngfàn
風流	风流	fēngliú
風貌	风貌	fēngmào
風氣	风气	fēngqì
風情	风情	fēngqíng
風尚	风尚	fēngshàng
風趣	风趣	fēngqù
風沙	风沙	fēngshā
風水	风水	fēngshui
風味	风味	fēngwèi
風雨	风雨	fēngyǔ
風雲	风云	fēngyún
風箏	风筝	fēngzheng
封頂	封顶	fēng dǐng
封面	封面	fēngmiàn
封建	封建	fēngjiàn
封鎖	封锁	fēngsuǒ
峰迴路轉	峰回路转	fēnghuí-lùzhuǎn
瘋子	疯子	fēngzi
蜂蜜	蜂蜜	fēngmì
逢	逢	féng
縫	缝	fèng
縫合	缝合	fénghé
諷刺	讽刺	fěngcì
鳳凰	凤凰	fènghuáng
孵化	孵化	fūhuà
否決	否决	fǒujué
扶持	扶持	fúchí
敷	敷	fū
服飾	服饰	fúshì
服務器	服务器	fúwùqì
服用	服用	fúyòng
俘獲	俘获	fúhuò
俘虜	俘虏	fúlǔ
浮力	浮力	fúlì
浮現	浮现	fúxiàn
浮躁	浮躁	fúzào
輻射	辐射	fúshè
福氣	福气	fúqi
撫摸	抚摸	fǔmō
撫恤	抚恤	fǔxù
撫養	抚养	fǔyǎng
撫養費	抚养费	fǔyǎngfèi
斧子	斧子	fǔzi
俯首	俯首	fǔshǒu
輔導	辅导	fǔdǎo
腐敗	腐败	fǔbài
腐化	腐化	fǔhuà
腐爛	腐烂	fǔlàn
腐蝕	腐蚀	fǔshí
腐朽	腐朽	fǔxiǔ
付費	付费	fù fèi
負面	负面	fùmiàn
付款	付款	fù kuǎn
負有	负有	fùyǒu
附	附	fù
附帶	附带	fùdài
附和	附和	fùhè
附加	附加	fùjiā
附屬	附属	fùshǔ
復查	复查	fùchá
赴	赴	fù
復發	复发	fùfā
複合	复合	fùhé
復活	复活	fùhuó
復興	复兴	fùxīng
復原	复原	fù yuán
副作用	副作用	fùzuòyòng
富含	富含	fùhán
賦予	赋予	fùyǔ
富豪	富豪	fùháo
富強	富强	fùqiáng
富翁	富翁	fùwēng
富裕	富裕	fùyù
腹部	腹部	fùbù
腹瀉	腹泻	fùxiè
富足	富足	fùzú
覆蓋	覆盖	fùgài
該	该	gāi
改版	改版	gǎi bǎn
改編	改编	gǎibiān
改革開放	改革开放	gǎigé-kāifàng
改動	改动	gǎidòng
改良	改良	gǎiliáng
改名	改名	gǎimíng
改日	改日	gǎirì
改為	改为	gǎiwéi
改邪歸正	改邪归正	gǎixié-guīzhèng
鈣	钙	gài
蓋子	盖子	gàizi
概況	概况	gàikuàng
概率	概率	gàilǜ
概論	概论	gàilùn
干戈	干戈	gāngē
乾旱	干旱	gānhàn
乾燥	干燥	gānzào
甘心	甘心	gānxīn
尷尬	尴尬	gāngà
肝臟	肝脏	gānzàng
趕赴	赶赴	gǎnfù
趕往	赶往	gǎnwǎng
敢情	敢情	gǎnqing
感	感	gǎn
感觸	感触	gǎnchù
感恩	感恩	gǎn ēn
感激	感激	gǎnjī
感慨	感慨	gǎnkǎi
感染	感染	gǎnrǎn
感染力	感染力	gǎnrǎnlì
感嘆	感叹	gǎntàn
感性	感性	gǎnxìng
幹部	干部	gànbù
幹事	干事	gànshi
綱領	纲领	gānglǐng
剛毅	刚毅	gāngyì
綱要	纲要	gāngyào
鋼	钢	gāng
缸	缸	gāng
杠鈴	杠铃	gànglíng
港	港	gǎng
高昂	高昂	gāoáng
高傲	高傲	gāoào
高超	高超	gāochāo
高低	高低	gāodī
高調	高调	gāodiào
高額	高额	gāoé
高爾夫球	高尔夫球	gāoěrfūqiú
高貴	高贵	gāoguì
高峰期	高峰期	gāofēngqī
高空	高空	gāokōng
高齡	高龄	gāolíng
高明	高明	gāomíng
高山	高山	gāoshān
高效	高效	gāoxiào
高新技術	高新技术	gāoxīn jìshù
高血壓	高血压	gāoxuèyā
高壓	高压	gāoyā
高雅	高雅	gāoyǎ
高漲	高涨	gāozhàng
搞鬼	搞鬼	gǎo guǐ
搞笑	搞笑	gǎoxiào
告	告	gào
告辭	告辞	gàocí
告誡	告诫	gàojiè
告示	告示	gàoshi
告知	告知	gàozhī
告狀	告状	gào zhuàng
戈壁	戈壁	gēbì
胳膊	胳膊	gēbo
鴿子	鸽子	gēzi
擱	搁	gē
擱置	搁置	gēzhì
擱淺	搁浅	gē qiǎn
割	割	gē
歌劇	歌剧	gējù
歌頌	歌颂	gēsòng
歌舞	歌舞	gēwǔ
歌詠	歌咏	gēyǒng
革命	革命	gémìng
格	格	gé
格格不入	格格不入	gégé-bùrù
格局	格局	géjú
格式	格式	géshi
隔閡	隔阂	géhé
隔離	隔离	gélí
個頭兒	个头儿	gètóur5
個案	个案	gèàn
各奔前程	各奔前程	gèbèn-qiánchéng
各式各樣	各式各样	gèshì-gèyàng
根深蒂固	根深蒂固	gēnshēn-dìgù
根源	根源	gēnyuán
根基	根基	gēnjī
根治	根治	gēnzhì
跟上	跟上	gēn shàng
跟蹤	跟踪	gēnzōng
跟不上	跟不上	gēnbushàng
更衣室	更衣室	gēngyīshì
更改	更改	gēnggǎi
耕地	耕地	gēngdì
耿直	耿直	gěngzhí
工地	工地	gōngdì
工會	工会	gōnghuì
工商界	工商界	gōngshāngjiè
工科	工科	gōngkē
工序	工序	gōngxù
工整	工整	gōngzhěng
工作量	工作量	gōngzuòliàng
公車	公车	gōngchē
公安局	公安局	gōngānjú
公道	公道	gōngdao
公費	公费	gōngfèi
公共場所	公共场所	gōnggòng chǎngsuǒ
公關	公关	gōngguān
弓	弓	gōng
公函	公函	gōnghán
公積金	公积金	gōngjījīn
公開信	公开信	gōngkāixìn
公墓	公墓	gōngmù
公款	公款	gōngkuǎn
公僕	公仆	gōngpú
公頃	公顷	gōngqǐng
公然	公然	gōngrán
公示	公示	gōngshì
公事	公事	gōngshì
公益	公益	gōngyì
公務	公务	gōngwù
公益性	公益性	gōngyì xìng
公立	公立	gōnglì
公寓	公寓	gōngyù
公約	公约	gōngyuē
公用	公用	gōngyòng
公證	公证	gōngzhèng
功	功	gōng
功臣	功臣	gōngchén
功底	功底	gōngdǐ
公職	公职	gōngzhí
功力	功力	gōnglì
功勞	功劳	gōngláo
功效	功效	gōngxiào
攻讀	攻读	gōngdú
攻	攻	gōng
攻關	攻关	gōng guān
功率	功率	gōnglǜ
供不應求	供不应求	gōngbùyìngqiú
供	供	gōng
供暖	供暖	gōngnuǎn
宮殿	宫殿	gōngdiàn
供求	供求	gōngqiú
宮廷	宫廷	gōngtíng
恭維	恭维	gōngwei
恭喜	恭喜	gōngxǐ
拱	拱	gǒng
共鳴	共鸣	gòngmíng
共識	共识	gòngshí
共性	共性	gòngxìng
供奉	供奉	gòngfèng
共同體	共同体	gòngtóngtǐ
勾畫	勾画	gōuhuà
勾	勾	gōu
勾結	勾结	gōujié
鉤	钩	gōu
鉤子	钩子	gōuzi
構思	构思	gòusī
構想	构想	gòuxiǎng
購	购	gòu
夠嗆	够呛	gòuqiàng
估算	估算	gūsuàn
沽名釣譽	沽名钓誉	gūmíng-diàoyù
孤單	孤单	gūdān
孤立	孤立	gūlì
孤零零	孤零零	gūlínglíng
孤陋寡聞	孤陋寡闻	gūlòu-guǎwén
辜負	辜负	gūfù
古董	古董	gǔdǒng
古怪	古怪	gǔguài
古跡	古迹	gǔjì
古今中外	古今中外	gǔjīn-zhōngwài
古樸	古朴	gǔpǔ
古人	古人	gǔrén
股份	股份	gǔfèn
股民	股民	gǔmín
股市	股市	gǔshì
骨幹	骨干	gǔgàn
骨折	骨折	gǔzhé
骨氣	骨气	gǔqì
鼓舞	鼓舞	gǔwǔ
鼓動	鼓动	gǔdòng
固然	固然	gùrán
固執	固执	gùzhi
故	故	gù
顧不得	顾不得	gùbude
顧不上	顾不上	gùbushàng
顧及	顾及	gù jí
顧慮	顾虑	gùlǜ
雇	雇	gù
顧全大局	顾全大局	gùquándàjú
雇傭	雇佣	gùyōng
雇員	雇员	gùyuán
雇主	雇主	gùzhǔ
瓜分	瓜分	guāfēn
瓜子	瓜子	guāzǐ
寡婦	寡妇	guǎfu
颳風	刮风	guāfēng
掛鉤	挂钩	guàgōu
掛號	挂号	guà hào
掛念	挂念	guàniàn
掛失	挂失	guà shī
乖	乖	guāi
乖巧	乖巧	guāiqiǎo
拐彎	拐弯	guǎiwān
拐杖	拐杖	guǎizhàng
怪不得	怪不得	guàibude
怪物	怪物	guàiwu
怪異	怪异	guàiyì
關掉	关掉	guāndiào
關節	关节	guānjié
關稅	关税	guānshuì
關頭	关头	guāntóu
關照	关照	guānzhào
觀測	观测	guāncè
觀感	观感	guāngǎn
觀摩	观摩	guānmó
觀賞	观赏	guānshǎng
觀望	观望	guānwàng
官兵	官兵	guānbīng
官吏	官吏	guānlì
官僚	官僚	guānliáo
官僚主義	官僚主义	guānliáozhǔyì
官員	官员	guānyuán
棺材	棺材	guāncai
管家	管家	guǎnjiā
管教	管教	guǎnjiào
管理費	管理费	guǎnlǐfèi
管轄	管辖	guǎnxiá
管用	管用	guǎn yòng
管子	管子	guǎnzi
貫徹	贯彻	guànchè
貫穿	贯穿	guànchuān
貫通	贯通	guàntōng
慣	惯	guàn
慣例	惯例	guànlì
慣性	惯性	guànxìng
灌	灌	guàn
灌溉	灌溉	guàngài
灌輸	灌输	guànshū
罐	罐	guàn
罐頭	罐头	guàntou
光彩	光彩	guāngcǎi
光碟	光碟	guāngdié
光顧	光顾	guānggù
光滑	光滑	guānghua
光環	光环	guānghuán
光纜	光缆	guānglǎn
光芒	光芒	guāngmáng
光明磊落	光明磊落	guāngmíng-lěiluò
光澤	光泽	guāngzé
廣義	广义	guǎngyì
歸根到底	归根到底	guīgēndàodǐ
歸還	归还	guīhuán
歸結	归结	guījié
歸來	归来	guīlái
歸納	归纳	guīnà
歸屬	归属	guīshǔ
歸宿	归宿	guīsù
龜	龟	guī
規格	规格	guīgé
規矩	规矩	guīju
閨女	闺女	guīnü
瑰寶	瑰宝	guībǎo
軌跡	轨迹	guǐjì
櫃檯	柜台	guìtái
貴賓	贵宾	guìbīn
貴重	贵重	guìzhòng
貴族	贵族	guìzú
桂花	桂花	guìhuā
滾動	滚动	gǔndòng
棍	棍	gùn
棍子	棍子	gùnzi
國寶	国宝	guóbǎo
國防	国防	guófáng
國畫	国画	guóhuà
國徽	国徽	guóhuī
國情	国情	guóqíng
國土	国土	guótǔ
國學	国学	guóxué
國有	国有	guóyǒu
果斷	果断	guǒduàn
果園	果园	guǒyuán
果真	果真	guǒzhēn
裹	裹	guǒ
過半	过半	guòbàn
過不去	过不去	guòbuqù
過錯	过错	guòcuò
過關	过关	guò guān
過道	过道	guòdào
過獎	过奖	guòjiǎng
過節	过节	guò jié
過境	过境	guò jìng
過濾	过滤	guòlǜ
過期	过期	guò qī
過剩	过剩	guòshèng
過失	过失	guòshī
過日子	过日子	guò rìzi
過頭	过头	guòtóu
過往	过往	guòwǎng
過意不去	过意不去	guòyìbùqù
過癮	过瘾	guò yǐn
過硬	过硬	guòyìng
過早	过早	guòzǎo
海岸	海岸	hǎiàn
海拔	海拔	hǎibá
海濱	海滨	hǎibīn
海盜	海盗	hǎidào
海量	海量	hǎiliàng
海綿	海绵	hǎimián
海面	海面	hǎimiàn
海內外	海内外	hǎinèiwài
海灘	海滩	hǎitān
海峽	海峡	hǎixiá
海嘯	海啸	hǎixiào
海域	海域	hǎiyù
海運	海运	hǎiyùn
海藻	海藻	hǎizǎo
駭人聽聞	骇人听闻	hàirén-tīngwén
害蟲	害虫	hàichóng
害臊	害臊	hài sào
害羞	害羞	hài xiū
酣暢	酣畅	hānchàng
酣睡	酣睡	hānshuì
含糊	含糊	hánhu
含蓄	含蓄	hánxù
函授	函授	hánshòu
涵蓋	涵盖	hángài
涵義	涵义	hányì
罕見	罕见	hǎnjiàn
汗水	汗水	hànshuǐ
旱	旱	hàn
旱災	旱灾	hànzāi
焊	焊	hàn
捍衛	捍卫	hànwèi
行家	行家	hángjia
行列	行列	hángliè
行情	行情	hángqíng
航海	航海	hánghǎi
航天	航天	hángtiān
航天員	航天员	hángtiānyuán
航運	航运	hángyùn
航行	航行	hángxíng
毫不	毫不	hàobù
毫不猶豫	毫不犹豫	háobù yóuyù
毫無	毫无	háowú
豪華	豪华	háohuá
好歹	好歹	hǎodǎi
好比	好比	hǎobǐ
好感	好感	hǎogǎn
好壞	好坏	hǎo-huài
好家伙	好家伙	hǎojiāhuo
好評	好评	hǎopíng
好說	好说	hǎoshuō
好笑	好笑	hǎoxiào
好心	好心	hǎoxīn
好心人	好心人	hǎoxīnrén
好意	好意	hǎoyì
好在	好在	hǎozài
號稱	号称	hàochēng
好客	好客	hàokè
好奇心	好奇心	hàoqíxīn
耗	耗	hào
耗費	耗费	hàofèi
耗時	耗时	hàoshí
浩劫	浩劫	hàojié
呵護	呵护	hēhù
禾苗	禾苗	hémiáo
合唱	合唱	héchàng
合伙	合伙	héhuǒ
合乎	合乎	héhū
合計	合计	héji
合情合理	合情合理	héqíng-hélǐ
合影	合影	héyǐng
合資	合资	hézī
合作社	合作社	hézuòshè
何必	何必	hébì
何處	何处	héchù
何苦	何苦	hékǔ
何況	何况	hékuàng
何時	何时	héshí
和藹	和蔼	héǎi
和解	和解	héjiě
和睦	和睦	hémù
和平共處	和平共处	hépínggòngchǔ
和氣	和气	héqi
和尚	和尚	héshang
河流	河流	héliú
河畔	河畔	hépàn
荷花	荷花	héhuā
核	核	hé
核電站	核电站	hédiànzhàn
核對	核对	héduì
核能	核能	hénéng
核桃	核桃	hétao
核實	核实	héshí
核武器	核武器	héwǔqì
賀信	贺信	hèxìn
賀電	贺电	hèdiàn
喝彩	喝彩	hè cǎi
赫然	赫然	hèrán
鶴立雞群	鹤立鸡群	hèlì-jīqún
黑客	黑客	hēikè
黑馬	黑马	hēimǎ
黑白	黑白	hēibái
黑手	黑手	hēishǒu
黑心	黑心	hēixīn
嘿	嘿	hēi
痕跡	痕迹	hénjì
恨不得	恨不得	hènbude
哼	哼	hēng
橫七豎八	横七竖八	héngqī-shùbā
橫向	横向	héngxiàng
橫	横	héng
轟	轰	hōng
轟動	轰动	hōngdòng
轟炸	轰炸	hōngzhà
哄	哄	hōng
哄堂大笑	哄堂大笑	hōngtáng-dàxiào
烘乾	烘干	hōng gān
烘托	烘托	hōngtuō
弘揚	弘扬	hóngyáng
紅燈	红灯	hóngdēng
紅火	红火	hónghuo
紅撲撲	红扑扑	hóngpūpū
紅潤	红润	hóngrùn
紅薯	红薯	hóngshǔ
紅眼	红眼	hóngyǎn
宏觀	宏观	hóngguān
宏偉	宏伟	hóngwěi
洪亮	洪亮	hóngliàng
喉嚨	喉咙	hóulong
吼	吼	hǒu
後備	后备	hòubèi
後備箱	后备箱	hòubèixiāng
後代	后代	hòudài
後盾	后盾	hòudùn
後顧之憂	后顾之忧	hòugùzhīyōu
後期	后期	hòuqī
後勤	后勤	hòuqín
後人	后人	hòurén
後臺	后台	hòutái
後退	后退	hòutuì
後續	后续	hòuxù
後遺癥	后遗症	hòuyízhèng
後裔	后裔	hòuyì
後者	后者	hòuzhě
厚道	厚道	hòudao
厚度	厚度	hòudù
候選人	候选人	hòuxuǎnrén
呼風喚雨	呼风唤雨	hūfēng-huànyǔ
呼喚	呼唤	hūhuàn
呼救	呼救	hūjiù
呼聲	呼声	hūshēng
呼應	呼应	hūyìng
呼吁	呼吁	hūyù
忽高忽低	忽高忽低	hūgāohūdī
忽悠	忽悠	hūyou
胡鬧	胡闹	húnào
胡說	胡说	húshuō
胡思亂想	胡思乱想	húsī-luànxiǎng
湖泊	湖泊	húpō
糊	糊	hū
糊塗	糊涂	hútu
互補	互补	hùbǔ
互訪	互访	hùfǎng
互信	互信	hùxìn
互助	互助	hùzhù
護理	护理	hùlǐ
花瓣	花瓣	huābàn
花卉	花卉	huāhuì
花紋	花纹	huāwén
花樣	花样	huāyàng
華麗	华丽	huálì
划算	划算	huásuàn
華僑	华侨	huáqiáo
華裔	华裔	huáyì
嘩變	哗变	huábiàn
嘩然	哗然	huárán
滑冰	滑冰	huá bīng
滑稽	滑稽	huáji
滑梯	滑梯	huátī
滑雪	滑雪	huá xuě
化肥	化肥	huàféi
化身	化身	huàshēn
化纖	化纤	huàxiān
化險為夷	化险为夷	huàxiǎn-wéiyí
化驗	化验	huàyàn
化妝	化妆	huà zhuāng
劃時代	划时代	huàshídài
畫冊	画册	huàcè
畫龍點睛	画龙点睛	huàlóng-diǎnjīng
畫蛇添足	画蛇添足	huàshé-tiānzú
畫展	画展	huàzhǎn
話費	话费	huàfèi
話筒	话筒	huàtǒng
話語	话语	huàyǔ
懷抱	怀抱	huáibào
懷舊	怀旧	huáijiù
懷裡	怀里	huáilǐ
懷孕	怀孕	huái yùn
懷著	怀着	huáizhe
槐樹	槐树	huáishù
壞事	坏事	huàishì
歡呼	欢呼	huānhū
歡聚	欢聚	huānjù
歡快	欢快	huānkuài
歡聲笑語	欢声笑语	huānshēng-xiàoyǔ
還款	还款	huán kuǎn
還原	还原	huán yuán
環球	环球	huánqiú
環繞	环绕	huánrào
緩	缓	huǎn
緩和	缓和	huǎnhé
緩緩	缓缓	huǎnhuǎn
幻覺	幻觉	huànjué
幻影	幻影	huànyǐng
換成	换成	huànchéng
緩慢	缓慢	huǎnmàn
換位	换位	huàn wèi
換言之	换言之	huànyánzhī
換取	换取	huànqǔ
患	患	huàn
喚起	唤起	huànqǐ
患病	患病	huàn bìng
患有	患有	huànyǒu
煥發	焕发	huànfā
荒誕	荒诞	huāngdàn
荒	荒	huāng
荒涼	荒凉	huāngliáng
慌亂	慌乱	huāngluàn
荒謬	荒谬	huāngmiù
慌張	慌张	huāngzhang
皇宮	皇宫	huánggōng
皇室	皇室	huángshì
皇上	皇上	huángshang
皇后	皇后	huánghòu
恍然大悟	恍然大悟	huǎngrán-dàwù
晃	晃	huǎng
黃昏	黄昏	huánghūn
謊言	谎言	huǎngyán
謊話	谎话	huǎnghuà
灰	灰	huī
灰塵	灰尘	huīchén
晃蕩	晃荡	huàngdang
揮	挥	huī
灰心	灰心	huī xīn
輝煌	辉煌	huīhuáng
回扣	回扣	huíkòu
回饋	回馈	huíkuì
回落	回落	huíluò
迴首	回首	huíshǒu
回升	回升	huíshēng
回味	回味	huíwèi
回歸	回归	huíguī
回想	回想	huíxiǎng
回憶錄	回忆录	huíyìlù
悔恨	悔恨	huǐhèn
毀壞	毁坏	huǐhuài
匯合	汇合	huìhé
彙集	汇集	huìjí
毀滅	毁灭	huǐmiè
會場	会场	huìchǎng
會面	会面	huì miàn
會聚	汇聚	huìjù
會晤	会晤	huìwù
會意	会意	huìyì
會診	会诊	huì zhěn
繪聲繪色	绘声绘色	huìshēng-huìsè
賄賂	贿赂	huìlù
婚紗	婚纱	hūnshā
婚姻	婚姻	hūnyīn
渾身	浑身	húnshēn
魂	魂	hún
昏迷	昏迷	hūnmí
混凝土	混凝土	hùnníngtǔ
混淆	混淆	hùnxiáo
混濁	混浊	hùnzhuó
豁	豁	huō
豁出去	豁出去	huō chuqu
活該	活该	huógāi
活期	活期	huóqī
活兒	活儿	huór5
火暴	火暴	huǒbào
火鍋	火锅	huǒguō
火候	火候	huǒhou
火花	火花	huǒhuā
火炬	火炬	huǒjù
火辣辣	火辣辣	huǒlàlà
火熱	火热	huǒrè
火山	火山	huǒshān
火速	火速	huǒsù
火焰	火焰	huǒyàn
火藥	火药	huǒyào
伙食	伙食	huǒshi
或多或少	或多或少	huòduōhuòshǎo
貨幣	货币	huòbì
貨車	货车	huòchē
貨物	货物	huòwù
貨運	货运	huòyùn
獲勝	获胜	huò shèng
獲悉	获悉	huòxī
禍害	祸害	huòhai
霍亂	霍乱	huòluàn
豁達	豁达	huòdá
譏笑	讥笑	jīxiào
飢餓	饥饿	jīè
幾率	几率	jīlǜ
機艙	机舱	jīcāng
機動	机动	jīdòng
機密	机密	jīmì
機靈	机灵	jīling
機智	机智	jīzhì
肌膚	肌肤	jīfū
積	积	jī
積澱	积淀	jīdiàn
積蓄	积蓄	jīxù
基本功	基本功	jīběngōng
基層	基层	jīcéng
基因	基因	jīyīn
基準	基准	jīzhǔn
基於	基于	jīyú
畸形	畸形	jīxíng
激發	激发	jīfā
激光	激光	jīguāng
激化	激化	jīhuà
激活	激活	jīhuó
激勵	激励	jīlì
激起	激起	jī qǐ
及	及	jí
及其	及其	jíqí
激素	激素	jīsù
及早	及早	jízǎo
吉普	吉普	jípǔ
吉他	吉他	jítā
吉祥物	吉祥物	jíxiángwù
級別	级别	jíbié
極度	极度	jídù
極力	极力	jílì
極少數	极少数	jíshǎoshù
極為	极为	jíwéi
極限	极限	jíxiàn
即	即	jí
即便	即便	jíbiàn
即可	即可	jíkě
急劇	急剧	jíjù
急迫	急迫	jípò
急性	急性	jíxìng
急於	急于	jíyú
急診	急诊	jízhěn
急轉彎	急转弯	jízhuǎnwān
急需	急需	jíxū
棘手	棘手	jíshǒu
集結	集结	jíjié
集郵	集邮	jí yóu
集裝箱	集装箱	jízhuāngxiāng
集會	集会	jíhuì
嫉妒	嫉妒	jídù
脊梁	脊梁	jǐliang
集資	集资	jízī
計	计	jì
擠壓	挤压	jǐyā
計較	计较	jìjiào
記號	记号	jìhao
計時	计时	jìshí
記憶猶新	记忆犹新	jìyì-yóuxīn
紀錄片	纪录片	jìlùpiàn
紀念碑	纪念碑	jìniànbēi
紀念館	纪念馆	jìniànguǎn
紀念日	纪念日	jìniànrì
紀實	纪实	jìshí
計策	计策	jìcè
技藝	技艺	jìyì
忌	忌	jì
忌諱	忌讳	jìhui
忌口	忌口	jì kǒu
劑	剂	jì
跡象	迹象	jìxiàng
繼	继	jì
繼而	继而	jìér
繼父	继父	jìfù
繼母	继母	jìmǔ
祭	祭	jì
祭奠	祭奠	jìdiàn
祭祀	祭祀	jìsi
寄託	寄托	jìtuō
寂靜	寂静	jìjìng
寂寞	寂寞	jìmò
加緊	加紧	jiājǐn
加劇	加剧	jiājù
加深	加深	jiāshēn
加重	加重	jiāzhòng
