刚才	剛纔	"<span class=""pinYinWrapper""><span class=""t1"">gāng</span> <span class=""t2"">cái</span></span>"	"<span class=""zhuyin"">ㄍㄤ ㄘㄞˊ</span>"	[sound:cmn-刚才.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">刚</span><span class=""char-tone2"">才</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">剛</span><span class=""char-tone2"">纔</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">gāng</span> <span class=""t2"">cái</span></span></div><span class=""zhuyin"">ㄍㄤ ㄘㄞˊ</span><div class=""meaning""><ul><li>just now</li><li> a moment ago</li><li> (just) a moment ago</li></ul></div>"
节目	節目	"<span class=""pinYinWrapper""><span class=""t2"">jié</span> <span class=""t4"">mù</span></span>"	"<span class=""zhuyin"">ㄐㄧㄝˊ ㄇㄨˋ</span>"	[sound:cmn-节目.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">节</span><span class=""char-tone4"">目</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone2"">節</span><span class=""char-tone4"">目</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">jié</span> <span class=""t4"">mù</span></span></div><span class=""zhuyin"">ㄐㄧㄝˊ ㄇㄨˋ</span><div class=""meaning""><ul><li>program</li><li> item (on a program)</li><li> CL:臺|台[tai2],個|个[ge4],套[tao4]</li></ul></div>"
通过	通過	"<span class=""pinYinWrapper""><span class=""t1"">tōng</span> <span class=""t4"">guò</span></span>"	"<span class=""zhuyin"">ㄊㄨㄥ ㄍㄨㄛˋ</span>"	[sound:cmn-通过.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">通</span><span class=""char-tone4"">过</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">通</span><span class=""char-tone4"">過</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">tōng</span> <span class=""t4"">guò</span></span></div><span class=""zhuyin"">ㄊㄨㄥ ㄍㄨㄛˋ</span><div class=""meaning""><ul><li>by means of</li><li> through</li><li> via</li><li> to pass through</li><li> to get through</li><li> to adopt</li><li> to pass (a bill or inspection etc)</li><li> to switch over</li></ul></div>"
开心	開心	"<span class=""pinYinWrapper""><span class=""t1"">kāi</span> <span class=""t1"">xīn</span></span>"	"<span class=""zhuyin"">ㄎㄞ ㄒㄧㄣ</span>"	[sound:cmn-开心.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">开</span><span class=""char-tone1"">心</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">開</span><span class=""char-tone1"">心</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">kāi</span> <span class=""t1"">xīn</span></span></div><span class=""zhuyin"">ㄎㄞ ㄒㄧㄣ</span><div class=""meaning""><ul><li>to feel happy</li><li> to rejoice</li><li> to have a great time</li><li> to make fun of sb</li></ul></div>"
辆	輛	"<span class=""pinYinWrapper""><span class=""t4"">liàng</span></span>"	"<span class=""zhuyin"">ㄌㄧㄤˋ</span>"	[sound:cmn-辆.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">辆</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">輛</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">liàng</span></span></div><span class=""zhuyin"">ㄌㄧㄤˋ</span><div class=""meaning""><ul><li>classifier for vehicles</li></ul></div>"
变成	變成	"<span class=""pinYinWrapper""><span class=""t4"">biàn</span> <span class=""t2"">chéng</span></span>"	"<span class=""zhuyin"">ㄅㄧㄢˋ ㄔㄥˊ</span>"	[sound:cmn-变成.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">变</span><span class=""char-tone2"">成</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">變</span><span class=""char-tone2"">成</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">biàn</span> <span class=""t2"">chéng</span></span></div><span class=""zhuyin"">ㄅㄧㄢˋ ㄔㄥˊ</span><div class=""meaning""><ul><li>to change into</li><li> to turn into</li><li> to become</li></ul></div>"
倒	倒	"<span class=""pinYinWrapper""><span class=""t3"">dǎo</span></span>, <span class=""pinYinWrapper""><span class=""t4"">dào</span></span>"	"<span class=""zhuyin"">ㄉㄠˇ</span>, <span class=""zhuyin"">ㄉㄠˋ</span>"	[sound:cmn-倒.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">倒</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">dǎo</span></span></div><span class=""zhuyin"">ㄉㄠˇ</span><div class=""meaning""><ul><li>to fall</li><li> to collapse</li><li> to overthrow</li><li> to fail</li><li> to go bankrupt</li><li> to change (trains or buses)</li><li> to move around</li><li> to resell at a profit</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">倒</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">dào</span></span></div><span class=""zhuyin"">ㄉㄠˋ</span><div class=""meaning""><ul><li>to place upside down</li><li> to invert</li><li> to pour</li><li> to throw out</li><li> to move backwards</li><li> however</li><li> actually</li><li> as a matter of fact</li><li> contrary to expectation</li></ul></div>"
离	離	"<span class=""pinYinWrapper""><span class=""t1"">chī</span></span>, <span class=""pinYinWrapper""><span class=""t2"">Lí</span></span>, <span class=""pinYinWrapper""><span class=""t2"">lí</span></span>"	"<span class=""zhuyin"">ㄔ</span>, <span class=""zhuyin"">ㄌㄧˊ</span>"	[sound:cmn-离.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">离</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">離</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">chī</span></span></div><span class=""zhuyin"">ㄔ</span><div class=""meaning""><ul><li>mythical beast (archaic)</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">离</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone2"">離</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">Lí</span></span></div><span class=""zhuyin"">ㄌㄧˊ</span><div class=""meaning""><ul><li>surname Li</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">离</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone2"">離</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">lí</span></span></div><span class=""zhuyin"">ㄌㄧˊ</span><div class=""meaning""><ul><li>to leave</li><li> to part from</li><li> to be away from</li><li> (in giving distances) from</li><li> without (sth)</li><li> independent of</li><li> one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire</li><li> ☲</li></ul></div>"
往	徃	"<span class=""pinYinWrapper""><span class=""t3"">wǎng</span></span>"	"<span class=""zhuyin"">ㄨㄤˇ</span>"	[sound:cmn-往.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">往</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone3"">徃</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">wǎng</span></span></div><span class=""zhuyin"">ㄨㄤˇ</span><div class=""meaning""><ul><li>to go (in a direction)</li><li> to</li><li> towards</li><li> (of a train) bound for</li><li> past</li><li> previous</li><li> old variant of 往[wang3]</li></ul></div>"
万	萬	"<span class=""pinYinWrapper""><span class=""t4"">Mò</span></span>, <span class=""pinYinWrapper""><span class=""t4"">Wàn</span></span>, <span class=""pinYinWrapper""><span class=""t4"">wàn</span></span>"	"<span class=""zhuyin"">ㄇㄛˋ</span>, <span class=""zhuyin"">ㄨㄢˋ</span>"	[sound:cmn-万.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">万</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">萬</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">Mò</span></span></div><span class=""zhuyin"">ㄇㄛˋ</span><div class=""meaning""><ul><li>see 万俟[Mo4 qi2]</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">万</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">萬</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">Wàn</span></span></div><span class=""zhuyin"">ㄨㄢˋ</span><div class=""meaning""><ul><li>surname Wan</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">万</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">萬</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">wàn</span></span></div><span class=""zhuyin"">ㄨㄢˋ</span><div class=""meaning""><ul><li>ten thousand</li><li> a great number</li></ul></div>"
句	句	"<span class=""pinYinWrapper""><span class=""t1"">gōu</span></span>, <span class=""pinYinWrapper""><span class=""t4"">jù</span></span>"	"<span class=""zhuyin"">ㄍㄡ</span>, <span class=""zhuyin"">ㄐㄩˋ</span>"	[sound:cmn-句.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">句</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">gōu</span></span></div><span class=""zhuyin"">ㄍㄡ</span><div class=""meaning""><ul><li>variant of 勾[gou1]</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">句</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">jù</span></span></div><span class=""zhuyin"">ㄐㄩˋ</span><div class=""meaning""><ul><li>sentence</li><li> clause</li><li> phrase</li><li> classifier for phrases or lines of verse</li></ul></div>"
靠	靠	"<span class=""pinYinWrapper""><span class=""t4"">kào</span></span>"	"<span class=""zhuyin"">ㄎㄠˋ</span>"	[sound:cmn-靠.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">靠</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">kào</span></span></div><span class=""zhuyin"">ㄎㄠˋ</span><div class=""meaning""><ul><li>to lean against or on</li><li> to stand by the side of</li><li> to come near to</li><li> to depend on</li><li> to trust</li><li> to fuck (vulgar)</li><li> traditional military costume drama where the performers wear armor (old)</li></ul></div>"
办公室	辦公室	"<span class=""pinYinWrapper""><span class=""t4"">bàn</span> <span class=""t1"">gōng</span> <span class=""t4"">shì</span></span>"	"<span class=""zhuyin"">ㄅㄢˋ ㄍㄨㄥ ㄕˋ</span>"	[sound:cmn-办公室.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">办</span><span class=""char-tone1"">公</span><span class=""char-tone4"">室</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">辦</span><span class=""char-tone1"">公</span><span class=""char-tone4"">室</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bàn</span> <span class=""t1"">gōng</span> <span class=""t4"">shì</span></span></div><span class=""zhuyin"">ㄅㄢˋ ㄍㄨㄥ ㄕˋ</span><div class=""meaning""><ul><li>office</li><li> business premises</li><li> bureau</li><li> CL:間|间[jian1]</li></ul></div>"
生	生	"<span class=""pinYinWrapper""><span class=""t1"">shēng</span></span>"	"<span class=""zhuyin"">ㄕㄥ</span>"	[sound:cmn-生.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">生</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">shēng</span></span></div><span class=""zhuyin"">ㄕㄥ</span><div class=""meaning""><ul><li>to be born</li><li> to give birth</li><li> life</li><li> to grow</li><li> raw</li><li> uncooked</li><li> student</li></ul></div>"
眼睛	眼睛	"<span class=""pinYinWrapper""><span class=""t3"">yǎn</span> <span class=""t0"">jing</span></span>"	"<span class=""zhuyin"">ㄧㄢˇ ㄐㄧㄥ˙</span>"	[sound:cmn-眼睛.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">眼</span><span class=""char-tone0"">睛</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">yǎn</span> <span class=""t0"">jing</span></span></div><span class=""zhuyin"">ㄧㄢˇ ㄐㄧㄥ˙</span><div class=""meaning""><ul><li>eye</li><li> CL:隻|只[zhi1],雙|双[shuang1]</li></ul></div>"
最近	最近	"<span class=""pinYinWrapper""><span class=""t4"">zuì</span> <span class=""t4"">jìn</span></span>"	"<span class=""zhuyin"">ㄗㄨㄟˋ ㄐㄧㄣˋ</span>"	[sound:cmn-最近.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">最</span><span class=""char-tone4"">近</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">zuì</span> <span class=""t4"">jìn</span></span></div><span class=""zhuyin"">ㄗㄨㄟˋ ㄐㄧㄣˋ</span><div class=""meaning""><ul><li>recent</li><li> recently</li><li> these days</li><li> latest</li><li> soon</li><li> nearest (of locations)</li><li> shortest (of routes)</li></ul></div>"
声音	聲音	"<span class=""pinYinWrapper""><span class=""t1"">shēng</span> <span class=""t1"">yīn</span></span>"	"<span class=""zhuyin"">ㄕㄥ ㄧㄣ</span>"	[sound:cmn-声音.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">声</span><span class=""char-tone1"">音</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">聲</span><span class=""char-tone1"">音</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">shēng</span> <span class=""t1"">yīn</span></span></div><span class=""zhuyin"">ㄕㄥ ㄧㄣ</span><div class=""meaning""><ul><li>voice</li><li> sound</li><li> CL:個|个[ge4]</li></ul></div>"
快乐	快樂	"<span class=""pinYinWrapper""><span class=""t4"">kuài</span> <span class=""t4"">lè</span></span>"	"<span class=""zhuyin"">ㄎㄨㄞˋ ㄌㄜˋ</span>"	[sound:cmn-快乐.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">快</span><span class=""char-tone4"">乐</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">快</span><span class=""char-tone4"">樂</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">kuài</span> <span class=""t4"">lè</span></span></div><span class=""zhuyin"">ㄎㄨㄞˋ ㄌㄜˋ</span><div class=""meaning""><ul><li>happy</li><li> merry</li></ul></div>"
可爱	可愛	"<span class=""pinYinWrapper""><span class=""t3"">kě</span> <span class=""t4"">ài</span></span>"	"<span class=""zhuyin"">ㄎㄜˇ ㄞˋ</span>"	[sound:cmn-可爱.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">可</span><span class=""char-tone4"">爱</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone3"">可</span><span class=""char-tone4"">愛</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">kě</span> <span class=""t4"">ài</span></span></div><span class=""zhuyin"">ㄎㄜˇ ㄞˋ</span><div class=""meaning""><ul><li>adorable</li><li> cute</li><li> lovely</li></ul></div>"
进入	進入	"<span class=""pinYinWrapper""><span class=""t4"">jìn</span> <span class=""t4"">rù</span></span>"	"<span class=""zhuyin"">ㄐㄧㄣˋ ㄖㄨˋ</span>"	[sound:cmn-进入.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">进</span><span class=""char-tone4"">入</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">進</span><span class=""char-tone4"">入</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">jìn</span> <span class=""t4"">rù</span></span></div><span class=""zhuyin"">ㄐㄧㄣˋ ㄖㄨˋ</span><div class=""meaning""><ul><li>to enter</li><li> to join</li><li> to go into</li></ul></div>"
能够	能夠	"<span class=""pinYinWrapper""><span class=""t2"">néng</span> <span class=""t4"">gòu</span></span>"	"<span class=""zhuyin"">ㄋㄥˊ ㄍㄡˋ</span>"	[sound:cmn-能够.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">能</span><span class=""char-tone4"">够</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone2"">能</span><span class=""char-tone4"">夠</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">néng</span> <span class=""t4"">gòu</span></span></div><span class=""zhuyin"">ㄋㄥˊ ㄍㄡˋ</span><div class=""meaning""><ul><li>to be capable of</li><li> to be able to</li><li> can</li></ul></div>"
分	分	"<span class=""pinYinWrapper""><span class=""t1"">fēn</span></span>, <span class=""pinYinWrapper""><span class=""t4"">fèn</span></span>"	"<span class=""zhuyin"">ㄈㄣ</span>, <span class=""zhuyin"">ㄈㄣˋ</span>"	[sound:cmn-分.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">分</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">fēn</span></span></div><span class=""zhuyin"">ㄈㄣ</span><div class=""meaning""><ul><li>to divide</li><li> to separate</li><li> to distribute</li><li> to allocate</li><li> to distinguish (good and bad)</li><li> part or subdivision</li><li> fraction</li><li> one tenth (of certain units)</li><li> unit of length equivalent to 0.33 cm</li><li> minute</li><li> a point (in sports or games)</li><li> 0.01 yuan (unit of money)</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">分</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">fèn</span></span></div><span class=""zhuyin"">ㄈㄣˋ</span><div class=""meaning""><ul><li>part</li><li> share</li><li> ingredient</li><li> component</li></ul></div>"
完成	完成	"<span class=""pinYinWrapper""><span class=""t2"">wán</span> <span class=""t2"">chéng</span></span>"	"<span class=""zhuyin"">ㄨㄢˊ ㄔㄥˊ</span>"	[sound:cmn-完成.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">完</span><span class=""char-tone2"">成</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">wán</span> <span class=""t2"">chéng</span></span></div><span class=""zhuyin"">ㄨㄢˊ ㄔㄥˊ</span><div class=""meaning""><ul><li>to complete</li><li> to accomplish</li></ul></div>"
不行	不行	"<span class=""pinYinWrapper""><span class=""t4"">bù</span> <span class=""t2"">xíng</span></span>"	"<span class=""zhuyin"">ㄅㄨˋ ㄒㄧㄥˊ</span>"	[sound:cmn-不行.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">不</span><span class=""char-tone2"">行</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bù</span> <span class=""t2"">xíng</span></span></div><span class=""zhuyin"">ㄅㄨˋ ㄒㄧㄥˊ</span><div class=""meaning""><ul><li>won't do</li><li> be out of the question</li><li> be no good</li><li> not work</li><li> not be capable</li></ul></div>"
样子	樣子	"<span class=""pinYinWrapper""><span class=""t4"">yàng</span> <span class=""t0"">zi</span></span>"	"<span class=""zhuyin"">ㄧㄤˋ ㄗ˙</span>"	[sound:cmn-样子.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">样</span><span class=""char-tone0"">子</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">樣</span><span class=""char-tone0"">子</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">yàng</span> <span class=""t0"">zi</span></span></div><span class=""zhuyin"">ㄧㄤˋ ㄗ˙</span><div class=""meaning""><ul><li>appearance</li><li> manner</li><li> pattern</li><li> model</li></ul></div>"
提	提	"<span class=""pinYinWrapper""><span class=""t2"">tí</span></span>"	"<span class=""zhuyin"">ㄊㄧˊ</span>"	[sound:cmn-提.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">提</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">tí</span></span></div><span class=""zhuyin"">ㄊㄧˊ</span><div class=""meaning""><ul><li>to carry (hanging down from the hand)</li><li> to lift</li><li> to put forward</li><li> to mention</li><li> to raise (an issue)</li><li> upwards character stroke</li><li> lifting brush stroke (in painting)</li><li> scoop for measuring liquid</li></ul></div>"
部分	部分	"<span class=""pinYinWrapper""><span class=""t4"">bù</span> <span class=""t0"">fen</span></span>"	"<span class=""zhuyin"">ㄅㄨˋ ㄈㄣ˙</span>"	[sound:cmn-部分.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">部</span><span class=""char-tone0"">分</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bù</span> <span class=""t0"">fen</span></span></div><span class=""zhuyin"">ㄅㄨˋ ㄈㄣ˙</span><div class=""meaning""><ul><li>part</li><li> share</li><li> section</li><li> piece</li><li> CL:個|个[ge4]</li></ul></div>"
要求	要求	"<span class=""pinYinWrapper""><span class=""t1"">yāo</span> <span class=""t2"">qiú</span></span>"	"<span class=""zhuyin"">ㄧㄠ ㄑㄧㄡˊ</span>"	[sound:cmn-要求.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">要</span><span class=""char-tone2"">求</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">yāo</span> <span class=""t2"">qiú</span></span></div><span class=""zhuyin"">ㄧㄠ ㄑㄧㄡˊ</span><div class=""meaning""><ul><li>to request</li><li> to require</li><li> to stake a claim</li><li> to ask</li><li> to demand</li><li> CL:點|点[dian3]</li></ul></div>"
虽然	雖然	"<span class=""pinYinWrapper""><span class=""t1"">suī</span> <span class=""t2"">rán</span></span>"	"<span class=""zhuyin"">ㄙㄨㄟ ㄖㄢˊ</span>"	[sound:cmn-虽然.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">虽</span><span class=""char-tone2"">然</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">雖</span><span class=""char-tone2"">然</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">suī</span> <span class=""t2"">rán</span></span></div><span class=""zhuyin"">ㄙㄨㄟ ㄖㄢˊ</span><div class=""meaning""><ul><li>although</li><li> even though</li><li> even if</li></ul></div>"
办	辦	"<span class=""pinYinWrapper""><span class=""t4"">bàn</span></span>"	"<span class=""zhuyin"">ㄅㄢˋ</span>"	[sound:cmn-办.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">办</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">辦</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bàn</span></span></div><span class=""zhuyin"">ㄅㄢˋ</span><div class=""meaning""><ul><li>to do</li><li> to manage</li><li> to handle</li><li> to go about</li><li> to run</li><li> to set up</li><li> to deal with</li></ul></div>"
想到	想到	"<span class=""pinYinWrapper""><span class=""t3"">xiǎng</span> <span class=""t4"">dào</span></span>"	"<span class=""zhuyin"">ㄒㄧㄤˇ ㄉㄠˋ</span>"	[sound:cmn-想到.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">想</span><span class=""char-tone4"">到</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">xiǎng</span> <span class=""t4"">dào</span></span></div><span class=""zhuyin"">ㄒㄧㄤˇ ㄉㄠˋ</span><div class=""meaning""><ul><li>to think of</li><li> to call to mind</li><li> to anticipate</li></ul></div>"
加	加	"<span class=""pinYinWrapper""><span class=""t1"">Jiā</span></span>, <span class=""pinYinWrapper""><span class=""t1"">jiā</span></span>"	"<span class=""zhuyin"">ㄐㄧㄚ</span>"	[sound:cmn-加.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">加</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">Jiā</span></span></div><span class=""zhuyin"">ㄐㄧㄚ</span><div class=""meaning""><ul><li>abbr. for Canada 加拿大[Jia1 na2 da4]</li><li> surname Jia</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">加</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">jiā</span></span></div><span class=""zhuyin"">ㄐㄧㄚ</span><div class=""meaning""><ul><li>to add</li><li> plus</li><li> (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned)</li><li> to apply (restrictions etc) to (sb)</li><li> to give (support, consideration etc) to (sth)</li></ul></div>"
脸	臉	"<span class=""pinYinWrapper""><span class=""t3"">liǎn</span></span>"	"<span class=""zhuyin"">ㄌㄧㄢˇ</span>"	[sound:cmn-脸.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">脸</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone3"">臉</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">liǎn</span></span></div><span class=""zhuyin"">ㄌㄧㄢˇ</span><div class=""meaning""><ul><li>face</li><li> CL:張|张[zhang1],個|个[ge4]</li></ul></div>"
不同	不同	"<span class=""pinYinWrapper""><span class=""t4"">bù</span> <span class=""t2"">tóng</span></span>"	"<span class=""zhuyin"">ㄅㄨˋ ㄊㄨㄥˊ</span>"	[sound:cmn-不同.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">不</span><span class=""char-tone2"">同</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bù</span> <span class=""t2"">tóng</span></span></div><span class=""zhuyin"">ㄅㄨˋ ㄊㄨㄥˊ</span><div class=""meaning""><ul><li>different</li><li> distinct</li><li> not the same</li><li> not alike</li></ul></div>"
画儿	畫兒	"<span class=""pinYinWrapper""><span class=""t4"">huà</span><span class=""t0"">r</span></span>"	"<span class=""zhuyin"">ㄏㄨㄚˋ ㄦ˙</span>"	[sound:cmn-画儿.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">画</span><span class=""char-tone0"">儿</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">畫</span><span class=""char-tone0"">兒</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">huà</span><span class=""t0"">r</span></span></div><span class=""zhuyin"">ㄏㄨㄚˋ ㄦ˙</span><div class=""meaning""><ul><li>picture</li><li> drawing</li><li> painting</li></ul></div>"
家庭	家庭	"<span class=""pinYinWrapper""><span class=""t1"">jiā</span> <span class=""t2"">tíng</span></span>"	"<span class=""zhuyin"">ㄐㄧㄚ ㄊㄧㄥˊ</span>"	[sound:cmn-家庭.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">家</span><span class=""char-tone2"">庭</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">jiā</span> <span class=""t2"">tíng</span></span></div><span class=""zhuyin"">ㄐㄧㄚ ㄊㄧㄥˊ</span><div class=""meaning""><ul><li>family</li><li> household</li><li> CL:戶|户[hu4],個|个[ge4]</li></ul></div>"
