阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)
墊	垫	diàn	pad, cushion, mat, to pad out, to fill a gap, to pay for sb, to advance (money)
墊底	垫底	diàndǐ	Bottom
墊子	垫子	diànzi	cushion, mat, pad
澱粉	淀粉	diànfěn	starch, amylum C6H10O5
惦記	惦记	diànji	to think of, to keep thinking about, to be concerned about
奠定	奠定	diàndìng	establish, settle
殿堂	殿堂	diàntáng	mansion, manse, hall, palace, temple, residence, mansion house
刁難	刁难	diāonàn	to be hard on sb, to deliberately make things difficult
叼	叼	diāo	to hold with one's mouth (as a smoker with a cigarette or a dog with a bone)
雕	雕	diāo	bird of prey
雕刻	雕刻	diāokè	statue
雕塑	雕塑	diāosù	a statue, a Buddhist image, sculpture, to carve
吊銷	吊销	diàoxiāo	to suspend (an agreement), to revoke
釣魚	钓鱼	diào yú	go fishing, fish, go angling, angle
調度	调度	diàodù	to dispatch (vehicles, staff etc), to schedule, to manage, dispatcher, scheduler
掉隊	掉队	diào duì	to fall behind, to drop out
掉頭	掉头	diào tóu	to turn one's head, to turn round, to turn about
爹	爹	diē	old man, father, papa, pappa, daddy, pa, pop, dada, dad, pater
迭起	迭起	diéqǐ	continuously arising, to arise repeatedly
疊	叠	dié	to fold, to fold over in layers, to furl, to layer, to pile up, to repeat, to duplicate
丁	丁	dīng	surname Ding, fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1], fourth in order, letter 'D' or roman 'IV' in list 'A, B, C', or 'I, II, III' etc, ancient Chinese compass point: 195°, butyl, cubes (of food)
叮囑	叮嘱	dīngzhǔ	to warn repeatedly, to urge, to exhort again and again
釘子	钉子	dīngzi	nail, snag, saboteur
盯	盯	dīng	to watch attentively, to fix one's attention on, to stare at, to gaze at
頂多	顶多	dǐngduō	at most, at best
頂級	顶级	dǐngjí	top-notch, first-rate
頂尖	顶尖	dǐngjiān	towering
訂單	订单	dìngdān	order_form, order, order form, order form for goods, purchase order, indent
訂購	订购	dìnggòu	to place an order, to subscribe
訂婚	订婚	dìng hūn	to get engaged
訂立	订立	dìnglì	to conclude (treaty, contract, agreement etc), to set up (a rule etc)
釘	钉	dīng	nail, to follow closely, to keep at sb (to do sth), variant of 盯[ding1], to join things together by fixing them in place at one or more points, to nail, to pin, to staple, to sew on
定金	定金	dìngjīn	down payment, advance payment
定居	定居	dìng jū	settle down
定論	定论	dìnglùn	final conclusion, accepted argument
定為	定为	dìng wèi	set to
定向	定向	dìngxiàng	to orientate, directional, directed, orienteering
定心丸	定心丸	dìngxīnwán	tranquilizer, sth that sets one's mind at ease
定做	定做	dìngzuò	to have something made to order
丟掉	丢掉	diūdiào	to lose, to throw away, to discard, to cast away
定義	定义	dìngyì	definition
丟臉	丢脸	diū liǎn	to lose face, humiliation
丟棄	丢弃	diūqì	to discard, to abandon
丟人	丢人	diū rén	to lose face
丟失	丢失	diūshī	to lose, lost
東奔西走	东奔西走	dōngbēnxīzǒu	to run this way and that (idiom), to rush about busily, to bustle about, to hopscotch, also 東跑西顛|东跑西颠[dong1 pao3 xi1 dian1]
東道主	东道主	dōngdàozhǔ	host, official host (e.g. venue for games or a conference)
東張西望	东张西望	dōngzhāng-xīwàng	to look in all directions (idiom), to glance around
董事	董事	dǒngshì	director, trustee
董事會	董事会	dǒngshìhuì	board, board of directors, board of administration, syndicate, directorate, board of regents, board of trustees, board_of_directors, directory
董事長	董事长	dǒngshìzhǎng	board chair
懂事	懂事	dǒng shì	sensible, thoughtful, intelligent
動不動	动不动	dòngbudòng	apt to happen (usually of sth undesirable), frequently, happening easily (e.g. accident or illness)
動蕩	动荡	dòngdàng	unrest (social or political), turmoil, upheaval, commotion
動感	动感	dònggǎn	innervation, dynamism
動工	动工	dòng gōng	begin construction
動靜	动静	dòngjing	sound of activity or people talking, news of activity
動脈	动脉	dòngmài	artery
動身	动身	dòng shēn	to go on a journey, to leave
動彈	动弹	dòngtan	to budge
動聽	动听	dòngtīng	pleasant to listen to
動向	动向	dòngxiàng	set, development, tendency, trend, movement, drift
動用	动用	dòngyòng	put to use, draw on, put ... to use, use, employ, employment
凍結	冻结	dòngjié	to freeze (loan, wage, price etc)
棟	栋	dòng	ridgepole, m.[general],
棟梁	栋梁	dòngliáng	ridgepole, ridgepole and beams, person able to bear heavy responsibility, mainstay (of organization), pillar (of state)
兜	兜	dōu	pocket, bag, to wrap up or hold in a bag, to move in a circle, to canvas or solicit, to take responsibility for, to disclose in detail, combat armor (old), old variant of 兜[dou1]
兜兒	兜儿	dōur5	pocket, bag, to wrap up or hold in a bag, to move in a circle, to canvas or solicit, to take responsibility for, to disclose in detail, combat armor (old), erhua variant of 兜[dou1]
兜售	兜售	dōushòu	to hawk, to peddle
陡	陡	dǒu	steep, precipitous, abrubtly, suddenly, unexpectedly
抖	抖	dǒu	to tremble, to shake out, to reveal, to make it in the world
鬥	斗	dòu	abbr. for the Big Dipper constellation 北斗星[Bei3 dou3 xing1], dry measure for grain equal to ten 升[sheng1] or one-tenth of a 石[dan4], decaliter, peck, cup or dipper shaped object, old variant of 陡[dou3], variant of 鬥|斗[dou4]
鬥志	斗志	dòuzhì	will to fight, fighting spirit
豆漿	豆浆	dòujiāng	soy milk
豆子	豆子	dòuzi	bean, pea, CL:顆|颗[ke1]
逗	逗	dòu	to stay, to stop, to tease (play with), amusing, short pause in reading aloud, equivalent to comma (also written 讀|读[dou4])
都會	都会	dūhuì	big city, city, metropolis
督促	督促	dūcù	to supervise and urge completion of a task, to urge on
獨	独	dú	by oneself, alone, in solitude, only
獨唱	独唱	dúchàng	(in singing) solo, to solo
獨家	独家	dújiā	exclusive
獨立自主	独立自主	dúlì-zìzhǔ	independent and autonomous (idiom), self-determination, to act independently, to maintain control over one's own affairs
獨身	独身	dúshēn	unmarried, single
獨一無二	独一无二	dúyī-wúèr	unique and unmatched (idiom), unrivalled, nothing compares with it
堵塞	堵塞	dǔsè	to clog up, blockage
杜絕	杜绝	dùjué	to put an end to
妒忌	妒忌	dùjì	to be jealous of (sb's achievements etc), to be envious, envy
度	度	dù	m.[activity]
度假	度假	dù jià	spend one's holidays
渡過	渡过	dùguò	pass, spend (time/etc.)
端正	端正	duānzhèng	upright, regular, proper, correct
短缺	短缺	duǎnquē	shortage
短暫	短暂	duǎnzàn	fleet, of short duration, brief, transient
段落	段落	duànluò	phase, time interval, paragraph, (written) passage
斷斷續續	断断续续	duànduàn-xùxù	intermittent, off and on, discontinuous, stop-go, stammering, disjointed, inarticulate
斷定	断定	duàndìng	to conclude, to determine, to come to a judgment
斷裂	断裂	duànliè	fracture, rupture, to break apart
堆砌	堆砌	duīqì	lit. to pile up (bricks), to pack, fig. to pad out (writing with fancy phrases), ornate rhetoric
隊形	队形	duìxíng	formation
對白	对白	duìbái	stage dialog
對策	对策	duìcè	expedient, cure, countermeasure, antidote, way to deal with a situation, countermove
對稱	对称	duìchèn	symmetry, symmetrical
對得起	对得起	duìdeqǐ	not to let sb down, to treat sb fairly, be worthy of
對聯	对联	duìlián	rhyming couplet, pair of lines of verse written vertically down the sides of a doorway, CL:副[fu4],幅[fu2]
對弈	对弈	duìyì	to play go, chess etc
對照	对照	duìzhào	contrast, compare
對峙	对峙	duìzhì	to stand opposite, to confront, confrontation
對準	对准	duì zhǔn	to aim at, to target, to point at, to be directed at, registration, alignment (mechanical engineering)
兌換	兑换	duìhuàn	to convert, to exchange
兌現	兑现	duìxiàn	(of a check etc) to cash, to honor a commitment
敦厚	敦厚	dūnhòu	genuine, honest and sincere
敦促	敦促	dūncù	to press, to urge, to hasten
頓時	顿时	dùnshí	suddenly, at once, immediately
多邊	多边	duōbiān	multilateral
炖	炖	dùn	to stew
多功能	多功能	duōgōngnéng	multi-functional, multi-function
多勞多得	多劳多得	duōláo-duōdé	work more and get more
多年來	多年来	duōniánlái	for the past many years
多心	多心	duōxīn	oversensitive, suspicious
多虧	多亏	duōkuī	thanks to, luckily
多元	多元	duōyuán	multiplex, multicomponent, multivariate, poly-
哆嗦	哆嗦	duōsuo	to tremble, to shiver, uncontrolled shaking of the body
多餘	多余	duōyú	spare, redundant, unnecessary, superfluous, uncalled-for, surplus
奪魁	夺魁	duókuí	to seize, to win
奪冠	夺冠	duó guàn	to seize the crown, fig. to win a championship, to win gold medal
躲藏	躲藏	duǒcáng	to conceal oneself, to go into hiding, to take cover
舵手	舵手	duòshǒu	helmsman
躲避	躲避	duǒbì	hide (oneself), elude, dodge
墮落	堕落	duòluò	degenerate, sink low
俄語	俄语	Éyǔ	Russian (language)
訛詐	讹诈	ézhà	to extort under false pretenses, to blackmail, to bluff, to defraud
鵝	鹅	é	goose, variant of 鵝|鹅[e2]
額外	额外	éwài	extra, added, additional
惡	恶	è	evil, wicked, vicious
厄運	厄运	èyùn	bad luck, misfortune, adversity
惡劣	恶劣	èliè	vile, nasty
惡化	恶化	èhuà	worsen
惡性	恶性	èxìng	malignant, pernicious, vicious, deadly, malignancy, viciousness, lethal, venomous, fatal, virulent
惡意	恶意	èyì	malice, evil intention
遏制	遏制	èzhì	to check, to contain, to hold back, to keep within limits, to constrain, to restrain
鱷魚	鳄鱼	èyú	alligator, crocodile
恩賜	恩赐	ēncì	favor, to give charity to sb out of pity
恩惠	恩惠	ēnhuì	favor, grace
恩情	恩情	ēnqíng	kindness, affection, grace, favor
而已	而已	éryǐ	particle: imparting finality (that's all)
耳光	耳光	ěrguāng	a slap on the face, CL:記|记[ji4]
恩怨	恩怨	ēnyuàn	gratitude and grudges, resentment, grudges, grievances
耳目一新	耳目一新	ěrmù-yīxīn	a pleasant change, a breath of fresh air, refreshing
耳熟能詳	耳熟能详	ěrshú-néngxiáng	what's frequently heard can be repeated in detail (idiom)
耳聞目睹	耳闻目睹	ěrwén-mùdǔ	to witness personally
二手車	二手车	èrshǒuchē	second-hand car
二氧化碳	二氧化碳	èryǎnghuàtàn	carbon dioxide CO2
發佈會	发布会	fābùhuì	news conference, briefing
發財	发财	fācái	to get rich
發愁	发愁	fā chóu	to worry, to fret, to be anxious, to become sad
發電機	发电机	fādiànjī	electricity generator, dynamo
發抖	发抖	fādǒu	to tremble, to shake, to shiver
發光	发光	fāguāng	to shine
發憤圖強	发愤图强	fāfèn-túqiáng	to be strongly determined to succeed (idiom)
發酵	发酵	fājiào	to ferment, fermentation
發掘	发掘	fājué	excavate, unearth, explore
發火	发火	fā huǒ	to catch fire, to ignite, to detonate, to get angry
發脾氣	发脾气	fā píqi	to get angry
發起人	发起人	fāqǐrén	proposer, initiator, founding member
發熱	发热	fā rè	to have a high temperature, feverish, unable to think calmly, to emit heat
發誓	发誓	fā shì	to vow, to pledge, to swear
發愣	发愣	fālèng	to daydream, in a daze
發揚	发扬	fāyáng	to develop, to make full use of
發揚光大	发扬光大	fāyáng-guāngdà	to develop and promote, to carry forward, to bring to great height of development
發育	发育	fāyù	grow, develop
發源地	发源地	fāyuándì	place of origin, birthplace, source
發泄	发泄	fāxiè	to give vent to (one's feelings)
發作	发作	fāzuò	break out, flare up, explode, have fit of anger, get_into, have a fit of anger, show effect
閥門	阀门	fámén	valve (mechanical)
髮型	发型	fàxíng	hairstyle, coiffure, hairdo
帆	帆	fān	to gallop, Taiwan pr. [fan2], variant of 帆[fan1]
帆船	帆船	fānchuán	sailboat
翻番	翻番	fān fān	to double, to increase by a certain number of times
翻來覆去	翻来覆去	fānlái-fùqù	to toss and turn (sleeplessly), again and again
翻天覆地	翻天覆地	fāntiān-fùdì	sky and the earth turning upside down (idiom), fig. complete confusion, everything turned on its head
凡	凡	fán	conj.: whatever
煩悶	烦闷	fánmèn	moody, gloomy
煩惱	烦恼	fánnǎo	vexation
煩躁	烦躁	fánzào	jittery, twitchy, fidgety
繁華	繁华	fánhuá	flourishing, bustling, busy
繁忙	繁忙	fánmáng	busy
繁體字	繁体字	fántǐzì	traditional Chinese character
繁重	繁重	fánzhòng	heavy, burdensome, heavy-duty, arduous, onerous
反駁	反驳	fǎnbó	refute, retort, negate
反差	反差	fǎnchā	contrast, discrepancy
反常	反常	fǎncháng	unusual, abnormal
反倒	反倒	fǎndào	conj.: on the contrary, instead
反感	反感	fǎngǎn	to be disgusted with, to dislike, bad reaction, antipathy
反過來	反过来	fǎnguolai	conversely, in reverse order, in an opposite direction
反擊	反击	fǎnjī	to strike back, to beat back, to counterattack
反饋	反馈	fǎnkuì	to send back information, feedback
反面	反面	fǎnmiàn	reverse side, backside, the other side (of a problem etc), negative, bad
反思	反思	fǎnsī	to think back over sth, to review, to revisit, to rethink, reflection, reassessment
反彈	反弹	fǎntán	rebound
反省	反省	fǎnxǐng	introspect, self-questioning
返還	返还	fǎnhuán	restitution, return of something to its original owner, remittance
犯愁	犯愁	fàn chóu	to worry, to be anxious
飯碗	饭碗	fànwǎn	rice bowl, fig. livelihood, job, way of making a living
泛濫	泛滥	fànlàn	to be in flood, to overflow (the banks), to inundate, to spread unchecked
範疇	范畴	fànchóu	category
販賣	贩卖	fànmài	peddle, sell
方方面面	方方面面	fāngfāng-miànmiàn	all sides, all aspects, multi-faceted
方向盤	方向盘	fāngxiàngpán	steering wheel
方言	方言	fāngyán	the first Chinese dialect dictionary, edited by Yang Xiong 揚雄|扬雄[Yang2 Xiong2] in 1st century, containing over 9000 characters, topolect, dialect
防盜	防盗	fángdào	to guard against theft, anti-theft
防盜門	防盗门	fángdàomén	entrance door (for apartment)
防護	防护	fánghù	to defend, to protect
防火牆	防火墙	fánghuǒqiáng	firewall, CL:堵[du3]
防衛	防卫	fángwèi	defend
防汛	防汛	fángxùn	flood control, anti-flood (precautions)
防疫	防疫	fángyì	disease prevention, protection against epidemic
防禦	防御	fángyù	defense, to defend
妨礙	妨碍	fángài	preclude, clog, set_back, prevent, trammel, arrest, counteract, set back, impede, foul, hamper, discourage, thwart, obstruction, impediment, stymie, hinder, deter, debar, halter, intercept, interfere, retard, jam, detain, spoke, hobble, resist, balk, countercheck, stymy, blockade, stonewall, stop, beset, embarrass, hamstring, forbid, kibosh, handicap, block, prohibit, snag, fox, cramp, encumb
房地產	房地产	fángdìchǎn	blockbuster, real estate, realty, real_estate, real property, property
妨害	妨害	fánghài	traverse, impair, bar, cumber, be harmful to, trammel, encumber, sabotage, molest, obstruct, blanket, impairment, disturb, jeopardize, annoy, put in jeopardy
仿	仿	fǎng	seemingly
仿製	仿制	fǎngzhì	to copy, to imitate, to make by imitating a model
訪談	访谈	fǎngtán	interview
紡織	纺织	fǎngzhī	spinning and weaving, textile
放過	放过	fàngguò	let off, let slip, forgive, let off/slip, slip
放水	放水	fàng shuǐ	to turn on the water, to let water out, to throw a game (sports)
放肆	放肆	fàngsì	wanton, unbridled, presumptuous, impudent
放映	放映	fàngyìng	to show (a movie), to screen
放置	放置	fàngzhì	dispose, feed, set, locate, go, plant, pose, sit, lay, stick, shove, repose, bestow, sock, lay aside, perch, put, position, deposit, depose, get, lay up, mount, place, localize
放縱	放纵	fàngzòng	to indulge, to pamper, to connive at, permissive, indulgent, self-indulgent, unrestrained, undisciplined, uncultured, boorish
飛速	飞速	fēisù	flying speed, rapid (growth)
飛往	飞往	fēi wǎng	Go to
飛翔	飞翔	fēixiáng	to circle in the air, to soar
飛躍	飞跃	fēiyuè	to leap
非	非	fēi	not
非得	非得	fēiděi	(followed by a verb phrase, then – optionally – 不可, or 不行 etc) must
非法	非法	fēifǎ	illegal, wrongfully, wrongful, unlawful, illegitimately, illicitly, unlawfully, lawlessly, nefariously, nefarious, illegally, illegitimate, lawless, illicit
肥料	肥料	féiliào	fertilizer, manure
非凡	非凡	fēifán	out of the ordinary, unusually (good, talented etc)
肥胖	肥胖	féipàng	fat, corpulent
緋聞	绯闻	fēiwén	sex scandal
肥沃	肥沃	féiwò	fertile
肥皂	肥皂	féizào	soap, CL:塊|块[kuai4],條|条[tiao2]
誹謗	诽谤	fěibàng	to slander, to libel
廢	废	fèi	variant of 廢|废[fei4], disabled
廢除	废除	fèichú	abolish, abrogate, repeal
廢話	废话	fèihuà	nonsense, rubbish, superfluous words, You don't say!, No kidding! (gently sarcastic)
廢品	废品	fèipǐn	production rejects, seconds, scrap, discarded material
廢寢忘食	废寝忘食	fèiqǐn-wàngshí	to neglect sleep and forget about food (idiom), to skip one's sleep and meals, to be completely wrapped up in one's work
廢物	废物	fèiwu	crap, plug, wastage, dreg, crock, garbage, weed, riffraff, obsolete, ejecta, trashery, rubbish, trash, cur, chaff, offal, food waste, recrement, rejectamenta, waste matter, lumber, sullage, write-off, waste material, sordes, dud, good-for-nothing, black sheep, culch, ruck, wastefulness, slag, scapegrace, dissipation, cultch, raffle, flotsam, dreck, off-scum, no-account, waste, offscouring
廢墟	废墟	fèixū	ruins
沸沸揚揚	沸沸扬扬	fèifèi-yángyáng	bubbling and gurgling, hubbubing, abuzz
沸騰	沸腾	fèiténg	(of a liquid) to boil, (of sentiments etc) to boil over, to flare up, to be impassioned
分辨	分辨	fēnbiàn	distinguish, differentiate
費勁	费劲	fèi jìn	to require effort, strenuous
分寸	分寸	fēncun	propriety, appropriate behavior, proper speech or action, within the norms
分擔	分担	fēndān	to share (a burden, a cost, a responsibility)
分割	分割	fēngē	cut apart, break up, partition
分紅	分红	fēn hóng	dividend, to award a bonus
分化	分化	fēnhuà	disintegrate
分泌	分泌	fēnmì	to secrete, secretion
分明	分明	fēnmíng	clear, distinct, evidently, clearly
分歧	分歧	fēnqí	divergent, difference (of opinion, position), disagreement, bifurcation (math.)
分贓	分赃	fēn zāng	to share the booty, to divide ill-gotten gains
分支	分支	fēnzhī	branch (of company, river etc), to branch, to diverge, to ramify, to subdivide
芬芳	芬芳	fēnfāng	perfume, fragrant
氛圍	氛围	fēnwéi	ambience, atmosphere
吩咐	吩咐	fēnfu	to tell, to instruct, to command
墳	坟	fén	grave, tomb, CL:座[zuo4], embankment, mound, ancient book
墳墓	坟墓	fénmù	grave, tomb
焚燒	焚烧	fénshāo	to burn, to set on fire
粉	粉	fěn	powder, cosmetic face powder, food prepared from starch, noodles or pasta made from any kind of flour, whitewash, white, pink
粉絲	粉丝	fěnsī	bean vermicelli, mung bean starch noodles, Chinese vermicelli, cellophane noodles, CL:把[ba3], fan (loanword), enthusiast for sb or sth
粉碎	粉碎	fěnsuì	to crush, to smash, to shatter
分量	分量	fènliang	(vector) component, quantity, weight, measure
分外	分外	fènwài	exceptionally, not one's responsibility or job
份額	份额	fèné	share, portion
奮力	奋力	fènlì	to do everything one can, to spare no effort, to strive
奮勇	奋勇	fènyǒng	dauntless, to summon up courage and determination, using extreme force of will
糞	粪	fèn	manure, dung
糞便	粪便	fènbiàn	excrement, feces, night soil
豐富多彩	丰富多彩	fēngfù-duōcǎi	richly colorful
豐厚	丰厚	fēnghòu	generous, ample
豐滿	丰满	fēngmǎn	Fengman district of Jilin city 吉林市, Jilin province, ample, well developed, fully rounded
豐碩	丰硕	fēngshuò	plentiful, substantial, rich (in resources etc)
豐盛	丰盛	fēngshèng	rich, sumptuous
風波	风波	fēngbō	crisis, disturbance
風采	风采	fēngcǎi	carriage, graceful bearing, colour, mien, elegant demeanour, literary grace, elegant demeanor
風餐露宿	风餐露宿	fēngcān-lùsù	Wild meal
風和日麗	风和日丽	fēnghé-rìlì	moderate wind, beautiful sun (idiom), fine sunny weather, esp. in springtime
風風雨雨	风风雨雨	fēngfēng-yǔyǔ	Wind and rain
風浪	风浪	fēnglàng	wind and waves, stormy sea
風力	风力	fēnglì	wind force, wind power
風範	风范	fēngfàn	air, manner, model, paragon, demeanor
風流	风流	fēngliú	distinguished and accomplished, outstanding, talented in letters and unconventional in lifestyle, romantic, dissolute, loose
風貌	风貌	fēngmào	view, scene, elegant appearance and bearing, appearance, style and features, style and feature
風氣	风气	fēngqì	mores, ethos, order_of_the_day, climate, established practice, genius, genius loci, atmosphere, tone, general mood, common practice, fashion
風情	风情	fēngqíng	demeanour, flavor, information about wind, local customs, bearing, feelings, flirtatious expressions, amorous feelings
風尚	风尚	fēngshàng	current custom, current way of doing things
風趣	风趣	fēngqù	charm, humor, wit, humorous, witty
風沙	风沙	fēngshā	sand blown by wind, sandstorm
風水	风水	fēngshui	feng shui, geomancy
風味	风味	fēngwèi	race, gust, special flavour, savor, flavor, savour, local color, relish, sapor, spice, tasting, local colour, smack, gusto, snack, savoriness, special flavor, flavorsomeness, zest, taste
風雨	风雨	fēngyǔ	wind and rain, the elements, trials and hardships
風雲	风云	fēngyún	weather, unstable situation
風箏	风筝	fēngzheng	kite
封頂	封顶	fēng dǐng	to put a roof (on a building), to cap the roof (finishing a building project), fig. to put a ceiling (on spending, prize, ambition etc), to top off, fig. to reach the highest point (of growth, profit, interest rates), to stop growing (of plant bud or branch)
封面	封面	fēngmiàn	lid, book binding, title page of thread-bound book, front cover, front and back cover of book, back, cover, binding, title page
封建	封建	fēngjiàn	system of enfeoffment, feudalism, feudal, feudalistic
封鎖	封锁	fēngsuǒ	to blockade, to seal off
峰迴路轉	峰回路转	fēnghuí-lùzhuǎn	the mountain road twists around each new peak (idiom), (of a mountain road) twisting and turning, fig. an opportunity has come unexpectedly, things have taken a new turn
瘋子	疯子	fēngzi	madman, lunatic
蜂蜜	蜂蜜	fēngmì	honey
逢	逢	féng	meet, come upon
縫	缝	fèng	to sew, to stitch, seam, crack, narrow slit, CL:道[dao4]
縫合	缝合	fénghé	to sew together, suture (in surgery), to sew up (a wound)
諷刺	讽刺	fěngcì	satirize, mock
鳳凰	凤凰	fènghuáng	Fenghuang county in Xiangxi Tujia and Miao autonomous prefecture 湘西土家族苗族自治州[Xiang1 xi1 Tu3 jia1 zu2 Miao2 zu2 zi4 zhi4 zhou1], phoenix
孵化	孵化	fūhuà	breeding, to incubate, innovation (esp. in commerce and marketing)
否決	否决	fǒujué	to veto, to overrule
扶持	扶持	fúchí	to help, to assist
敷	敷	fū	to spread, to lay out, to apply (powder, ointment etc), sufficient (to cover), enough
服飾	服饰	fúshì	neckline, attire, furnishings, costume, dress, trappings, finery, rig-out, apparel, dress and personal adornment
服務器	服务器	fúwùqì	server (computer), CL:臺|台[tai2]
服用	服用	fúyòng	take, use, take (medicine)
俘獲	俘获	fúhuò	to capture (enemy property or personnel), capture (physics: absorption of subatomic particle by an atom or nucleus)
俘虜	俘虏	fúlǔ	captive
浮力	浮力	fúlì	buoyancy
浮現	浮现	fúxiàn	appear before one's eyes, float, suggest, come up, rise up, surface, ray, rise, appear, emerge
浮躁	浮躁	fúzào	fickle and impatient, restless, giddy, scatterbrained
輻射	辐射	fúshè	radiancy, Geigers, radiation, radiant
福氣	福气	fúqi	good fortune, a blessing
撫摸	抚摸	fǔmō	to gently caress and stroke, to pet, to fondle
撫恤	抚恤	fǔxù	(of an organization that has a duty of care) to give financial support to relatives of sb who has died or suffered serious injury
撫養	抚养	fǔyǎng	to foster, to bring up, to raise
撫養費	抚养费	fǔyǎngfèi	child support payment (after a divorce)
斧子	斧子	fǔzi	axe, hatchet, CL:把[ba3]
俯首	俯首	fǔshǒu	to bend one's head
輔導	辅导	fǔdǎo	coach, tutor
腐敗	腐败	fǔbài	rotten, putrid, decayed, corrupt
腐化	腐化	fǔhuà	to rot, to decay, to become corrupt
腐爛	腐烂	fǔlàn	to rot, to putrefy, (fig.) corrupt
腐蝕	腐蚀	fǔshí	corrosion, to corrode (degrade chemically), to rot, corruption
腐朽	腐朽	fǔxiǔ	rotten, decayed, decadent, degenerate
付費	付费	fù fèi	fee, expense, pay
負面	负面	fùmiàn	negative, negativeness, reverse (side), reverse
付款	付款	fù kuǎn	ante_up, ante up, foot, pay out, pay up, pay, shell_out, cash, pay a sum of money, disburse
負有	负有	fùyǒu	to be responsible for
附	附	fù	comply with, agree to, appose, attachment, enclose, get close to, enclosure, depend on, add, be near, rely on, attach
附帶	附带	fùdài	supplementary, incidentally, in parentheses, by chance, in passing, additionally, secondary, subsidiary, to attach
附和	附和	fùhè	to agree, to go along with, to echo (what sb says)
附加	附加	fùjiā	hang on, supervene, suffix, additional, affix, superimpose, inset, tack on, tack, attachment, tag on, append, add, subjoin, annex, engraft, attach
附屬	附属	fùshǔ	adjunct, belong, pertain, appertain, affiliated, be attached, attached, adjective, auxiliary, be affiliated, subsidiary
復查	复查	fùchá	rechecking, re-inspection, reexamination
赴	赴	fù	repair, attendance, go, go to, come, seek, attend, betake
復發	复发	fùfā	to recur (of a disease), to reappear, to relapse (into a former bad state)
複合	复合	fùhé	complex, compound, composite, hybrid
復活	复活	fùhuó	resurrection
復興	复兴	fùxīng	Fuxing district of Handan city 邯鄲市|邯郸市[Han2 dan1 shi4], Hebei, Fuxing or Fuhsing township in Taoyuan county 桃園縣|桃园县[Tao2 yuan2 xian4], north Taiwan, to revive, to rejuvenate
復原	复原	fù yuán	to restore (sth) to (its) former condition, to recover from illness, recovery
副作用	副作用	fùzuòyòng	side-effect
富含	富含	fùhán	Rich
賦予	赋予	fùyǔ	indue, endow, lend, girt, gift, endue, entrust, inspire, give, impart, confer, grant
富豪	富豪	fùháo	rich and powerful person
富強	富强	fùqiáng	rich and powerful
富翁	富翁	fùwēng	rich person, millionaire, billionaire
富裕	富裕	fùyù	plentiful, abundant, rich
腹部	腹部	fùbù	abdomen, belly, flank
腹瀉	腹泻	fùxiè	diarrhea, to have the runs
富足	富足	fùzú	rich, plentiful
覆蓋	覆盖	fùgài	to cover
該	该	gāi	det.: this, that
改版	改版	gǎi bǎn	to revise the current edition, revised edition
改編	改编	gǎibiān	adapt, rearrange, revise
改革開放	改革开放	gǎigé-kāifàng	to reform and open to the outside world, refers to Deng Xiaoping's policies from around 1980
改動	改动	gǎidòng	to alter, to modify, to revise
改良	改良	gǎiliáng	improve, ameliorate
改名	改名	gǎimíng	to change one's name
改日	改日	gǎirì	another day, some other day
改為	改为	gǎiwéi	change ... into, change to
改邪歸正	改邪归正	gǎixié-guīzhèng	to mend one's ways (idiom), to turn over a new leaf
鈣	钙	gài	atomic number 20, calcium, Ca, calcic
蓋子	盖子	gàizi	cover, lid, shell
概況	概况	gàikuàng	general situation, summary
概率	概率	gàilǜ	probability (math.)
概論	概论	gàilùn	outline, introduction, survey, general discussion
干戈	干戈	gāngē	weapons of war, arms
乾旱	干旱	gānhàn	drought, arid, dry
乾燥	干燥	gānzào	dry, arid
甘心	甘心	gānxīn	be reconciled, be willing, pleased, resigned to, be content with, be reconciled to, be reconciled/resigned to, be resigned to, resign oneself to
尷尬	尴尬	gāngà	awkward, embarrassed
肝臟	肝脏	gānzàng	liver
趕赴	赶赴	gǎnfù	to hurry, to rush
趕往	赶往	gǎnwǎng	to hurry to (somewhere)
敢情	敢情	gǎnqing	actually, as it turns out, indeed, of course
感	感	gǎn	feel, sense, move, touch, be affected (by cold)
感觸	感触	gǎnchù	feel, texture, sentiment, thoughts and feelings, feeling, tactile property
感恩	感恩	gǎn ēn	to be grateful
感激	感激	gǎnjī	feel grateful/indebted
感慨	感慨	gǎnkǎi	sigh with emotion
感染	感染	gǎnrǎn	infect, influence, affect
感染力	感染力	gǎnrǎnlì	inspiration, infectious (enthusiasm)
感嘆	感叹	gǎntàn	to sigh (with feeling), to lament
感性	感性	gǎnxìng	sensitive
幹部	干部	gànbù	organizer, staff, cadre
幹事	干事	gànshi	administrator, executive secretary
綱領	纲领	gānglǐng	summary, creed, programme, political program, political platform, guiding principle, digest, outline, program, platform
剛毅	刚毅	gāngyì	resolute, steadfast, stalwart
綱要	纲要	gāngyào	outline, essential points
鋼	钢	gāng	steel
缸	缸	gāng	jar, vat, classifier for loads of laundry, CL:口[kou3]
杠鈴	杠铃	gànglíng	barbell
港	港	gǎng	Hong Kong
高昂	高昂	gāoáng	held high (head/etc.), high, elated, exalted
高傲	高傲	gāoào	arrogant, haughty, proud
高超	高超	gāochāo	excellent, superlative
