阿姨	ㄚ ㄧˊ
燃燒	ㄖㄢˊ ㄕㄠ
熱心	ㄖㄜˋ ㄒㄧㄣ
熱鬧	ㄖㄜˋ ㄋㄠ˙
人家	ㄖㄣˊ ㄐㄧㄚ˙
日曆	ㄖˋ ㄌㄧˋ
如今	ㄖㄨˊ ㄐㄧㄣ
日記	ㄖˋ ㄐㄧˋ
弱	ㄖㄨㄛˋ
散	ㄙㄢˋ
掃	ㄙㄠˇ
色	ㄙㄜˋ
傘	ㄙㄢˇ
色彩	ㄙㄜˋ ㄘㄞˇ
閃	ㄕㄢˇ
閃電	ㄕㄢˇ ㄉㄧㄢˋ
曬	ㄕㄞˋ
傷害	ㄕㄤ ㄏㄞˋ
善於	ㄕㄢˋ ㄩˊ
善良	ㄕㄢˋ ㄌㄧㄤˊ
商務	ㄕㄤ ㄨˋ
上個月	ㄕㄤˋ ㄍㄜˋ ㄩㄝˋ
賞	ㄕㄤˇ
上門	ㄕㄤˋ ㄇㄣˊ
上樓	ㄕㄤˋ ㄌㄡˊ
燒	ㄕㄠ
設置	ㄕㄜˋ ㄓˋ
申請	ㄕㄣ ㄑㄧㄥˇ
身材	ㄕㄣ ㄘㄞˊ
設施	ㄕㄜˋ ㄕ
深厚	ㄕㄣ ㄏㄡˋ
身份	ㄕㄣ ㄈㄣ˙
身高	ㄕㄣ ㄍㄠ
神祕	ㄕㄣˊ ㄇㄧˋ
失敗	ㄕ ㄅㄞˋ
甚至	ㄕㄣˋ ㄓˋ
神話	ㄕㄣˊ ㄏㄨㄚˋ
失業	ㄕ ㄧㄝˋ
詩	ㄕ
詩人	ㄕ ㄖㄣˊ
失望	ㄕ ㄨㄤˋ
實用	ㄕˊ ㄩㄥˋ
濕	ㄕ
食堂	ㄕˊ ㄊㄤˊ
實施	ㄕˊ ㄕ
使勁	ㄕˇ ㄐㄧㄣˋ
士兵	ㄕˋ ㄅㄧㄥ
市區	ㄕˋ ㄑㄩ
似的	ㄕˋ ㄉㄜ˙
事物	ㄕˋ ㄨˋ
事先	ㄕˋ ㄒㄧㄢ
是否	ㄕˋ ㄈㄡˇ
試卷	ㄕˋ ㄐㄩㄢˋ
收回	ㄕㄡ ㄏㄨㄟˊ
收益	ㄕㄡ ㄧˋ
收穫	ㄕㄡ ㄏㄨㄛˋ
手裡	ㄕㄡˇ ㄌㄧ˙
守	ㄕㄡˇ
手術	ㄕㄡˇ ㄕㄨˋ
手工	ㄕㄡˇ ㄍㄨㄥ
受不了	ㄕㄡˋ ㄅㄨ˙ ㄌㄧㄠˇ
手套	ㄕㄡˇ ㄊㄠˋ
首	ㄕㄡˇ
售貨員	ㄕㄡˋ ㄏㄨㄛˋ ㄩㄢˊ
舒適	ㄕㄨ ㄕˋ
叔叔	ㄕㄨ ㄕㄨ˙
熟練	ㄕㄨˊ ㄌㄧㄢˋ
暑假	ㄕㄨˇ ㄐㄧㄚˋ
樹林	ㄕㄨˋ ㄌㄧㄣˊ
數據	ㄕㄨˋ ㄐㄩˋ
樹葉	ㄕㄨˋ ㄧㄝˋ
數碼	ㄕㄨˋ ㄇㄚˇ
刷	ㄕㄨㄚ
刷牙	ㄕㄨㄚ ㄧㄚˊ
刷子	ㄕㄨㄚ ㄗ˙
帥	ㄕㄨㄞˋ
帥哥	ㄕㄨㄞˋ ㄍㄜ
睡著	ㄕㄨㄟˋ ㄓㄠˊ
率先	ㄕㄨㄞˋ ㄒㄧㄢ
說不定	ㄕㄨㄛ ㄅㄨ˙ ㄉㄧㄥˋ
說服	ㄕㄨㄛ ㄈㄨˊ
似乎	ㄙˋ ㄏㄨ
順序	ㄕㄨㄣˋ ㄒㄩˋ
松樹	ㄙㄨㄥ ㄕㄨˋ
思考	ㄙ ㄎㄠˇ
松	ㄙㄨㄥ
塑料袋	ㄙㄨˋ ㄌㄧㄠˋ ㄉㄞˋ
酸	ㄙㄨㄢ
塑料	ㄙㄨˋ ㄌㄧㄠˋ
酸奶	ㄙㄨㄢ ㄋㄞˇ
隨手	ㄙㄨㄟˊ ㄕㄡˇ
孫子	ㄙㄨㄣ ㄗ˙
孫女	ㄙㄨㄣ ㄋㄩ˙
縮短	ㄙㄨㄛ ㄉㄨㄢˇ
臺階	ㄊㄞˊ ㄐㄧㄝ
縮小	ㄙㄨㄛ ㄒㄧㄠˇ
臺上	ㄊㄞˊ ㄕㄤˋ
套餐	ㄊㄠˋ ㄘㄢ
躺	ㄊㄤˇ
特殊	ㄊㄜˋ ㄕㄨ
特徵	ㄊㄜˋ ㄓㄥ
提醒	ㄊㄧˊ ㄒㄧㄥˇ
特價	ㄊㄜˋ ㄐㄧㄚˋ
提供	ㄊㄧˊ ㄍㄨㄥ
體重	ㄊㄧˇ ㄓㄨㄥˋ
體操	ㄊㄧˇ ㄘㄠ
體檢	ㄊㄧˇ ㄐㄧㄢˇ
替代	ㄊㄧˋ ㄉㄞˋ
替	ㄊㄧˋ
天真	ㄊㄧㄢ ㄓㄣ
填空	ㄊㄧㄢˊ ㄎㄨㄥˋ
填	ㄊㄧㄢˊ
挑	ㄊㄧㄠ
挑選	ㄊㄧㄠ ㄒㄩㄢˇ
調皮	ㄊㄧㄠˊ ㄆㄧˊ
貼	ㄊㄧㄝ
挑戰	ㄊㄧㄠˇ ㄓㄢˋ
停下	ㄊㄧㄥˊ ㄒㄧㄚˋ
挺	ㄊㄧㄥˇ
通知書	ㄊㄨㄥ ㄓ ㄕㄨ
童話	ㄊㄨㄥˊ ㄏㄨㄚˋ
同情	ㄊㄨㄥˊ ㄑㄧㄥˊ
統計	ㄊㄨㄥˇ ㄐㄧˋ
童年	ㄊㄨㄥˊ ㄋㄧㄢˊ
統一	ㄊㄨㄥˇ ㄧ
投	ㄊㄡˊ
痛快	ㄊㄨㄥˋ ㄎㄨㄞ˙
投訴	ㄊㄡˊ ㄙㄨˋ
投入	ㄊㄡˊ ㄖㄨˋ
透	ㄊㄡˋ
投資	ㄊㄡˊ ㄗ
途中	ㄊㄨˊ ㄓㄨㄥ
圖案	ㄊㄨˊ ㄢˋ
推遲	ㄊㄨㄟ ㄔˊ
土地	ㄊㄨˇ ㄉㄧ˙
透明	ㄊㄡˋ ㄇㄧㄥˊ
推銷	ㄊㄨㄟ ㄒㄧㄠ
襪子	ㄨㄚˋ ㄗ˙
脫	ㄊㄨㄛ
外匯	ㄨㄞˋ ㄏㄨㄟˋ
外交官	ㄨㄞˋ ㄐㄧㄠ ㄍㄨㄢ
外套	ㄨㄞˋ ㄊㄠˋ
晚點	ㄨㄢˇ ㄉㄧㄢˇ
彎	ㄨㄢ
萬一	ㄨㄢˋ ㄧ
王	ㄨㄤˊ
網絡	ㄨㄤˇ ㄌㄨㄛˋ
微笑	ㄨㄟ ㄒㄧㄠˋ
網址	ㄨㄤˇ ㄓˇ
圍巾	ㄨㄟˊ ㄐㄧㄣ
微信	ㄨㄟ ㄒㄧㄣˋ
維持	ㄨㄟˊ ㄔˊ
維護	ㄨㄟˊ ㄏㄨˋ
維修	ㄨㄟˊ ㄒㄧㄡ
尾巴	ㄨㄟˇ ㄅㄚ˙
未必	ㄨㄟˋ ㄅㄧˋ
未來	ㄨㄟˋ ㄌㄞˊ
位於	ㄨㄟˋ ㄩˊ
位置	ㄨㄟˋ ㄓ˙
喂	ㄨㄟˋ
味兒	ㄨㄟˋ ㄦ˙
穩	ㄨㄣˇ
穩定	ㄨㄣˇ ㄉㄧㄥˋ
無	ㄨˊ
無法	ㄨˊ ㄈㄚˇ
無聊	ㄨˊ ㄌㄧㄠˊ
無論	ㄨˊ ㄌㄨㄣˋ
問候	ㄨㄣˋ ㄏㄡˋ
無所謂	ㄨˊ ㄙㄨㄛˇ ㄨㄟˋ
無數	ㄨˊ ㄕㄨˋ
無限	ㄨˊ ㄒㄧㄢˋ
五顏六色	ㄨˇ ㄧㄢˊ-ㄌㄧㄡˋ ㄙㄜˋ
西瓜	ㄒㄧ ㄍㄨㄚ˙
誤會	ㄨˋ ㄏㄨㄟˋ
吸	ㄒㄧ
吸管	ㄒㄧ ㄍㄨㄢˇ
吸收	ㄒㄧ ㄕㄡ
吸煙	ㄒㄧ ㄧㄢ
吸引	ㄒㄧ ㄧㄣˇ
喜愛	ㄒㄧˇ ㄞˋ
系統	ㄒㄧˋ ㄊㄨㄥˇ
系列	ㄒㄧˋ ㄌㄧㄝˋ
細	ㄒㄧˋ
細節	ㄒㄧˋ ㄐㄧㄝˊ
細緻	ㄒㄧˋ ㄓˋ
下降	ㄒㄧㄚˋ ㄐㄧㄤˋ
下個月	ㄒㄧㄚˋ ㄍㄜˋ ㄩㄝˋ
下樓	ㄒㄧㄚˋ ㄌㄡˊ
夏季	ㄒㄧㄚˋ ㄐㄧˋ
下載	ㄒㄧㄚˋ ㄗㄞˋ
鮮	ㄒㄧㄢ
鮮花	ㄒㄧㄢ ㄏㄨㄚ
鮮明	ㄒㄧㄢ ㄇㄧㄥˊ
鹹	ㄒㄧㄢˊ
顯著	ㄒㄧㄢˇ ㄓㄨˋ
縣	ㄒㄧㄢˋ
限制	ㄒㄧㄢˋ ㄓˋ
相處	ㄒㄧㄤ ㄔㄨˇ
相反	ㄒㄧㄤ ㄈㄢˇ
箱	ㄒㄧㄤ
箱子	ㄒㄧㄤ ㄗ˙
想念	ㄒㄧㄤˇ ㄋㄧㄢˋ
想象	ㄒㄧㄤˇ ㄒㄧㄤˋ
項目	ㄒㄧㄤˋ ㄇㄨˋ
項	ㄒㄧㄤˋ
相片	ㄒㄧㄤˋ ㄆㄧㄢˋ
銷售	ㄒㄧㄠ ㄕㄡˋ
消化	ㄒㄧㄠ ㄏㄨㄚˋ
小吃	ㄒㄧㄠˇ ㄔ
小伙子	ㄒㄧㄠˇ ㄏㄨㄛˇ ㄗ˙
小型	ㄒㄧㄠˇ ㄒㄧㄥˊ
效率	ㄒㄧㄠˋ ㄌㄩˋ
些	ㄒㄧㄝ
心理	ㄒㄧㄣ ㄌㄧˇ
新郎	ㄒㄧㄣ ㄌㄤˊ
新娘	ㄒㄧㄣ ㄋㄧㄤˊ
新鮮	ㄒㄧㄣ ㄒㄧㄢ˙
新型	ㄒㄧㄣ ㄒㄧㄥˊ
興奮	ㄒㄧㄥ ㄈㄣˋ
形容	ㄒㄧㄥˊ ㄖㄨㄥˊ
形勢	ㄒㄧㄥˊ ㄕˋ
型	ㄒㄧㄥˊ
型號	ㄒㄧㄥˊ ㄏㄠˋ
醒	ㄒㄧㄥˇ
興趣	ㄒㄧㄥˋ ㄑㄩˋ
性質	ㄒㄧㄥˋ ㄓˋ
胸部	ㄒㄩㄥ ㄅㄨˋ
兄弟	ㄒㄩㄥ ㄉㄧ˙
修理	ㄒㄧㄡ ㄌㄧˇ
選擇	ㄒㄩㄢˇ ㄗㄜˊ
學年	ㄒㄩㄝˊ ㄋㄧㄢˊ
學分	ㄒㄩㄝˊ ㄈㄣ
學時	ㄒㄩㄝˊ ㄕˊ
學問	ㄒㄩㄝˊ ㄨㄣ˙
學術	ㄒㄩㄝˊ ㄕㄨˋ
尋找	ㄒㄩㄣˊ ㄓㄠˇ
牙	ㄧㄚˊ
迅速	ㄒㄩㄣˋ ㄙㄨˋ
亞運會	ㄧㄚˋ ㄩㄣˋ ㄏㄨㄟˋ
牙刷	ㄧㄚˊ ㄕㄨㄚ
呀	ㄧㄚ˙
延長	ㄧㄢˊ ㄔㄤˊ
延期	ㄧㄢˊ ㄑㄧ
嚴格	ㄧㄢˊ ㄍㄜˊ
嚴	ㄧㄢˊ
延續	ㄧㄢˊ ㄒㄩˋ
嚴重	ㄧㄢˊ ㄓㄨㄥˋ
研究	ㄧㄢˊ ㄐㄧㄡ
研究生	ㄧㄢˊ ㄐㄧㄡ ㄕㄥ
研製	ㄧㄢˊ ㄓˋ
鹽	ㄧㄢˊ
眼鏡	ㄧㄢˇ ㄐㄧㄥˋ
眼淚	ㄧㄢˇ ㄌㄟˋ
演講	ㄧㄢˇ ㄐㄧㄤˇ
陽臺	ㄧㄤˊ ㄊㄞˊ
腰	ㄧㄠ
眼裡	ㄧㄢˇ ㄌㄧ˙
養成	ㄧㄤˇ ㄔㄥˊ
藥物	ㄧㄠˋ ㄨˋ
搖	ㄧㄠˊ
要	ㄧㄠˋ
業餘	ㄧㄝˋ ㄩˊ
醫療	ㄧ ㄌㄧㄠˊ
醫學	ㄧ ㄒㄩㄝˊ
依靠	ㄧ ㄎㄠˋ
一律	ㄧ ㄌㄩˋ
一致	ㄧ ㄓˋ
葉子	ㄧㄝˋ ㄗ˙
依然	ㄧ ㄖㄢˊ
一再	ㄧ ㄗㄞˋ
移動	ㄧˊ ㄉㄨㄥˋ
移	ㄧˊ
遺產	ㄧˊ ㄔㄢˇ
移民	ㄧˊ ㄇㄧㄣˊ
遺傳	ㄧˊ ㄔㄨㄢˊ
疑問	ㄧˊ ㄨㄣˋ
以及	ㄧˇ ㄐㄧˊ
以內	ㄧˇ ㄋㄟˋ
一般來說	ㄧ ㄅㄢ ㄌㄞˊ ㄕㄨㄛ
義務	ㄧˋ ㄨˋ
議論	ㄧˋ ㄌㄨㄣˋ
引	ㄧㄣˇ
引導	ㄧㄣˇ ㄉㄠˇ
引起	ㄧㄣˇ ㄑㄧˇ
引進	ㄧㄣˇ ㄐㄧㄣˋ
應	ㄧㄥ
英勇	ㄧㄥ ㄩㄥˇ
營業	ㄧㄥˊ ㄧㄝˋ
影子	ㄧㄥˇ ㄗ˙
勇敢	ㄩㄥˇ ㄍㄢˇ
贏得	ㄧㄥˊ ㄉㄜˊ
用途	ㄩㄥˋ ㄊㄨˊ
優良	ㄧㄡ ㄌㄧㄤˊ
勇氣	ㄩㄥˇ ㄑㄧˋ
優美	ㄧㄡ ㄇㄟˇ
郵局	ㄧㄡˊ ㄐㄩˊ
優秀	ㄧㄡ ㄒㄧㄡˋ
有勁兒	ㄧㄡˇ ㄐㄧㄣˋ ㄦ˙
有限	ㄧㄡˇ ㄒㄧㄢˋ
有趣	ㄧㄡˇ ㄑㄩˋ
幼兒園	ㄧㄡˋ ㄦˊ ㄩㄢˊ
於是	ㄩˊ ㄕˋ
語法	ㄩˇ ㄈㄚˇ
玉	ㄩˋ
語音	ㄩˇ ㄧㄣ
預訂	ㄩˋ ㄉㄧㄥˋ
玉米	ㄩˋ ㄇㄧˇ
預測	ㄩˋ ㄘㄜˋ
遇	ㄩˋ
遇見	ㄩˋ ㄐㄧㄢ˙
遇到	ㄩˋ ㄉㄠˋ
原料	ㄩㄢˊ ㄌㄧㄠˋ
圓	ㄩㄢˊ
原則	ㄩㄢˊ ㄗㄜˊ
圓滿	ㄩㄢˊ ㄇㄢˇ
約會	ㄩㄝ ㄏㄨㄟ˙
月底	ㄩㄝˋ ㄉㄧˇ
運動會	ㄩㄣˋ ㄉㄨㄥˋ ㄏㄨㄟˋ
閱讀	ㄩㄝˋ ㄉㄨˊ
運動員	ㄩㄣˋ ㄉㄨㄥˋ ㄩㄢˊ
運氣	ㄩㄣˋ ㄑㄧ˙
運用	ㄩㄣˋ ㄩㄥˋ
在乎	ㄗㄞˋ ㄏㄨ˙
再三	ㄗㄞˋ ㄙㄢ
贊成	ㄗㄢˋ ㄔㄥˊ
在於	ㄗㄞˋ ㄩˊ
贊賞	ㄗㄢˋ ㄕㄤˇ
贊助	ㄗㄢˋ ㄓㄨˋ
造型	ㄗㄠˋ ㄒㄧㄥˊ
戰鬥	ㄓㄢˋ ㄉㄡˋ
戰士	ㄓㄢˋ ㄕˋ
戰勝	ㄓㄢˋ ㄕㄥˋ
戰爭	ㄓㄢˋ ㄓㄥ
丈夫	ㄓㄤˋ ㄈㄨ˙
著	ㄓㄜ˙
招呼	ㄓㄠ ㄏㄨ˙
著火	ㄓㄠˊ ㄏㄨㄛˇ
著急	ㄓㄠˊ ㄐㄧˊ
召開	ㄓㄠˋ ㄎㄞ
折	ㄓㄜˊ
針	ㄓㄣ
針對	ㄓㄣ ㄉㄨㄟˋ
陣	ㄓㄣˋ
爭論	ㄓㄥ ㄌㄨㄣˋ
征服	ㄓㄥ ㄈㄨˊ
政府	ㄓㄥˋ ㄈㄨˇ
徵求	ㄓㄥ ㄑㄧㄡˊ
政治	ㄓㄥˋ ㄓˋ
之前	ㄓ ㄑㄧㄢˊ
之後	ㄓ ㄏㄡˋ
之一	ㄓ ㄧ
支	ㄓ
之間	ㄓ ㄐㄧㄢ
植物	ㄓˊ ㄨˋ
制訂	ㄓˋ ㄉㄧㄥˋ
指揮	ㄓˇ ㄏㄨㄟ
質量	ㄓˋ ㄌㄧㄤˋ
治	ㄓˋ
治療	ㄓˋ ㄌㄧㄠˊ
智力	ㄓˋ ㄌㄧˋ
智能	ㄓˋ ㄋㄥˊ
中介	ㄓㄨㄥ ㄐㄧㄝˋ
種類	ㄓㄨㄥˇ ㄌㄟˋ
中獎	ㄓㄨㄥˋ ㄐㄧㄤˇ
種植	ㄓㄨㄥˋ ㄓˊ
種	ㄓㄨㄥˇ
逐漸	ㄓㄨˊ ㄐㄧㄢˋ
逐步	ㄓㄨˊ ㄅㄨˋ
重量	ㄓㄨㄥˋ ㄌㄧㄤˋ
主席	ㄓㄨˇ ㄒㄧˊ
祝福	ㄓㄨˋ ㄈㄨˊ
主題	ㄓㄨˇ ㄊㄧˊ
著名	ㄓㄨˋ ㄇㄧㄥˊ
抓緊	ㄓㄨㄚ ㄐㄧㄣˇ
專心	ㄓㄨㄢ ㄒㄧㄣ
轉動	ㄓㄨㄢˇ ㄉㄨㄥˋ
著作	ㄓㄨˋ ㄗㄨㄛˋ
轉告	ㄓㄨㄢˇ ㄍㄠˋ
轉身	ㄓㄨㄢˇ ㄕㄣ
轉彎	ㄓㄨㄢˇ ㄨㄢ
裝修	ㄓㄨㄤ ㄒㄧㄡ
裝置	ㄓㄨㄤ ㄓˋ
轉移	ㄓㄨㄢˇ ㄧˊ
準時	ㄓㄨㄣˇ ㄕˊ
追求	ㄓㄨㄟ ㄑㄧㄡˊ
資料	ㄗ ㄌㄧㄠˋ
自	ㄗˋ
資源	ㄗ ㄩㄢˊ
字母	ㄗˋ ㄇㄨˇ
綜合	ㄗㄨㄥ ㄏㄜˊ
自信	ㄗˋ ㄒㄧㄣˋ
總共	ㄗㄨㄥˇ ㄍㄨㄥˋ
總理	ㄗㄨㄥˇ ㄌㄧˇ
總統	ㄗㄨㄥˇ ㄊㄨㄥˇ
總之	ㄗㄨㄥˇ ㄓ
阻止	ㄗㄨˇ ㄓˇ
嘴巴	ㄗㄨㄟˇ ㄅㄚ˙
作出	ㄗㄨㄛˋ ㄔㄨ
作為	ㄗㄨㄛˋ ㄨㄟˊ
最初	ㄗㄨㄟˋ ㄔㄨ
做夢	ㄗㄨㄛˋ ㄇㄥˋ
