愛心	ㄞˋ ㄒㄧㄣ
確實	ㄑㄩㄝˋ ㄕˊ
裙子	ㄑㄩㄣˊ ㄗ˙
熱烈	ㄖㄜˋ ㄌㄧㄝˋ
熱愛	ㄖㄜˋ ㄞˋ
人才	ㄖㄣˊ ㄘㄞˊ
人類	ㄖㄣˊ ㄌㄟˋ
人工	ㄖㄣˊ ㄍㄨㄥ
人民	ㄖㄣˊ ㄇㄧㄣˊ
人民幣	ㄖㄣˊ ㄇㄧㄣˊ ㄅㄧˋ
人群	ㄖㄣˊ ㄑㄩㄣˊ
人生	ㄖㄣˊ ㄕㄥ
人員	ㄖㄣˊ ㄩㄢˊ
認得	ㄖㄣˋ ㄉㄜ˙
認出	ㄖㄣˋ ㄔㄨ
認可	ㄖㄣˋ ㄎㄜˇ
任	ㄖㄣˋ
任何	ㄖㄣˋ ㄏㄜˊ
仍然	ㄖㄥˊ ㄖㄢˊ
仍	ㄖㄥˊ
任務	ㄖㄣˋ ㄨ˙
日常	ㄖˋ ㄔㄤˊ
如何	ㄖㄨˊ ㄏㄜˊ
容易	ㄖㄨㄥˊ ㄧˋ
沙發	ㄕㄚ ㄈㄚ
散步	ㄙㄢˋ ㄅㄨˋ
傷心	ㄕㄤ ㄒㄧㄣ
傷	ㄕㄤ
商業	ㄕㄤ ㄧㄝˋ
商品	ㄕㄤ ㄆㄧㄣˇ
上面	ㄕㄤˋ ㄇㄧㄢ˙
上去	ㄕㄤˋ ㄑㄩ˙
上來	ㄕㄤˋ ㄌㄞ˙
上升	ㄕㄤˋ ㄕㄥ
沙子	ㄕㄚ ㄗ˙
上衣	ㄕㄤˋ ㄧ
設計	ㄕㄜˋ ㄐㄧˋ
設備	ㄕㄜˋ ㄅㄟˋ
設立	ㄕㄜˋ ㄌㄧˋ
身份證	ㄕㄣ ㄈㄣˋ ㄓㄥˋ
社會	ㄕㄜˋ ㄏㄨㄟˋ
深刻	ㄕㄣ ㄎㄜˋ
深	ㄕㄣ
深入	ㄕㄣ ㄖㄨˋ
生產	ㄕㄥ ㄔㄢˇ
生存	ㄕㄥ ㄘㄨㄣˊ
升	ㄕㄥ
生動	ㄕㄥ ㄉㄨㄥˋ
生命	ㄕㄥ ㄇㄧㄥˋ
生意	ㄕㄥ ㄧ˙
生長	ㄕㄥ ㄓㄤˇ
生	ㄕㄥ
聲明	ㄕㄥ ㄇㄧㄥˊ
勝	ㄕㄥˋ
勝利	ㄕㄥˋ ㄌㄧˋ
石頭	ㄕˊ ㄊㄡ˙
石油	ㄕˊ ㄧㄡˊ
時	ㄕˊ
失去	ㄕ ㄑㄩˋ
時代	ㄕˊ ㄉㄞˋ
實際上	ㄕˊ ㄐㄧˋ ㄕㄤ˙
實行	ㄕˊ ㄒㄧㄥˊ
實力	ㄕˊ ㄌㄧˋ
時刻	ㄕˊ ㄎㄜˋ
實驗室	ㄕˊ ㄧㄢˋ ㄕˋ
實驗	ㄕˊ ㄧㄢˋ
食品	ㄕˊ ㄆㄧㄣˇ
始終	ㄕˇ ㄓㄨㄥ
使	ㄕˇ
世紀	ㄕˋ ㄐㄧˋ
世界	ㄕˋ ㄐㄧㄝˋ
市場	ㄕˋ ㄔㄤˇ
世界杯	ㄕˋ ㄐㄧㄝˋ ㄅㄟ
事故	ㄕˋ ㄍㄨˋ
事件	ㄕˋ ㄐㄧㄢˋ
事實	ㄕˋ ㄕˊ
事實上	ㄕˋ ㄕˊ ㄕㄤ˙
事業	ㄕˋ ㄧㄝˋ
試驗	ㄕˋ ㄧㄢˋ
試題	ㄕˋ ㄊㄧˊ
適合	ㄕˋ ㄏㄜˊ
適用	ㄕˋ ㄩㄥˋ
適應	ㄕˋ ㄧㄥˋ
收費	ㄕㄡ ㄈㄟˋ
收看	ㄕㄡ ㄎㄢˋ
室	ㄕˋ
收聽	ㄕㄡ ㄊㄧㄥ
手續	ㄕㄡˇ ㄒㄩˋ
收音機	ㄕㄡ ㄧㄣ ㄐㄧ
首都	ㄕㄡˇ ㄉㄨ
手指	ㄕㄡˇ ㄓˇ
首先	ㄕㄡˇ ㄒㄧㄢ
受傷	ㄕㄡˋ ㄕㄤ
受	ㄕㄡˋ
輸	ㄕㄨ
書架	ㄕㄨ ㄐㄧㄚˋ
熟人	ㄕㄨˊ ㄖㄣˊ
輸入	ㄕㄨ ㄖㄨˋ
屬	ㄕㄨˇ
束	ㄕㄨˋ
屬於	ㄕㄨˇ ㄩˊ
雙方	ㄕㄨㄤ ㄈㄤ
數量	ㄕㄨˋ ㄌㄧㄤˋ
思想	ㄙ ㄒㄧㄤˇ
雙	ㄕㄨㄤ
死	ㄙˇ
速度	ㄙㄨˋ ㄉㄨˋ
隨	ㄙㄨㄟˊ
所	ㄙㄨㄛˇ
颱	ㄊㄞˊ
所長	ㄙㄨㄛˇ ㄔㄤˊ
談判	ㄊㄢˊ ㄆㄢˋ
談話	ㄊㄢˊ ㄏㄨㄚˋ
談	ㄊㄢˊ
湯	ㄊㄤ
糖	ㄊㄤˊ
特色	ㄊㄜˋ ㄙㄜˋ
提問	ㄊㄧˊ ㄨㄣˋ
提前	ㄊㄧˊ ㄑㄧㄢˊ
體會	ㄊㄧˇ ㄏㄨㄟˋ
體現	ㄊㄧˇ ㄒㄧㄢˋ
題目	ㄊㄧˊ ㄇㄨˋ
體驗	ㄊㄧˇ ㄧㄢˋ
天空	ㄊㄧㄢ ㄎㄨㄥ
甜	ㄊㄧㄢˊ
跳	ㄊㄧㄠˋ
跳高	ㄊㄧㄠˋ ㄍㄠ
跳遠	ㄊㄧㄠˋ ㄩㄢˇ
調整	ㄊㄧㄠˊ ㄓㄥˇ
鐵	ㄊㄧㄝˇ
跳舞	ㄊㄧㄠˋ ㄨˇ
聽眾	ㄊㄧㄥ ㄓㄨㄥˋ
聽力	ㄊㄧㄥ ㄌㄧˋ
通常	ㄊㄨㄥ ㄔㄤˊ
通信	ㄊㄨㄥ ㄒㄧㄣˋ
鐵路	ㄊㄧㄝˇ ㄌㄨˋ
停止	ㄊㄧㄥˊ ㄓˇ
同意	ㄊㄨㄥˊ ㄧˋ
痛苦	ㄊㄨㄥˋ ㄎㄨˇ
痛	ㄊㄨㄥˋ
頭	ㄊㄡˊ
頭腦	ㄊㄡˊ ㄋㄠˇ
突出	ㄊㄨ ㄔㄨ
圖	ㄊㄨˊ
突然	ㄊㄨ ㄖㄢˊ
圖畫	ㄊㄨˊ ㄏㄨㄚˋ
土	ㄊㄨˇ
團	ㄊㄨㄢˊ
團結	ㄊㄨㄢˊ ㄐㄧㄝˊ
團體	ㄊㄨㄢˊ ㄊㄧˇ
推動	ㄊㄨㄟ ㄉㄨㄥˋ
推廣	ㄊㄨㄟ ㄍㄨㄤˇ
推進	ㄊㄨㄟ ㄐㄧㄣˋ
推開	ㄊㄨㄟ ㄎㄞ
退	ㄊㄨㄟˋ
退出	ㄊㄨㄟˋ ㄔㄨ
退休	ㄊㄨㄟˋ ㄒㄧㄡ
外交	ㄨㄞˋ ㄐㄧㄠ
外文	ㄨㄞˋ ㄨㄣˊ
完美	ㄨㄢˊ ㄇㄟˇ
外面	ㄨㄞˋ ㄇㄧㄢ˙
完整	ㄨㄢˊ ㄓㄥˇ
完善	ㄨㄢˊ ㄕㄢˋ
玩具	ㄨㄢˊ ㄐㄩˋ
往往	ㄨㄤˇ ㄨㄤˇ
危險	ㄨㄟ ㄒㄧㄢˇ
危害	ㄨㄟ ㄏㄞˋ
為	ㄨㄟˋ
偉大	ㄨㄟˇ ㄉㄚˋ
衛生間	ㄨㄟˋ ㄕㄥ ㄐㄧㄢ
衛生	ㄨㄟˋ ㄕㄥ
為了	ㄨㄟˋ ㄌㄜ˙
溫暖	ㄨㄣ ㄋㄨㄢˇ
圍	ㄨㄟˊ
文化	ㄨㄣˊ ㄏㄨㄚˋ
文明	ㄨㄣˊ ㄇㄧㄥˊ
文件	ㄨㄣˊ ㄐㄧㄢˋ
文章	ㄨㄣˊ ㄓㄤ
文學	ㄨㄣˊ ㄒㄩㄝˊ
握手	ㄨㄛˋ ㄕㄡˇ
屋子	ㄨ ㄗ˙
武器	ㄨˇ ㄑㄧˋ
武術	ㄨˇ ㄕㄨˋ
文字	ㄨㄣˊ ㄗˋ
西部	ㄒㄧ ㄅㄨˋ
舞臺	ㄨˇ ㄊㄞˊ
下來	ㄒㄧㄚˋ ㄌㄞ˙
系	ㄒㄧˋ
希望	ㄒㄧ ㄨㄤˋ
下去	ㄒㄧㄚˋ ㄑㄩ˙
顯然	ㄒㄧㄢˇ ㄖㄢˊ
先進	ㄒㄧㄢ ㄐㄧㄣˋ
顯得	ㄒㄧㄢˇ ㄉㄜ˙
下面	ㄒㄧㄚˋ ㄇㄧㄢ˙
顯示	ㄒㄧㄢˇ ㄕˋ
現場	ㄒㄧㄢˋ ㄔㄤˇ
現代	ㄒㄧㄢˋ ㄉㄞˋ
現金	ㄒㄧㄢˋ ㄐㄧㄣ
現實	ㄒㄧㄢˋ ㄕˊ
線	ㄒㄧㄢˋ
相當	ㄒㄧㄤ ㄉㄤ
相比	ㄒㄧㄤ ㄅㄧˇ
現象	ㄒㄧㄢˋ ㄒㄧㄤˋ
相互	ㄒㄧㄤ ㄏㄨˋ
相關	ㄒㄧㄤ ㄍㄨㄢ
相似	ㄒㄧㄤ ㄙˋ
香	ㄒㄧㄤ
香蕉	ㄒㄧㄤ ㄐㄧㄠ
消費	ㄒㄧㄠ ㄈㄟˋ
消失	ㄒㄧㄠ ㄕ
消息	ㄒㄧㄠ ㄒㄧ˙
寫作	ㄒㄧㄝˇ ㄗㄨㄛˋ
血	ㄒㄩㄝˋ
效果	ㄒㄧㄠˋ ㄍㄨㄛˇ
心	ㄒㄧㄣ
信封	ㄒㄧㄣˋ ㄈㄥ
行李	ㄒㄧㄥˊ ㄌㄧ˙
信任	ㄒㄧㄣˋ ㄖㄣˋ
形成	ㄒㄧㄥˊ ㄔㄥˊ
形式	ㄒㄧㄥˊ ㄕˋ
形象	ㄒㄧㄥˊ ㄒㄧㄤˋ
形狀	ㄒㄧㄥˊ ㄓㄨㄤˋ
幸福	ㄒㄧㄥˋ ㄈㄨˊ
幸運	ㄒㄧㄥˋ ㄩㄣˋ
信	ㄒㄧㄣˋ
性	ㄒㄧㄥˋ
性別	ㄒㄧㄥˋ ㄅㄧㄝˊ
性格	ㄒㄧㄥˋ ㄍㄜˊ
修	ㄒㄧㄡ
修改	ㄒㄧㄡ ㄍㄞˇ
需求	ㄒㄩ ㄑㄧㄡˊ
需要	ㄒㄩ ㄧㄠˋ
宣布	ㄒㄩㄢ ㄅㄨˋ
宣傳	ㄒㄩㄢ ㄔㄨㄢˊ
訓練	ㄒㄩㄣˋ ㄌㄧㄢˋ
選手	ㄒㄩㄢˇ ㄕㄡˇ
學費	ㄒㄩㄝˊ ㄈㄟˋ
壓	ㄧㄚ
壓力	ㄧㄚ ㄌㄧˋ
煙	ㄧㄢ
演	ㄧㄢˇ
眼前	ㄧㄢˇ ㄑㄧㄢˊ
演唱	ㄧㄢˇ ㄔㄤˋ
演唱會	ㄧㄢˇ ㄔㄤˋ ㄏㄨㄟˋ
演員	ㄧㄢˇ ㄩㄢˊ
演出	ㄧㄢˇ ㄔㄨ
羊	ㄧㄤˊ
陽光	ㄧㄤˊ ㄍㄨㄤ
要是	ㄧㄠˋ ㄕ˙
一切	ㄧ ㄑㄧㄝˋ
衣架	ㄧ ㄐㄧㄚˋ
以來	ㄧˇ ㄌㄞˊ
已	ㄧˇ
一方面	ㄧ ㄈㄤ ㄇㄧㄢˋ
藝術	ㄧˋ ㄕㄨˋ
意義	ㄧˋ ㄧˋ
意外	ㄧˋ ㄨㄞˋ
因此	ㄧㄣ ㄘˇ
銀牌	ㄧㄣˊ ㄆㄞˊ
印象	ㄧㄣˋ ㄒㄧㄤˋ
應當	ㄧㄥ ㄉㄤ
銀	ㄧㄣˊ
迎接	ㄧㄥˊ ㄐㄧㄝ
營養	ㄧㄥˊ ㄧㄤˇ
影視	ㄧㄥˇ ㄕˋ
贏	ㄧㄥˊ
應用	ㄧㄥˋ ㄩㄥˋ
優點	ㄧㄡ ㄉㄧㄢˇ
由	ㄧㄡˊ
優勢	ㄧㄡ ㄕˋ
郵件	ㄧㄡˊ ㄐㄧㄢˋ
郵票	ㄧㄡˊ ㄆㄧㄠˋ
由於	ㄧㄡˊ ㄩˊ
郵箱	ㄧㄡˊ ㄒㄧㄤ
遊戲	ㄧㄡˊ ㄒㄧˋ
游	ㄧㄡˊ
游泳	ㄧㄡˊ ㄩㄥˇ
有的是	ㄧㄡˇ ㄉㄜ˙ ㄕˋ
有利	ㄧㄡˇ ㄌㄧˋ
有效	ㄧㄡˇ ㄒㄧㄠˋ
預報	ㄩˋ ㄅㄠˋ
預防	ㄩˋ ㄈㄤˊ
預計	ㄩˋ ㄐㄧˋ
員	ㄩㄢˊ
員工	ㄩㄢˊ ㄍㄨㄥ
願望	ㄩㄢˋ ㄨㄤˋ
約	ㄩㄝ
預習	ㄩˋ ㄒㄧˊ
樂隊	ㄩㄝˋ ㄉㄨㄟˋ
運輸	ㄩㄣˋ ㄕㄨ
雜誌	ㄗㄚˊ ㄓˋ
早已	ㄗㄠˇ ㄧˇ
造成	ㄗㄠˋ ㄔㄥˊ
責任	ㄗㄜˊ ㄖㄣˋ
增加	ㄗㄥ ㄐㄧㄚ
造	ㄗㄠˋ
增長	ㄗㄥ ㄓㄤˇ
張	ㄓㄤ
展開	ㄓㄢˇ ㄎㄞ
者	ㄓㄜˇ
真實	ㄓㄣ ㄕˊ
爭取	ㄓㄥ ㄑㄩˇ
爭	ㄓㄥ
照	ㄓㄠˋ
整	ㄓㄥˇ
整理	ㄓㄥˇ ㄌㄧˇ
整個	ㄓㄥˇ ㄍㄜˋ
整齊	ㄓㄥˇ ㄑㄧˊ
整天	ㄓㄥˇ ㄊㄧㄢ
整整	ㄓㄥˇ ㄓㄥˇ
整體	ㄓㄥˇ ㄊㄧˇ
正式	ㄓㄥˋ ㄕˋ
正	ㄓㄥˋ
證	ㄓㄥˋ
證據	ㄓㄥˋ ㄐㄩˋ
證件	ㄓㄥˋ ㄐㄧㄢˋ
支	ㄓ
支持	ㄓ ㄔˊ
支付	ㄓ ㄈㄨˋ
證明	ㄓㄥˋ ㄇㄧㄥˊ
只	ㄓˇ
直播	ㄓˊ ㄅㄛ
直	ㄓˊ
直到	ㄓˊ ㄉㄠˋ
值得	ㄓˊ ㄉㄜ˙
值	ㄓˊ
職工	ㄓˊ ㄍㄨㄥ
職業	ㄓˊ ㄧㄝˋ
只好	ㄓˇ ㄏㄠˇ
只有	ㄓˇ ㄧㄡˇ
只是	ㄓˇ ㄕˋ
指	ㄓˇ
指導	ㄓˇ ㄉㄠˇ
指出	ㄓˇ ㄔㄨ
至少	ㄓˋ ㄕㄠˇ
至今	ㄓˋ ㄐㄧㄣ
志願者	ㄓˋ ㄩㄢˋ ㄓㄜˇ
制度	ㄓˋ ㄉㄨˋ
制定	ㄓˋ ㄉㄧㄥˋ
製作	ㄓˋ ㄗㄨㄛˋ
志願	ㄓˋ ㄩㄢˋ
製造	ㄓˋ ㄗㄠˋ
中部	ㄓㄨㄥ ㄅㄨˋ
中華民族	ㄓㄨㄥ ㄏㄨㄚˊ ㄇㄧㄣˊ ㄗㄨˊ
鐘	ㄓㄨㄥ
終於	ㄓㄨㄥ ㄩˊ
種	ㄓㄨㄥˇ
種子	ㄓㄨㄥˇ ㄗ˙
週圍	ㄓㄡ ㄨㄟˊ
重大	ㄓㄨㄥˋ ㄉㄚˋ
豬	ㄓㄨ
主持	ㄓㄨˇ ㄔˊ
主動	ㄓㄨˇ ㄉㄨㄥˋ
主張	ㄓㄨˇ ㄓㄤ
主意	ㄓㄨˇ ㄧ˙
主任	ㄓㄨˇ ㄖㄣˋ
抓	ㄓㄨㄚ
祝	ㄓㄨˋ
注意	ㄓㄨˋ ㄧˋ
專家	ㄓㄨㄢ ㄐㄧㄚ
專門	ㄓㄨㄢ ㄇㄣˊ
抓住	ㄓㄨㄚ ㄓㄨˋ
專題	ㄓㄨㄢ ㄊㄧˊ
專業	ㄓㄨㄢ ㄧㄝˋ
轉	ㄓㄨㄢˇ
轉變	ㄓㄨㄢˇ ㄅㄧㄢˋ
狀況	ㄓㄨㄤˋ ㄎㄨㄤˋ
狀態	ㄓㄨㄤˋ ㄊㄞˋ
準	ㄓㄨㄣˇ
資格	ㄗ ㄍㄜ˙
追	ㄓㄨㄟ
資金	ㄗ ㄐㄧㄣ
自從	ㄗˋ ㄘㄨㄥˊ
子女	ㄗˇ ㄋㄩˇ
自動	ㄗˋ ㄉㄨㄥˋ
自然	ㄗˋ ㄖㄢ˙
自覺	ㄗˋ ㄐㄩㄝˊ
自身	ㄗˋ ㄕㄣ
縂	ㄗㄨㄥˇ
自主	ㄗˋ ㄓㄨˇ
足夠	ㄗㄨˊ ㄍㄡˋ
總是	ㄗㄨㄥˇ ㄕˋ
組合	ㄗㄨˇ ㄏㄜˊ
足球	ㄗㄨˊ ㄑㄧㄡˊ
作品	ㄗㄨㄛˋ ㄆㄧㄣˇ
左右	ㄗㄨㄛˇ ㄧㄡˋ
總結	ㄗㄨㄥˇ ㄐㄧㄝˊ
做客	ㄗㄨㄛˋ ㄎㄜˋ
作者	ㄗㄨㄛˋ ㄓㄜˇ
