挨着	挨著	āi zhe	near;  
吉祥	吉祥	jí xiáng	lucky; auspicious; propitious;  
极端	極端	jí duān	extreme;  
急救	急救	jí jiù	first aid; emergency treatment;  
疾病	疾病	jí bìng	disease; sickness; ailment;  
集	集	jí	to gather; to collect; collected works; classifier for sections of a TV series etc: episode;  
给予	給予	jǐ yǔ	to accord; to give; to show (respect);  
加盟	加盟	jiā méng	to become a member of an alliance or union; to align; to join; participate;  
家电	傢電	jiā diàn	household electric appliance; abbr. for 家用電器|家用电器;  
家园	傢園	jiā yuán	home; homeland;  
嘉宾	嘉賓	jiā bīn	esteemed guest; honored guest; guest (on a show);  
假日	假日	jià rì	holiday; non-working day;  
尖	尖	jiān	point (of needle); sharp; shrewd; pointed;  
监测	監測	jiān cè	to monitor;  
监督	監督	jiān dū	to control; to supervise; to inspect;  
捡	撿	jiǎn	to pick up; to collect; to gather;  
简介	簡介	jiǎn jiè	summary; brief introduction;  
剑	劍	jiàn, jiàn	variant of 劍|剑[jian4];  
鉴定	鑒定	jiàn dìng	to appraise; to identify; to evaluate;  
箭	箭	jiàn	arrow; CL:支[zhi1];  
将军	將軍	Jiāng jūn, jiāng jūn	Chiangchun township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan;  general; high-ranking military officer; to check or checkmate; fig. to embarrass; to challenge; to put sb on the spot;  
讲课	講課	jiǎng kè	teach; lecture;  
酱	醬	jiàng	thick paste of fermented soybean; marinated in soy paste; paste; jam;  
酱油	醬油	jiàng yoú	soy sauce;  
骄傲	驕傲	jiāo ào	pride; arrogance; conceited; proud of sth;  
焦点	焦點	jiāo diǎn	focus; focal point;  
脚印	腳印	jiǎo yìn	footprint;  
觉	覺	jiào, jué	a nap; a sleep; CL:場|场[chang2];  to feel; to find that; thinking; awake; aware;  
教堂	教堂	jiào táng	church; chapel; CL:間|间[jian1];  
教育部	教育部	Jiào yù bù	Ministry of Education;  
接收	接收	jiē shoū	reception (of transmitted signal); to receive; to accept; to admit; to take over (e.g. a factory); to expropriate;  
揭	揭	jiē	to take the lid off; to expose; to unmask;  
街头	街頭	jiē toú	street;  
节	節	jiē, jié	see 節骨眼|节骨眼[jie1 gu5 yan3];  festival; holiday; node; joint; section; segment; part; to economize; to save; to abridge; moral integrity; classifier for segments, e.g. lessons, train wagons, biblical verses; CL:個|个[ge4];  
节假日	節假日	jié jià rì	public holiday;  
节能	節能	jié néng	to save energy; energy-saving;  
节奏	節奏	jié zoù	rhythm; tempo; musical pulse; cadence; beat;  
杰出	傑齣	jié chū	outstanding; distinguished; remarkable; prominent; illustrious;  
截止	截止	jié zhǐ	to close; to stop; to put a stop to sth; cut-off point; stopping point; deadline;  
截至	截至	jié zhì	up to (a time); by (a time);  
解	解	Xiè, jiě, jiè, xiè	surname Xie;  to divide; to break up; to split; to separate; to dissolve; to solve; to melt; to remove; to untie; to loosen; to open; to emancipate; to explain; to understand; to know; a solution; a dissection;  to transport under guard;  acrobatic display (esp. on horseback) (old); variant of 懈[xie4] and 邂[xie4] (old);  
解说	解說	jiě shuō	to explain; to comment;  
界	界	jiè	boundary; scope; extent; circles; group; kingdom (taxonomy);  
界	界	jiè	boundary; scope; extent; circles; group; kingdom (taxonomy);  
借鉴	藉鑒	jiè jiàn	to use other people's experience; to borrow from a source; to use as reference;  
金额	金額	jīn é	sum of money; monetary value;  
金钱	金錢	jīn qián	money; currency;  
金融	金融	jīn róng	banking; finance; financial;  
尽	盡	jǐn, jìn	to the greatest extent; (when used before a noun of location) furthest or extreme; to be within the limits of; to give priority to;  to use up; to exhaust; to end; to finish; to the utmost; exhausted; finished; to the limit (of sth); all; entirely;  
进攻	進攻	jìn gōng	to attack; to assault; to go on the offensive; attack; assault; offense (sports);  
近日	近日	jìn rì	in the past few days; recently; in the last few days;  
近视	近視	jìn shì	shortsighted; nearsighted; myopia;  
惊人	驚人	jīng rén	astonishing;  
惊喜	驚喜	jīng xǐ	nice surprise; to be pleasantly surprised;  
精	精	jīng	essence; extract; vitality; energy; semen; sperm; mythical goblin spirit; highly perfected; elite; the pick of sth; proficient (refined ability); extremely (fine); selected rice (archaic);  
精美	精美	jīng měi	delicate; fine; refinement;  
精品	精品	jīng pǐn	quality goods; premium product; fine work (of art);  
井	井	Jǐng, jǐng	Jing, one of the 28 constellations of Chinese astronomy; surname Jing;  a well; CL:口[kou3]; neat; orderly;  
景	景	Jǐng, jǐng	surname Jing;  bright; circumstance; scenery;  
景点	景點	jǐng diǎn	scenic spot; place of interest (tourism);  
净	淨	jìng, jìng	clean; completely; only; net (income, exports etc); (Chinese opera) painted face male role;  
纠纷	糾紛	jiū fēn	dispute;  
纠正	糾正	jiū zhèng	to correct; to make right;  
酒水	酒水	jiǔ shuǐ	beverage; a drink;  
救命	救命	jiù mìng	to save sb's life; (interj.) Help!; Save me!;  
救援	救援	jiù yuán	to save; to support; to help; to assist;  
救助	救助	jiù zhù	to help sb in trouble; aid; assistance;  
就是说	就是說	jiù shì shuō	in other words; that is;  
就算	就算	jiù suàn	granted that; even if;  
局	局	jú, jú	office; situation; classifier for games: match, set, round etc;  
剧	劇	jù	theatrical work (play, opera, TV series etc); dramatic (change, increase etc); acute; severe;  
据	據	jù, jū, jù, jù	according to; to act in accordance with; to depend on; to seize; to occupy;  see 拮据[jie2 ju1];  
捐	捐	juān	to contribute; to donate; contribution; tax; to abandon;  
捐款	捐款	juān kuǎn	to donate money; to contribute funds; donation; contribution (of money);  
捐赠	捐贈	juān zèng	to contribute (as a gift); to donate; benefaction;  
捐助	捐助	juān zhù	to donate; to offer (aid); contribution; donation;  
决策	決策	jué cè	strategic decision; decision-making; policy decision; to determine policy;  
觉悟	覺悟	jué wù	to come to understand; to realize; consciousness; awareness; Buddhist enlightenment (Sanskrit: cittotpāda);  
绝	絕	jué, jué	variant of 絕|绝[jue2];  
绝大多数	絕大多數	jué dà duō shù	absolute majority; overwhelming majority;  
军队	軍隊	jūn duì	army; troops; CL:支[zhi1],個|个[ge4];  
军舰	軍艦	jūn jiàn	warship; military naval vessel; CL:艘[sou1];  
军事	軍事	jūn shì	military affairs; military matters; military;  
开创	開創	kāi chuàng	to initiate; to start; to found;  
开关	開關	kāi guān	power switch; to open a gate;  
开设	開設	kāi shè	to offer (goods or services); to open (for business etc);  
开通	開通	kāi tong	to open up (windows for air, ideas for discussion, transport routes etc); open-minded;  
开头	開頭	kāi toú	beginning; to start;  
开夜车	開夜車	kāi yè chē	to burn the midnight oil; to work late into the night;  
看	看	kān, kàn	to look after; to take care of; to watch; to guard;  to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger);  
看管	看管	kān guǎn	to look after;  
看得见	看得見	kàn dé jiàn	can see; visible;  
看得起	看得起	kàn de qǐ	to show respect for; to think highly of;  
看好	看好	kàn hǎo	optimistic (about the outcome); bullish; to think highly of; to support;  
看作	看作	kàn zuò	to look upon as; to regard as;  
康复	康復	kāng fù	to recuperate; to recover (health); to convalesce;  
抗议	抗議	kàng yì	to protest; protest;  
考场	考場	kǎo chǎng	exam room;  
考题	考題	kǎo tí	exam question;  
科研	科研	kē yán	(scientific) research;  
客车	客車	kè chē	coach; bus; passenger train;  
肯	肯	kěn, kěn	to agree; to consent; to be ready (to do sth); willing;  
空军	空軍	kōng jūn	air force;  
口试	口試	koǔ shì	oral examination; oral test;  
扣	扣	koù, koù	button;  
酷	酷	kù	ruthless; strong (e.g. of wine); (loanword) cool; hip;  
跨	跨	kuà	to step across; to stride over; to straddle; to span;  
快车	快車	kuài chē	express (train, bus etc);  
宽阔	寬闊	kuān kuò	expansive; wide; width; thickness;  
矿	礦	kuàng, kuàng	variant of 礦|矿[kuang4];  
阔	闊	kuò, kuò	rich; wide; broad;  
啦	啦	lā, la	(onom.) sound of singing, cheering etc; (phonetic); (dialect) to chat;  sentence-final particle, contraction of 了啊, indicating exclamation; particle placed after each item in a list of examples;  
来往	來往	lái wǎng	to come and go; to have dealings with; to be in relation with;  
赖	賴	Lài, lài, lài	surname Lai;  variant of 賴|赖[lai4];  
栏目	欄目	lán mù	regular column or segment (in a publication or broadcast program); program (TV or radio);  
蓝领	藍領	lán lǐng	blue collar; common laborer;  
蓝天	藍天	lán tiān	blue sky;  
懒	懶	lǎn, lǎn	lazy;  
牢	牢	láo	firm; sturdy; fold (for animals); sacrifice; prison;  
老乡	老鄉	lǎo xiāng	fellow townsman; fellow villager; sb from the same hometown;  
冷气	冷氣	lěng qì	air conditioning (Tw);  
冷水	冷水	lěng shuǐ	cold water; unboiled water; fig. not yet ready (of plans);  
礼堂	禮堂	lǐ táng	assembly hall; auditorium; CL:座[zuo4],處|处[chu4];  
理	理	lǐ	texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up;  
理财	理財	lǐ cái	financial management; finance;  
理智	理智	lǐ zhì	reason; intellect; rationality; rational;  
力	力	Lì, lì	surname Li;  power; force; strength; ability; strenuously;  
利	利	Lì, lì	surname Li;  sharp; favorable; advantage; benefit; profit; interest; to do good to; to benefit;  
联盟	聯盟	lián méng	alliance; union; coalition;  
联赛	聯賽	lián sài	(sports) league; league tournament;  
联手	聯手	lián shoǔ	lit. to join hands; to act together;  
凉鞋	涼鞋	liáng xié	sandal;  
两侧	兩側	liǎng cè	two sides; both sides;  
两手	兩手	liǎngshǒu	Two hands
聊	聊	liáo	to chat; to depend upon (literary); temporarily; just; slightly;  
聊天儿	聊天兒	liao2 tian1 r5	erhua variant of 聊天[liao2 tian1];  
料	料	liào	material; stuff; grain; feed; to expect; to anticipate; to guess;  
料	料	liào	material; stuff; grain; feed; to expect; to anticipate; to guess;  
裂	裂	liè	to split; to crack; to break open; to rend;  
灵活	靈活	líng huó	flexible; nimble; agile;  
领取	領取	lǐng qǔ	to receive; to draw; to get;  
领袖	領袖	lǐng xiù	leader; CL:個|个[ge4],位[wei4],名[ming2];  
另	另	lìng	other; another; separate; separately;  
留言	留言	liú yán	to leave a message; to leave one's comments; message;  
流感	流感	liú gǎn	flu; influenza;  
楼道	樓道	loú dào	corridor; passageway (in storied building);  
楼房	樓房	loú fáng	a building of two or more stories; CL:棟|栋[dong4],幢[zhuang4],座[zuo4];  
露	露	Lù, loù, lù	surname Lu;  to show; to reveal; to betray; to expose;  dew; syrup; nectar; outdoors (not under cover); to show; to reveal; to betray; to expose;  
陆军	陸軍	lù jūn	army;  
录像	錄像	lù xiàng	to videotape; to videorecord; video recording; CL:盤|盘[pan2];  
录音机	錄音機	lù yīn jī	(tape) recording machine; tape recorder; CL:臺|台[tai2];  
路过	路過	lù guò	to pass by or through;  
露	露	Lù, loù, lù	surname Lu;  to show; to reveal; to betray; to expose;  dew; syrup; nectar; outdoors (not under cover); to show; to reveal; to betray; to expose;  
旅店	旅店	lǚ diàn	inn; small hotel;  
绿化	綠化	lǜ huà	to make green with plants; to reforest;  
马车	馬車	mǎ chē	cart; chariot; carriage; buggy;  
嘛	嘛	ma	modal particle indicating that sth is obvious; particle indicating a pause for emphasis;  
埋	埋	mái, mán	to bury;  to blame;  
馒头	饅頭	mán tou	steamed roll; steamed bun; steamed bread; CL:個|个[ge4];  
慢车	慢車	màn chē	local bus or train; slow train with many stops;  
盲人	盲人	máng rén	blind person;  
梅花	梅花	méi huā	plum blossom; clubs ♣ (a suit in card games); wintersweet (dialect);  
美容	美容	měi róng	to improve one's appearance (using cosmetics or cosmetic surgery); to make oneself more attractive; to beautify;  
蒙	濛	méng, mēng, méng, Méng, Měng, mēng, méng	to cover; ignorant; to suffer (misfortune); to receive (a favor); to cheat;  (knocked) unconscious; dazed; stunned;  surname Meng;  Mongol ethnic group; abbr. for Mongolia 蒙古國|蒙古国[Meng3 gu3 guo2]; Taiwan pr. [Meng2];  
蒙	濛	méng, mēng, méng, Méng, Měng, mēng, méng	to cover; ignorant; to suffer (misfortune); to receive (a favor); to cheat;  (knocked) unconscious; dazed; stunned;  surname Meng;  Mongol ethnic group; abbr. for Mongolia 蒙古國|蒙古国[Meng3 gu3 guo2]; Taiwan pr. [Meng2];  
猛	猛	měng	ferocious; fierce; violent; brave; suddenly; abrupt; (slang) awesome;  
棉	棉	mián	generic term for cotton or kapok; cotton; padded or quilted with cotton;  
免得	免得	miǎn de	so as not to; so as to avoid;  
面对面	麵對麵	miàn duì miàn	face to face;  
面向	麵嚮	miàn xiàng	to face; to turn towards; to incline to; geared towards; catering for; -oriented; facial feature; appearance; aspect; facet;  
妙	妙	miào, miào	variant of 妙[miao4];  
灭	滅	miè	to extinguish or put out; to go out (of a fire etc); to exterminate or wipe out; to drown;  
民歌	民歌	mín gē	folk song; CL:支[zhi1],首[shou3];  
民工	民工	mín gōng	migrant worker; temporary worker enlisted on a public project;  
民警	民警	mín jǐng	civil police; PRC police; abbr. for 人民警察;  
民意	民意	mín yì	public opinion; popular will; public will;  
民主	民主	mín zhǔ	democracy;  
名额	名額	míng é	quota; number of places; place (in an institution, a group etc);  
名胜	名勝	míng shèng	a place famous for its scenery or historical relics; scenic spot; CL:處|处[chu4];  
名义	名義	míng yì	name; titular; nominal; in name; ostensible purpose;  
名誉	名譽	míng yù	fame; reputation; honor; honorary; emeritus (of retired professor);  
明日	明日	míng rì	tomorrow;  
命	命	mìng	life; fate; order or command; to assign a name, title etc;  
膜	膜	mó	membrane; film;  
磨	磨	mó, mò	to rub; to grind; to polish; to sharpen; to wear down; to die out; to waste time; to pester; to insist;  grindstone; to grind; to turn round;  
没收	沒收	mò shoū	to confiscate; to seize;  
墨水	墨水	mò shuǐ	ink; CL:瓶[ping2];  
母	母	mǔ	mother; elderly female relative; origin; source; (of animals) female;  
母鸡	母雞	mǔ jī	hen;  
母女	母女	mǔ nǚ	mother-daughter;  
母子	母子	mǔ zǐ	mother and child; parent and subsidiary (companies); principal and interest;  
墓	墓	mù	grave; tomb; mausoleum;  
拿走	拿走	ná zoǔ	to take away;  
奶粉	奶粉	nǎi fěn	powdered milk;  
奶牛	奶牛	nǎi niú	milk cow; dairy cow;  
难忘	難忘	nán wàng	unforgettable;  
内地	內地	Nèi dì, nèi dì	mainland China (PRC excluding Hong Kong and Macau, but including islands such as Hainan); Japan (used in Taiwan during Japanese colonization);  inland; interior; hinterland;  
内外	內外	nèi wài	inside and outside; domestic and foreign; approximately; about;  
内衣	內衣	nèi yī	undergarment; underwear; CL:件[jian4];  
能否	能否	néng foǔ	whether or not; can it or can't it; is it possible?;  
泥	泥	ní, nì	mud; clay; paste; pulp;  restrained;  
扭	扭	niǔ	to turn; to twist; to wring; to sprain; to swing one's hips;  
排行榜	排行榜	pái háng bǎng	the charts (of best-sellers); table of ranking;  
派出	派齣	pài chū	to send; to dispatch;  
判	判	pàn	to judge; to sentence; to discriminate; to discern; obviously (different);  
盼望	盼望	pàn wàng	to hope for; to look forward to;  
泡	泡	pāo, pào	puffed; swollen; spongy; small lake (esp. in place names); classifier for urine or feces;  bubble; foam; blister (i.e. skin bubble); to soak; to steep; to infuse; to dawdle; to shilly-shally; to hang about; to pick up (a girl); to get off with (a sexual partner); classifier for occurrences of an action; classifier for number of infusions;  
炮	炮	bāo, páo, pào, pào	to sauté; to fry; to dry by heating;  to prepare herbal medicine by roasting or parching (in a pan);  variant of 炮[pao4];  
陪同	陪同	péi tóng	to accompany;  
配置	配置	pèi zhì	to deploy; to allocate; configuration; allocation;  
皮球	皮球	pí qiú	ball (made of rubber, leather etc);  
偏	偏	piān	to lean; to slant; oblique; prejudiced; to deviate from average; to stray from the intended line; stubbornly; contrary to expectations; left-hand side of a split Chinese character, often the key or radical;  
贫困	貧睏	pín kùn	impoverished; poverty;  
品牌	品牌	pǐn pái	brand name; trademark;  
聘请	聘請	pìn qǐng	to engage; to hire (a lawyer etc);  
平凡	平凡	píng fán	commonplace; ordinary; mediocre;  
平方米	平方米	píng fāng mǐ	square meter;  
平衡	平衡	píng héng	balance; equilibrium;  
平台	平颱	píng tái	platform; terrace; flat-roofed building;  
评	評	píng	to discuss; to comment; to criticize; to judge; to choose (by public appraisal);  
评选	評選	píng xuǎn	to select on the basis of a vote or consensus;  
屏幕	屏幕	píng mù	screen (TV, computer or movie);  
坡	坡	pō	slope; CL:個|个[ge4]; sloping; slanted;  
扑	撲	pū	to throw oneself at; to pounce on; to devote one's energies; to flap; to flutter; to dab; to pat; to bend over;  
铺	鋪	pù, pū, pù	plank bed; place to sleep; shop; store; (old) relay station;  to spread; to display; to set up; (old) holder for door-knocker;  
欺负	欺負	qī fu	to bully;  
奇妙	奇妙	qí miào	fantastic; wonderful;  
企图	企圖	qǐ tú	to attempt; to try; attempt; CL:種|种[zhong3];  
起点	起點	qǐ diǎn	starting point;  
起诉	起訴	qǐ sù	to sue; to bring a lawsuit against; to prosecute;  
气氛	氣氛	qì fēn	atmosphere; mood;  
恰当	恰當	qià dàng	appropriate; suitable;  
恰好	恰好	qià hǎo	as it turns out; by lucky coincidence; (of number, time, size etc) just right;  
恰恰	恰恰	qià qià	exactly; just; precisely;  
牵	牽	qiān	to lead along; to pull (an animal on a tether); (bound form) to involve; to draw in;  
铅笔	鉛筆	qiān bǐ	(lead) pencil; CL:支[zhi1],枝[zhi1],桿|杆[gan3];  
谦虚	謙虛	qiān xū	modest; self-effacing; to make modest remarks;  
前方	前方	qián fāng	ahead; the front;  
前来	前來	qián lái	to come (formal); before; previously;  
潜力	潛力	qián lì	potential; capacity;  
强盗	強盜	qiáng dào	to rob (with force); bandit; robber; CL:個|个[ge4];  
强化	強化	qiáng huà	to strengthen; to intensify;  
强势	強勢	qiáng shì	strong; powerful; (linguistics) emphatic; intensive;  
强壮	強壯	qiáng zhuàng	strong; sturdy; robust;  
桥梁	橋梁	qiáo liáng	bridge; fig. connection between two areas;  
巧妙	巧妙	qiǎo miào	ingenious; clever; ingenuity; artifice;  
茄子	茄子	qié zi	eggplant (Solanum melongena L.); aubergine; brinjal; Guinea squash; phonetic 'cheese' (when being photographed); equivalent of 'say cheese';  
切实	切實	qiè shí	feasible; realistic; practical; earnestly; conscientiously;  
侵犯	侵犯	qīn fàn	to infringe on; to encroach on; to violate; to assault;  
亲属	親屬	qīn shǔ	kin; kindred; relatives;  
亲眼	親眼	qīn yǎn	with one's own eyes; personally;  
倾向	傾嚮	qīng xiàng	trend; tendency; orientation;  
清	清	Qīng, qīng	Qing or Ch'ing dynasty of Imperial China (1644-1911); surname Qing;  clear; distinct; quiet; just and honest; pure; to settle or clear up; to clean up or purge;  
清洁	清潔	qīng jié	clean; to clean;  
清洁工	清潔工	qīng jié gōng	cleaner; janitor; garbage collector;  
清明节	清明節	Qīng míng jié	Qingming or Pure Brightness Festival or Tomb Sweeping Day, celebration for the dead (in early April);  
清洗	清洗	qīng xǐ	to wash; to clean; to purge;  
情绪	情緒	qíng xù	mood; state of mind; moodiness; CL:種|种[zhong3];  
求职	求職	qiú zhí	to seek employment;  
球拍	球拍	qiú pāi	racket;  
球星	球星	qiú xīng	sports star (ball sport);  
球员	球員	qiú yuán	sports club member; footballer, golfer etc;  
区分	區分	qū fēn	to differentiate; to draw a distinction; to divide into categories;  
渠道	渠道	qú dào	irrigation ditch; (fig.) channel; means;  
取款	取款	qǔ kuǎn	to withdraw money from a bank;  
取款机	取款機	qǔ kuǎn jī	ATM;  
去掉	去掉	qù diào	to get rid of; to exclude; to eliminate; to remove; to delete; to strip out; to extract;  
权	權	Quán, quán	surname Quan;  authority; power; right; (literary) to weigh; expedient; temporary;  
权力	權力	quán lì	power; authority;  
全力	全力	quán lì	with all one's strength; full strength; all-out (effort); fully (support);  
全新	全新	quán xīn	all new; completely new;  
券	券	quàn, quàn	variant of 券[quan4];  
缺陷	缺陷	quē xiàn	defect; flaw; physical defect;  
却是	卻是	què shì	nevertheless; actually; the fact is ...;  
让座	讓座	ràng zuò	to give up one's seat for sb;  
热点	熱點	rè diǎn	hot spot; point of special interest;  
热水	熱水	rè shuǐ	hot water;  
热水器	熱水器	rè shuǐ qì	water heater;  
热线	熱綫	rè xiàn	hotline (communications link);  
人权	人權	rén quán	human rights;  
认同	認同	rèn tóng	to approve of; to endorse; to acknowledge; to recognize; to identify oneself with;  
日夜	日夜	rì yè	day and night; around the clock;  
日语	日語	Rì yǔ	Japanese language;  
融合	融閤	róng hé	a mixture; an amalgam; fusion; welding together; to be in harmony with (nature); to harmonize with; to fit in;  
融入	融入	róng rù	to blend into; to integrate; to assimilate; to merge;  
如	如	rú	as; as if; such as;  
如一	如一	rúyī	As one
乳制品	乳製品	rǔ zhì pǐn	dairy products;  
入	入	rù	to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1];  
入学	入學	rù xué	to enter a school or college; to go to school for the first time as a child;  
若	若	ruò	to seem; like; as; if;  
塞	塞	Sāi, sāi, sài, sè	Serbia; Serbian; abbr. for 塞爾維亞|塞尔维亚[Sai1 er3 wei2 ya4];  to stop up; to squeeze in; to stuff; cork; stopper;  strategic pass; tactical border position;  to stop up; to stuff; to cope with;  
赛	賽	sài	to compete; competition; match; to surpass; better than; superior to; to excel;  
赛场	賽場	sài chǎng	racetrack; field (for athletics competition);  
三明治	三明治	sān míng zhì	sandwich (loanword); CL:個|个[ge4];  
丧失	喪失	sàng shī	to lose; to forfeit;  
山峰	山峰	shān fēng	(mountain) peak;  
山谷	山榖	shān gǔ	valley; ravine;  
山坡	山坡	shān pō	hillside;  
伤口	傷口	shāng koǔ	wound; cut;  
伤亡	傷亡	shāng wáng	casualties; injuries and deaths;  
伤员	傷員	shāng yuán	wounded person;  
商城	商城	Shāng chéng, shāng chéng	see 商城縣|商城县[Shang1 cheng2 xian4];  shopping center; department store;  
上当	上當	shàng dàng	taken in (by sb's deceit); to be fooled; to be duped;  
上帝	上帝	Shàng dì	God;  
上市	上市	shàng shì	to hit the market (of a new product); to float (a company on the stock market);  
上台	上颱	shàng tái	to rise to power (in politics); to go on stage (in the theater);  
上演	上演	shàng yǎn	to screen (a movie); to stage (a play); a screening; a staging;  
勺	勺	sháo	spoon; ladle; CL:把[ba3]; abbr. for 公勺[gong1 shao2], centiliter (unit of volume);  
少儿	少兒	shào ér	child;  
舌头	舌頭	shé tou	tongue; CL:個|个[ge4]; enemy soldier captured for the purpose of extracting information;  
设计师	設計師	shè jì shī	designer; architect;  
涉及	涉及	shè jí	to involve; to touch upon (a topic);  
深化	深化	shēn huà	to deepen; to intensify;  
深深	深深	shēn shēn	deep; profound;  
审查	審查	shěn chá	to examine; to investigate; to censor out; censorship;  
升级	升級	shēng jí	to escalate (in intensity); to go up by one grade; to be promoted; to upgrade (computing);  
升学	升學	shēng xué	to enter the next grade school;  
升值	升值	shēng zhí	to rise in value; to appreciate;  
生活费	生活費	shēng huó fèi	cost of living; living expenses; alimony;  
省钱	省錢	shěng qián	to save money;  
圣诞节	聖誕節	Shèng dàn jié	Christmas time; Christmas season; Christmas;  
盛行	盛行	shèng xíng	to be in vogue; to be prevalent;  
师父	師父	shī fu	used for 師傅|师傅 (in Taiwan); master; qualified worker;  
师生	師生	shī shēng	teachers and students;  
时而	時而	shí ér	occasionally; from time to time;  
时节	時節	shí jié	season; time;  
时期	時期	shí qī	period; phase; CL:個|个[ge4];  
时时	時時	shí shí	often; constantly;  
时装	時裝	shí zhuāng	fashion; fashionable clothes;  
识	識	shí, zhì	to know; knowledge; Taiwan pr. [shi4];  to record; to write a footnote;  
识字	識字	shí zì	to learn to read;  
实践	實踐	shí jiàn	practice; to put into practice; to live up to (a promise); to carry out (a project);  
食欲	食欲	shí yù	appetite;  
市民	市民	shì mín	city resident;  
事后	事後	shì hoù	after the event; in hindsight; in retrospect;  
试点	試點	shì diǎn	test point; to carry out trial; pilot scheme;  
适当	適當	shì dàng	suitable; appropriate;  
收藏	收藏	shoū cáng	to hoard; to collect; collection; to bookmark (Internet);  
收取	收取	shoū qǔ	to receive; to collect;  
收养	收養	shoū yǎng	to take in and care for (an elderly person, a dog etc); to adopt (a child); adoption;  
手续费	手續費	shoǔ xù fèi	service charge; processing fee; commission;  
首	首	shoǔ	head; chief; first (occasion, thing etc); classifier for poems, songs etc;  
首次	首次	shoǔ cì	first; first time; for the first time;  
首脑	首腦	shoǔ nǎo	head (of state); summit (meeting); leader;  
首席	首席	shoǔ xí	chief (representative, correspondent etc);  
首相	首相	shoǔ xiàng	prime minister (of Japan or UK etc);  
书房	書房	shū fáng	study (room); studio; CL:間|间[jian1];  
薯片	薯片	shǔ piàn	fried potato chips;  
薯条	薯條	shǔ tiáo	french fries; french fried potatoes; chips;  
双打	雙打	shuāng dǎ	doubles (in sports); CL:場|场[chang3];  
爽	爽	shuǎng	bright; clear; crisp; open; frank; straightforward; to feel well; fine; pleasurable; invigorating; to deviate;  
水泥	水泥	shuǐ ní	cement; CL:袋[dai4];  
税	稅	shuì	taxes; duties;  
顺	順	shùn	to obey; to follow; to arrange; to make reasonable; along; favorable;  
说明书	說明書	shuō míng shū	(technical) manual; (book of) directions; synopsis (of a play or film); specification (patent); CL:本[ben3];  
说实话	說實話	shuō shí huà	to speak the truth; truth to tell; frankly;  
司长	司長	sī zhǎng	bureau chief;  
死亡	死亡	sǐ wáng	to die; death;  
四处	四處	sì chù	all over the place; everywhere and all directions;  
寺	寺	sì	Buddhist temple; mosque; government office (old);  
送礼	送禮	sòng lǐ	to give a present;  
送行	送行	sòng xíng	to see someone off; to throw someone a send-off party;  
素质	素質	sù zhì	inner quality; basic essence;  
算了	算瞭	suàn le	let it be; let it pass; forget about it;  
算是	算是	suàn shì	considered to be; at last;  
虽	雖	suī	although; even though;  
岁数	歲數	suì shu	age (number of years old);  
所	所	suǒ	actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4];  
踏实	踏實	tā shi	firmly-based; steady; steadfast; to have peace of mind; free from anxiety; Taiwan pr. [ta4 shi2];  
塔	塔	tǎ, tǎ	old variant of 塔[ta3];  
踏	踏	tā, tà	see 踏實|踏实[ta1 shi5];  to tread; to stamp; to step on; to press a pedal; to investigate on the spot;  
台灯	颱燈	tái dēng	desk lamp; table lamp;  
太阳能	太陽能	tài yáng néng	solar energy;  
叹气	嘆氣	tàn qì	to sigh; to heave a sigh;  
探索	探索	tàn suǒ	to explore; to probe;  
探讨	探討	tàn tǎo	to investigate; to probe;  
趟	趟	tāng, tāng, tàng	to wade; to trample; to turn the soil;  classifier for times, round trips or rows; a time; a trip;  
掏	掏	tāo, tāo	variant of 掏[tao1];  
特	特	tè	special; unique; distinguished; especially; unusual; very;  
特大	特大	tèdà	Extraordinary
特地	特地	tè dì	specially; for a special purpose;  
特快	特快	tè kuài	express (train, delivery etc);  
特意	特意	tè yì	specially; intentionally;  
疼痛	疼痛	téng tòng	pain; ache; sore;  
踢	踢	tī	to kick; to play (e.g. soccer);  
提交	提交	tí jiāo	to submit (a report etc); to refer (a problem) to sb;  
提升	提升	tí shēng	to promote; to upgrade;  
天然	天然	tiān rán	natural;  
天堂	天堂	tiān táng	paradise; heaven;  
天下	天下	tiān xià	land under heaven; the whole world; the whole of China; realm; rule;  
添	添	tiān	to add; to increase; to replenish;  
田	田	Tián, tián	surname Tian;  field; farm; CL:片[pian4];  
田径	田徑	tián jìng	track and field (athletics);  
跳水	跳水	tiào shuǐ	to dive (into water); (sports) diving; to commit suicide by jumping into water; (fig.) (of stock prices etc) to fall dramatically;  
听取	聽取	tīng qǔ	to hear (news); to listen to;  
通报	通報	tōng bào	to inform; to notify; to announce; circular; bulletin; (scientific) journal;  
通道	通道	Tōng dào, tōng dào	Tongdao Dong autonomous county in Huaihua 懷化|怀化[Huai2 hua4], Hunan;  (communications) channel; thoroughfare; passage;  
