阿拉伯语	阿拉伯語	Ā lā bó yǔ	Arabic (language);  
航天员	航天員	háng tiān yuán	astronaut;  
航行	航行	háng xíng	to sail; to fly; to navigate;  
航运	航運	háng yùn	shipping; transport;  
毫不	毫不	háo bù	hardly; not in the least; not at all;  
毫不犹豫	毫不猶豫	háo bù yoú yù	without the slightest hesitation;  
毫无	毫無	háo wú	not in the least; to completely lack;  
豪华	豪華	háo huá	luxurious;  
好比	好比	hǎo bǐ	to be just like; can be compared to;  
好歹	好歹	hǎo dǎi	good and bad; most unfortunate occurrence; in any case; whatever;  
好感	好感	hǎo gǎn	good opinion; favorable impression;  
好坏	好壞	hǎo huài	good or bad; good and bad; standard; quality;  
好家伙	好傢夥	hǎo jiā huo	my God!; oh boy!; man!;  
好评	好評	hǎo píng	favorable criticism; positive evaluation;  
好说	好說	hǎo shuō	easy to deal with; not a problem; (polite answer) you flatter me;  
好笑	好笑	hǎo xiào	laughable; funny; ridiculous;  
好心	好心	hǎo xīn	kindness; good intentions;  
好心人	好心人	hǎoxīnrén	Good people
好意	好意	hǎo yì	good intention; kindness;  
好在	好在	hǎo zài	luckily; fortunately;  
号称	號稱	hào chēng	to be known as; to be nicknamed; to be purportedly; to claim (often exaggeratedly or falsely);  
好客	好客	hào kè	hospitality; to treat guests well; to enjoy having guests; hospitable; friendly;  
好奇心	好奇心	hào qí xīn	interest in sth; curiosity; inquisitive;  
耗	耗	hào	to waste; to spend; to consume; to squander; news; (coll.) to delay; to dilly-dally;  
耗费	耗費	hào fèi	to waste; to spend; to consume; to squander;  
耗时	耗時	hào shí	time-consuming; to take a period of (x amount of time);  
浩劫	浩劫	hào jié	calamity; catastrophe; apocalypse;  
呵护	嗬護	hē hù	to bless; to cherish; to take good care of; to conserve;  
禾苗	禾苗	hé miáo	seedling (of rice or other grain); CL:棵[ke1];  
合唱	閤唱	hé chàng	chorus; to chorus;  
合乎	閤乎	hé hū	to accord with; conforming to;  
合伙	閤夥	hé huǒ	to act jointly; to form a partnership;  
合计	閤計	hé jì	to add up the total; to figure what sth amounts to; to consider;  
合情合理	閤情閤理	hé qíng hé lǐ	reasonable and fair (idiom);  
合影	閤影	hé yǐng	to take a joint photo; group photo;  
合资	閤資	hé zī	joint venture;  
合作社	閤作社	hé zuò shè	cooperative; workers' or agricultural producers' cooperative etc;  
何必	何必	hé bì	there is no need; why should;  
何处	何處	hé chù	whence; where;  
何苦	何苦	hé kǔ	why bother?; is it worth the trouble?;  
何况	何況	hé kuàng	let alone; to say nothing of; besides; what's more;  
何时	何時	hé shí	when;  
和蔼	和藹	hé ǎi	kindly; nice; amiable;  
和解	和解	hé jiě	to settle (a dispute out of court); to reconcile; settlement; conciliation; to become reconciled;  
和睦	和睦	hé mù	peaceful relations; harmonious;  
和平共处	和平共處	hé píng gòng chǔ	peaceful coexistence of nations, societies etc;  
和气	和氣	hé qi	friendly; polite; amiable;  
和尚	和尚	hé shang	Buddhist monk;  
河流	河流	hé liú	river; CL:條|条[tiao2];  
河畔	河畔	hé pàn	riverside; river plain;  
荷花	荷花	hé huā	lotus;  
核	核	hé, hé	variant of 核[he2]; to investigate;  
核电站	核電站	hé diàn zhàn	nuclear power plant;  
核对	核對	hé duì	to check; to verify; to audit; to examine;  
核能	核能	hé néng	nuclear energy;  
核实	核實	hé shí	to verify; to check;  
核桃	核桃	hé tao	walnut; CL:個|个[ge4],棵[ke1];  
核武器	核武器	hé wǔ qì	nuclear weapon;  
贺电	賀電	hè diàn	congratulatory telegram;  
贺信	賀信	hèxìn	Congratulate
喝彩	喝彩	hè cǎi	to acclaim; to cheer;  
赫然	赫然	hè rán	with astonishment; with a shock; awe-inspiringly; impressively; furiously (angry);  
鹤立鸡群	鶴立雞群	hè lì jī qún	a crane in a flock of chicken (idiom); way above the common; manifestly superior;  
黑白	黑白	hēi bái	black and white; right and wrong; monochrome;  
黑客	黑客	hēi kè	hacker (computing) (loanword);  
黑马	黑馬	hēi mǎ	dark horse; fig. unexpected winner;  
黑手	黑手	hēishǒu	Blackman
黑心	黑心	hēi xīn	ruthless and lacking in conscience; vicious mind full of hatred and jealousy; black core (flaw in pottery);  
嘿	嘿	hēi	hey;  
痕迹	痕跡	hén jì	vestige; mark; trace;  
恨不得	恨不得	hèn bu de	wishing one could do sth; to hate to be unable; itching to do sth;  
哼	哼	hēng	to groan; to snort; to hum; to croon; humph!;  
横七竖八	橫七竪八	héng qī shù bā	in disorder; at sixes and sevens (idiom);  
横向	橫嚮	héng xiàng	horizontal; orthogonal; perpendicular; lateral; crosswise;  
横	橫	héng, hèng	horizontal; across; (horizontal character stroke);  harsh and unreasonable; unexpected;  
轰	轟	hōng	explosion; bang; boom; rumble; to attack; to shoo away; to expel;  
轰动	轟動	hōng dòng	to cause a sensation; to create a stir in (a place); commotion; controversy;  
轰炸	轟炸	hōng zhà	to bomb; to bombard; CL:陣|阵[zhen4];  
哄	哄	hōng, hǒng, hòng, hòng	roar of laughter (onom.); hubbub; to roar (as a crowd);  to deceive; to coax; to amuse (a child);  tumult; uproar; commotion; disturbance;  
哄堂大笑	哄堂大笑	hōng táng dà xiào	the whole room roaring with laughter (idiom);  
烘干	烘乾	hōng gān	to dry over a stove;  
烘托	烘托	hōng tuō	background (of a painting); backdrop; a foil (to set off something to advantage); to offset (something to advantage);  
弘扬	弘揚	hóng yáng	to enhance; to promote; to enrich;  
红灯	紅燈	hóng dēng	red light;  
红火	紅火	hóng huǒ	prosperous;  
红扑扑	紅撲撲	hóng pū pū	red; rosy; flushed;  
红润	紅潤	hóng rùn	ruddy; rosy; florid;  
红薯	紅薯	hóng shǔ	sweet potato;  
红眼	紅眼	hóngyǎn	Red eye
宏观	宏觀	hóng guān	macro-; macroscopic; holistic;  
宏伟	宏偉	hóng wěi	grand; imposing; magnificent;  
洪亮	洪亮	hóng liàng	loud and clear; resonant;  
哄	哄	hōng, hǒng, hòng, hòng	roar of laughter (onom.); hubbub; to roar (as a crowd);  to deceive; to coax; to amuse (a child);  tumult; uproar; commotion; disturbance;  
哄	哄	hōng, hǒng, hòng, hòng	roar of laughter (onom.); hubbub; to roar (as a crowd);  to deceive; to coax; to amuse (a child);  tumult; uproar; commotion; disturbance;  
喉咙	喉嚨	hoú lóng	throat; larynx;  
吼	吼	hoǔ	to roar; to howl; to shriek; roar or howl of an animal; bellow of rage;  
后备	後備	hoù bèi	reserve; backup;  
后备箱	後備箱	hoù bèi xiāng	trunk; boot (of a car);  
后代	後代	hoù dài	posterity; later periods; later ages; later generations;  
后盾	後盾	hoù dùn	support; backing;  
后顾之忧	後顧之憂	hoù gù zhī yoū	fears of trouble in the rear (idiom); family worries (obstructing freedom of action); worries about the future consequences; often in negative expressions, meaning 'no worries about anything';  
后期	後期	hoù qī	late stage; later period;  
后勤	後勤	hoù qín	logistics;  
后人	後人	hoù rén	later generation;  
后台	後颱	hoù tái	backstage area; behind-the-scenes supporter; (computing) back-end; background;  
后退	後退	hoù tuì	to recoil; to draw back; to fall back; to retreat;  
后续	後續	hoù xù	follow-up; (dialect) to remarry;  
后遗症	後遺癥	hoù yí zhèng	(medicine) sequelae; residual effects; (fig.) repercussions; aftermath;  
后裔	後裔	hoù yì	descendant;  
后者	後者	hoù zhě	the latter;  
厚道	厚道	hoù dao	kind and honest; generous; sincere;  
厚度	厚度	hoù dù	thickness;  
候选人	候選人	hoù xuǎn rén	candidate; CL:名[ming2];  
呼风唤雨	呼風喚雨	hū fēng huàn yǔ	to call the wind and summon the rain (idiom); to exercise magical powers; fig. to stir up troubles;  
呼唤	呼喚	hū huàn	to call out (a name etc); to shout;  
呼救	呼救	hū jiù	to call for help;  
呼声	呼聲	hū shēng	a shout; fig. opinion or demand, esp. expressed by a group;  
呼应	呼應	hū yìng	to conform (with); to echo; to correlate well; (linguistics) agreement;  
呼吁	呼籲	hū yù	to call on (sb to do sth); to appeal (to); an appeal;  
忽高忽低	忽高忽低	hūgāohūdī	I suddenly
忽悠	忽悠	hū you	to rock; to sway; to flicker (e.g. of lights reflected on water); to flutter (e.g. of a flag); to trick sb into doing sth; to dupe; to con;  
胡闹	鬍鬧	hú nào	to act willfully and make a scene; to make trouble;  
胡说	鬍說	hú shuō	to talk nonsense; drivel;  
胡思乱想	鬍思亂想	hú sī luàn xiǎng	to indulge in flights of fancy (idiom); to let one's imagination run wild;  
湖泊	湖泊	hú pō	lake;  
糊	糊	hú, hú, hù, hú	congee; making a living;  paste; cream;  
糊涂	糊塗	hú tu	muddled; silly; confused;  
互补	互補	hù bǔ	complementary; to complement each other;  
互访	互訪	hù fǎng	exchange visits;  
互信	互信	hù xìn	mutual trust;  
互助	互助	Hù zhù, hù zhù	Huzhu Tuzu autonomous county in Haidong prefecture 海東地區|海东地区[Hai3 dong1 di4 qu1], Qinghai;  to help each other;  
护理	護理	hù lǐ	to nurse; to tend and protect;  
花瓣	花瓣	huā bàn	petal; CL:片[pian4];  
花卉	花卉	huā huì	flowers and plants;  
花纹	花紋	huā wén	decorative design;  
花样	花樣	huā yàng	pattern; way of doing sth; trick; (sports) fancy-style (as figure skating etc);  
划算	劃算	huá suàn	to calculate; to weigh (pros and cons); to view as profitable; worthwhile; value for money; cost-effective;  
华丽	華麗	huá lì	gorgeous;  
华侨	華僑	Huá qiáo	overseas Chinese; (in a restricted sense) Chinese emigrant who still retains Chinese nationality; CL:個|个[ge4],位[wei4],名[ming2];  
华裔	華裔	Huá yì	ethnic Chinese; non-Chinese citizen of Chinese ancestry;  
哗变	嘩變	huá biàn	mutiny; rebellion;  
哗然	嘩然	huá rán, huá rán	variant of 嘩然|哗然[hua2 ran2];  
滑冰	滑冰	huá bīng	to skate; skating;  
滑稽	滑稽	huá jī	comical; funny; amusing; old pr. [gu3 ji1]; huaji, a form of comedy performance popular in Shanghai, Jiangsu and Zhejiang;  
滑梯	滑梯	huá tī	(children's) sliding board; a slide;  
滑雪	滑雪	huá xuě	to ski; skiing;  
化肥	化肥	huà féi	fertilizer;  
化身	化身	huà shēn	incarnation; reincarnation; embodiment (of abstract idea); personification;  
化纤	化縴	huà xiān	synthetic fiber;  
化险为夷	化險為夷	huà xiǎn wéi yí	to turn peril into safety (idiom); to avert disaster;  
化验	化驗	huà yàn	laboratory test; chemical experiment; assay;  
化妆	化妝	huà zhuāng	to put on makeup;  
划时代	劃時代	huà shí dài	epoch-marking;  
画册	畫冊	huà cè	picture album;  
画龙点睛	畫龍點睛	huà lóng diǎn jīng	to paint a dragon and dot in the eyes (idiom); fig. to add the vital finishing touch; the crucial point that brings the subject to life; a few words to clinch the point;  
画蛇添足	畫蛇添足	huà shé tiān zú	lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous; to overdo it;  
画展	畫展	huà zhǎn	art exhibition;  
话费	話費	huà fèi	call charge;  
话筒	話筒	huà tǒng	microphone; (telephone) receiver; handset;  
话语	話語	huà yǔ	words; speech; utterance; discourse;  
怀抱	懷抱	huái bào	to hug; to cherish; within the bosom (of the family); to embrace (also fig. an ideal, aspiration etc);  
怀旧	懷舊	huái jiù	fond remembrance of times past; nostalgia;  
怀里	懷裏	huái lǐ	embrace; bosom;  
怀孕	懷孕	huái yùn	pregnant; to have conceived; gestation; pregnancy;  
怀着	懷著	huáizháo	Be with
槐树	槐樹	huái shù	locust tree (Sophora japonica);  
坏事	壞事	huài shì	bad thing; misdeed; to ruin things;  
欢呼	歡呼	huān hū	to cheer for; to acclaim;  
欢聚	歡聚	huān jù	to get together socially; to celebrate; party; celebration;  
欢快	歡快	huān kuài	cheerful and lighthearted; lively;  
欢声笑语	歡聲笑語	huānshēngxiàoyǔ	Laughter
还款	還款	huán kuǎn	repayment; to pay back money;  
还原	還原	huán yuán	to restore to the original state; to reconstruct (an event); reduction (chemistry);  
环球	環球	huán qiú	around the world; worldwide;  
环绕	環繞	huán rào	to surround; to circle; to revolve around;  
缓	緩	huǎn	slow; unhurried; sluggish; gradual; not tense; relaxed; to postpone; to defer; to stall; to stave off; to revive; to recuperate;  
缓和	緩和	huǎn hé	to ease (tension); to alleviate; to moderate; to allay; to make more mild;  
缓缓	緩緩	huǎn huǎn	slowly; unhurriedly; little by little;  
缓慢	緩慢	huǎn màn	slow; slow-moving;  
幻觉	幻覺	huàn jué	illusion; hallucination; figment of one's imagination;  
幻影	幻影	huàn yǐng	phantom; mirage;  
换成	換成	huàn chéng	to exchange (sth) for (sth else); to replace with; to convert into;  
换取	換取	huàn qǔ	to obtain (sth) in exchange; to exchange (sth) for (sth else);  
换位	換位	huànwèi	transposition
换言之	換言之	huàn yán zhī	in other words;  
唤起	喚起	huàn qǐ	to waken (to action); to rouse (the masses); to evoke (attention, recollection etc);  
患	患	huàn	to suffer (from illness); to contract (a disease); misfortune; trouble; danger; worry;  
患病	患病	huàn bìng	to fall ill;  
患有	患有	huàn yoǔ	to contract (an illness); to be afflicted with; to suffer from;  
焕发	煥發	huàn fā	to shine; to glow; to irradiate; to flash;  
荒	荒	huāng	desolate; shortage; scarce; out of practice; absurd; uncultivated; to neglect;  
荒诞	荒誕	huāng dàn	beyond belief; incredible; preposterous; fantastic;  
荒凉	荒涼	huāng liáng	desolate;  
荒谬	荒謬	huāng miù	absurd; ridiculous;  
慌乱	慌亂	huāng luàn	frenetic; hurried;  
慌张	慌張	huāng zhāng	confused; flustered;  
皇宫	皇宮	huáng gōng	imperial palace;  
皇后	皇後	huáng hoù	empress; imperial consort;  
皇上	皇上	huáng shang	the emperor; Your majesty the emperor; His imperial majesty;  
皇室	皇室	huáng shì	royal family; imperial household; member of the royal family;  
黄昏	黃昏	huáng hūn	dusk; evening; nightfall;  
恍然大悟	恍然大悟	huǎng rán dà wù	to suddenly realize; to suddenly see the light;  
晃	晃	huǎng, huǎng, huàng	to dazzle; to flash past;  to sway; to shake; to wander about;  
谎话	謊話	huǎng huà	lie;  
谎言	謊言	huǎng yán	lie;  
晃	晃	huǎng, huǎng, huàng	to dazzle; to flash past;  to sway; to shake; to wander about;  
晃荡	晃蕩	huàng dang	to rock; to sway; to shake;  
灰	灰	huī	ash; dust; lime; gray; discouraged; dejected;  
灰尘	灰塵	huī chén	dust;  
灰心	灰心	huī xīn	to lose heart; to be discouraged;  
挥	揮	huī	to wave; to brandish; to command; to conduct; to scatter; to disperse;  
辉煌	輝煌	huī huáng	splendid; glorious;  
回归	迴歸	huí guī	to return to; to retreat; regression (statistics);  
回扣	迴扣	huí koù	brokerage; a commission paid to a middleman; euphemism for a bribe; a kickback;  
回馈	迴饋	huí kuì	to give back; feedback;  
回落	迴落	huí luò	to fall back; to return to low level after a rise (in water level, price etc);  
回升	迴升	huí shēng	to rise again after a fall; to pick up; rally (stock market etc);  
回首	迴首	huí shoǔ	to turn around; to look back; to recollect;  
回味	迴味	huí wèi	to reflect on; to ponder over; aftertaste;  
回想	迴想	huí xiǎng	to recall; to recollect; to think back;  
回忆录	迴憶錄	huí yì lù	memoir;  
悔恨	悔恨	huǐ hèn	remorse; repentance;  
毁坏	毀壞	huǐ huài	to damage; to devastate; to vandalize; damage; destruction;  
毁灭	毀滅	huǐ miè	to perish; to ruin; to destroy;  
汇合	匯閤	huì hé	confluence; to converge; to join; to fuse; fusion;  
汇集	匯集	huì jí, huì jí	to collect; to compile; to converge;  
汇聚	匯聚	huì jù	convergence; to come together;  
会场	會場	huì chǎng	meeting place; place where people gather; CL:個|个[ge4];  
会面	會麵	huì miàn	to meet with; meeting;  
会晤	會晤	huì wù	to meet; meeting; conference;  
会意	會意	huì yì	combined ideogram (one of the Six Methods 六書|六书[liu4 shu1] of forming Chinese characters); Chinese character that combines the meanings of existing elements; also known as joint ideogram or associative compounds; to comprehend without being told explicitly; to cotton on; knowing (smile, glance etc);  
会诊	會診	huì zhěn	consultation (medical); to meet for diagnosis; (by extension) consultation of different specialists;  
绘声绘色	繪聲繪色	huì shēng huì sè	vivid and colorful (idiom); true to life; lively and realistic;  
贿赂	賄賂	huì lù	to bribe; a bribe;  
昏迷	昏迷	hūn mí	to lose consciousness; to be in a coma; stupor; coma; stunned; disoriented;  
婚纱	婚紗	hūn shā	wedding dress; CL:身[shen1];  
婚姻	婚姻	hūn yīn	matrimony; wedding; marriage; CL:樁|桩[zhuang1],次[ci4];  
浑身	渾身	hún shēn	all over; from head to foot;  
魂	魂	hún, hún	soul; spirit; immortal soul, i.e. that can be detached from the body;  
混凝土	混凝土	hùn níng tǔ	concrete;  
混淆	混淆	hùn xiáo	to obscure; to confuse; to mix up; to blur; to mislead;  
混浊	混濁	hùn zhuó	turbid; muddy; dirty;  
豁	豁	huá, huō, huò	to play Chinese finger-guessing game;  opening; stake all; sacrifice; crack; slit;  clear; open; exempt (from); liberal-minded;  
豁出去	豁齣去	huō chu qu	to throw caution to the wind; to press one's luck; to go for broke;  
活该	活該	huó gāi	(coll.) serve sb right; deservedly; ought; should;  
活期	活期	huó qī	(banking) current (account); checking (account); demand (deposit etc);  
活儿	活兒	huo2 r5	work; (lots of) things to do;  
火暴	火暴	huǒ bào	variant of 火爆[huo3 bao4];  
火锅	火鍋	huǒ guō	hotpot;  
火候	火候	huǒ hoù	heat control; maturity; crucial moment;  
火花	火花	huǒ huā	spark; sparkle;  
火炬	火炬	huǒ jù	a torch; CL:把[ba3];  
火辣辣	火辣辣	huǒ là là	painful heat; scorching; painful heat; rude and forthright; provocative; hot; sexy;  
火热	火熱	huǒ rè	fiery; burning; fervent; ardent; passionate;  
火山	火山	huǒ shān	volcano;  
火速	火速	huǒ sù	at top speed; at a tremendous lick;  
火焰	火焰	huǒ yàn	blaze; flame;  
火药	火藥	huǒ yào	gunpowder;  
伙食	夥食	huǒ shí	food; meals;  
或多或少	或多或少	huò duō huò shǎo	more or less;  
货币	貨幣	huò bì	currency; monetary; money;  
货车	貨車	huò chē	truck; van; freight wagon;  
货物	貨物	huò wù	goods; commodity; merchandise; CL:宗[zong1];  
货运	貨運	huò yùn	freight transport; cargo; transported goods;  
获胜	獲勝	huò shèng	victorious; to win; to triumph;  
获悉	獲悉	huò xī	to learn of sth; to find out; to get news;  
祸害	禍害	huò hài	disaster; harm; scourge; bad person; to damage; to harm; to wreck;  
霍乱	霍亂	huò luàn	cholera;  
豁达	豁達	huò dá	optimistic; sanguine; generous; magnanimous; open-minded;  
几率	幾率	jī lǜ	probability; odds;  
讥笑	譏笑	jī xiào	to sneer;  
饥饿	飢餓	jī è	hunger; starvation; famine;  
机舱	機艙	jī cāng	cabin of a plane;  
机动	機動	jī dòng	locomotive; motorized; power-driven; adaptable; flexible (use, treatment, timing etc);  
机灵	機靈	jī ling	clever; quick-witted;  
机密	機密	jī mì	secret; classified (information);  
机智	機智	jī zhì	quick-witted; resourceful;  
肌肤	肌膚	jī fū	skin; flesh; fig. close physical relationship;  
积	積	jī	to amass; to accumulate; to store; measured quantity (such as area of volume); product (the result of multiplication); to integrate (math.); to solve (or integrate) an ordinary differential equation (math.); old; long-standing;  
积淀	積澱	jī diàn	deposits accumulated over long periods; fig. valuable experience, accumulated wisdom;  
积蓄	積蓄	jī xù	to save; to put aside; savings;  
基本功	基本功	jī běn gōng	basic skills; fundamentals;  
基层	基層	jī céng	basic level; grassroots unit; basement layer;  
基因	基因	jī yīn	gene (loanword);  
基于	基於	jī yú	because of; on the basis of; in view of; on account of;  
基准	基準	jī zhǔn	norm; standard; standard of reference; base; base point; base line; benchmark; reference point; reference frame; criterion; data;  
畸形	畸形	jī xíng	deformity; abnormality;  
激发	激發	jī fā	to arouse; to excite;  
激光	激光	jī guāng	laser;  
激化	激化	jīhuà	intensify
激活	激活	jī huó	to activate;  
激励	激勵	jī lì	to encourage; to urge; motivation; incentive;  
激起	激起	jī qǐ	to arouse; to evoke; to cause; to stir up;  
激素	激素	jī sù	hormone;  
及	及	jí	and; to reach; up to; in time for;  
及其	及其	jí qí	and; as well as;  
及早	及早	jí zǎo	at the earliest possible time; as soon as possible;  
吉普	吉普	Jí pǔ	Jeep (car brand);  
吉他	吉他	jí tā	guitar (loanword); CL:把[ba3];  
吉祥物	吉祥物	jí xiáng wù	mascot;  
级别	級彆	jí bié	(military) rank; level; grade;  
极度	極度	jí dù	extremely;  
极力	極力	jí lì	to make a supreme effort; at all costs;  
极少数	極少數	jí shǎo shù	extremely few; a small minority;  
极为	極為	jí wéi	extremely; exceedingly;  
极限	極限	jí xiàn	limit; extreme boundary;  
即	即	jí	namely; that is; i.e.; prompt; at once; at present; even if; prompted (by the occasion); to approach; to come into contact; to assume (office); to draw near;  
即便	即便	jí biàn	even if; even though; right away; immediately;  
即可	即可	jí kě	equivalent to 就可以; can then (do sth); can immediately (do sth); (do sth) and that will suffice;  
急剧	急劇	jí jù	rapid; sudden;  
急迫	急迫	jí pò	urgent; pressing; imperative;  
急性	急性	jí xìng	acute;  
急需	急需	jí xū	to urgently need; urgent need;  
急于	急於	jí yú	anxious; impatient;  
急诊	急診	jí zhěn	emergency call; emergency (medical) treatment;  
急转弯	急轉彎	jí zhuǎn wān	to make a sudden turn;  
棘手	棘手	jí shoǔ	thorny (problem); intractable;  
集会	集會	jí huì	to gather; assembly; meeting; CL:個|个[ge4],次[ci4];  
集结	集結	jí jié	to assemble; to concentrate; to mass; to build up; to marshal;  
集邮	集郵	jí yoú	stamp collecting; philately;  
集装箱	集裝箱	jí zhuāng xiāng	container (for shipping);  
集资	集資	jí zī	to raise money; to accumulate funds;  
嫉妒	嫉妒	jí dù	to be jealous; to envy; to hate;  
挤压	擠壓	jǐ yā	to squeeze; to press; to extrude;  
脊梁	脊梁	jǐ liang	backbone; spine;  
计	計	Jì, jì	surname Ji;  to calculate; to compute; to count; to regard as important; to plan; ruse; meter; gauge;  
计策	計策	jì cè	stratagem;  
计较	計較	jì jiào	to bother about; to haggle; to bicker; to argue; plan; stratagem;  
计时	計時	jì shí	to measure time; to time; to reckon by time;  
记号	記號	jì hao	notation; seal;  
记忆犹新	記憶猶新	jì yì yoú xīn	to remain fresh in one's memory (idiom);  
纪录片	紀錄片	jì lù piàn	newsreel; documentary (film or TV program); CL:部[bu4];  
纪念碑	紀念碑	jì niàn bēi	monument;  
纪念馆	紀念館	jì niàn guǎn	memorial hall; commemorative museum;  
纪念日	紀念日	jì niàn rì	day of commemoration; memorial day;  
纪实	紀實	jì shí	record of actual events; documentary (factual rather than fictional);  
技艺	技藝	jì yì	skill; art;  
忌	忌	jì	to be jealous of; fear; dread; scruple; to avoid or abstain from; to quit; to give up sth;  
忌讳	忌諱	jì huì	taboo; to avoid as taboo; to abstain from;  
忌口	忌口	jì koǔ	abstain from certain food (as when ill); avoid certain foods; be on a diet;  
剂	劑	jì	dose (medicine);  
迹象	跡象	jì xiàng	mark; indication; sign; indicator;  
继	繼	jì	to continue; to follow after; to go on with; to succeed; to inherit; then; afterwards;  
继而	繼而	jì ér	then; afterwards;  
继父	繼父	jì fù	stepfather;  
继母	繼母	jì mǔ	stepmother;  
祭	祭	Zhài, jì	surname Zhai;  to offer sacrifice; festive occasion;  
祭奠	祭奠	jì diàn	to offer sacrifices (to one's ancestors); to hold or attend a memorial service;  
祭祀	祭祀	jì sì	to offer sacrifices to the gods or ancestors;  
寄托	寄托	jì tuō	to entrust (to sb); to place (one's hope, energy etc) in; a thing in which you invest (your hope, energy etc);  
寂静	寂靜	jì jìng	quiet;  
寂寞	寂寞	jì mò	lonely; lonesome; (of a place) quiet; silent;  
加紧	加緊	jiā jǐn	to intensify; to speed up; to step up;  
加剧	加劇	jiā jù	to intensify; to sharpen; to accelerate; to aggravate; to exacerbate; to embitter;  
加深	加深	jiā shēn	to deepen;  
加重	加重	jiā zhòng	to make more serious;  
佳节	佳節	jiā jié	festive day; holiday;  
家伙	傢夥	jiā huo, jiā huo	household dish, implement or furniture; domestic animal; (coll.) guy; chap; weapon;  
家家户户	傢傢戶戶	jiā jiā hù hù	each and every family (idiom); every household;  
家教	傢教	jiā jiào	family education; upbringing; to bring sb up; private tutor;  
家境	傢境	jiā jìng	family financial situation; family circumstances;  
家禽	傢禽	jiā qín	poultry; domestic fowl;  
家用	傢用	jiā yòng	home-use; domestic; family expenses; housekeeping money;  
家喻户晓	傢喻戶曉	jiā yù hù xiǎo	understood by everyone (idiom); well known; a household name;  
家政	傢政	jiā zhèng	housekeeping;  
家族	傢族	jiā zú	family; clan;  
嘉年华	嘉年華	jiā nián huá	carnival (loanword);  
假定	假定	jiǎ dìng	to assume; to suppose; supposed; so-called; assumption; hypothesis;  
假冒	假冒	jiǎ mào	to impersonate; to pose as (someone else); to counterfeit; to palm off (a fake as a genuine);  
假设	假設	jiǎ shè	to suppose; to presume; to assume; supposing that ...; if; hypothesis; conjecture;  
假使	假使	jiǎ shǐ	if; in case; suppose; given ...;  
假装	假裝	jiǎ zhuāng	to feign; to pretend;  
价位	價位	jià wèi	price level;  
价值观	價值觀	jià zhí guān	system of values;  
驾	駕	Jià, jià	surname Jia;  to harness; to draw (a cart etc); to drive; to pilot; to sail; to ride; your good self; prefixed word denoting respect (polite 敬辞);  
驾车	駕車	jià chē	to drive a vehicle;  
驾驭	駕馭	jià yù	to urge on (of horse); to drive; to steer; to handle; to manage; to master; to dominate;  
架势	架勢	jià shi	attitude; position (on an issue etc);  
架子	架子	jià zi	shelf; frame; stand; framework; airs; arrogance;  
嫁	嫁	jià	(of a woman) to marry; to marry off a daughter; to shift (blame etc);  
嫁妆	嫁妝	jià zhuang	dowry;  
尖端	尖端	jiān duān	sharp pointed end; the tip; the cusp; tip-top; most advanced and sophisticated; highest peak; the best;  
尖锐	尖銳	jiān ruì	sharp; intense; penetrating; pointed; acute (illness);  
奸诈	奸詐	jiān zhà	treachery; devious; a rogue;  
歼灭	殲滅	jiān miè	to wipe out; to crush; to annihilate;  
坚持不懈	堅持不懈	jiān chí bù xiè	to persevere unremittingly (idiom); to keep going until the end;  
坚韧	堅韌	jiān rèn	tough and durable; tenacious;  
坚实	堅實	jiān shí	firm and substantial; solid;  
坚守	堅守	jiān shoǔ	to hold fast to; to stick to;  
坚信	堅信	jiān xìn	to believe firmly; without any doubt;  
坚硬	堅硬	jiān yìng	hard; solid;  
肩膀	肩膀	jiān bǎng	shoulder;  
肩负	肩負	jiān fù	to shoulder (a burden); to bear; to suffer (a disadvantage);  
艰巨	艱巨	jiān jù	arduous; terrible (task); very difficult; formidable;  
艰苦奋斗	艱苦奮鬥	jiān kǔ fèn doù	to struggle arduously;  
艰险	艱險	jiān xiǎn	difficult and dangerous; hardships and perils;  
艰辛	艱辛	jiān xīn	hardships; arduous; difficult;  
监察	監察	jiān chá	to supervise; to control;  
监管	監管	jiān guǎn	to oversee; to take charge of; to supervise; to administer; supervisory; supervision;  
监护	監護	jiān hù	to act as a guardian;  
监控	監控	jiān kòng	to monitor;  
监视	監視	jiān shì	to monitor; to keep a close watch over; surveillance;  
监狱	監獄	jiān yù	prison;  
兼	兼	jiān	double; twice; simultaneous; holding two or more (official) posts at the same time;  
兼顾	兼顧	jiān gù	to attend simultaneously to two or more things; to balance (career and family, family and education etc);  
兼任	兼任	jiān rèn	to hold several jobs at once; concurrent post; working part-time;  
兼容	兼容	jiān róng	compatible;  
兼职	兼職	jiān zhí	to hold concurrent posts; concurrent job; moonlighting;  
煎	煎	jiān	to pan fry; to sauté;  
拣	揀	jiǎn	to choose; to pick; to sort out; to pick up;  
检察	檢察	jiǎn chá	to inspect; (law) to prosecute; to investigate;  
检讨	檢討	jiǎn tǎo	to examine or inspect; self-criticism; review;  
减免	減免	jiǎn miǎn	to reduce or waive (taxes, punishment, rent, tuition etc);  
减弱	減弱	jiǎn ruò	to weaken; to fall off;  
减速	減速	jiǎn sù	to reduce speed; to slow down; to take it easy;  
减压	減壓	jiǎn yā	to reduce pressure; to relax;  
简称	簡稱	jiǎn chēng	to be abbreviated to; abbreviation; short form;  
