挨著,挨着,āi zhe,"near"
會長,会长,huìzhǎng,president (of club/society/etc.)
繪畫,绘画,huìhuà,painting
昬,昏,hūnhūn,"old variant of 昏[hun1]"
混,混,hùn,fool/play around together
混合,混合,hùnhé,"associate, immingle, muddle, incorporate, mixed, meld, confect, amalgamate, blend in, fuse, interblend, hybrid, admix, mingle, wuzzle, mix, shuffle, mercurify, engraft, concoct, interlace, interweave, immix, go, interfuse, mix_up, sophisticate, marry, combine, mix in, conflate, merge, intermix, jumble, commingle, decompound, intermingle, knead, coalesce, interflow, compound, commix, blend,"
混亂,混乱,hǔnluàn,"confused, chaotic"
活躍,活跃,huóyuè,"animate, kick around, active, invigoration, knock_about, cavort, enliven, vitalize, knock about, energize, flourish, invigorate, brighten, kick about, vitalization, vivify, move"
火箭,火箭,huǒ jiàn,"rocket, CL:枚[mei2]"
機動車,机动车,jī dòng chē,"motor vehicle"
機關,机关,jīguān,"mechanism, stratagem, scheme, intrigue"
機械,机械,jīxiè,"mechanics, enginery, rig, machinery, mechanism, machine, appliance, mechanical"
基督教,基督教,jīdūjiào,"Christian religion, Christianity, Christendom, Christianism, Christian"
激情,激情,jī qíng,"passion, fervor, enthusiasm, strong emotion"
吉利,吉利,Jí lìjí lì,"Geely, Chinese car make, auspicious, lucky, propitious"
吉祥,吉祥,jí xiáng,"lucky, auspicious, propitious"
極端,极端,jíduān,"extreme, exceeding"
急救,急救,jíjiù,"first aid, emergency treatment"
疾病,疾病,jíbìng,"trouble, attack, evil, ailment, affection, misery, malfunction, complaint, infirmity, disease, ill, illness, malady, decline, sickness, condition"
集,集,jí,"gather, collect"
給予,给予,gěiyǔ,"bring, feed, offer, afford, hold_out, impart, adduce, lend, grant, contribute, given, concede, give to, give, bestow, add, put, render, deal, ladle, administer, assign, give_in, allow"
加盟,加盟,jiāméng,align
家電,家电,jiādiàn,"electrical household appliance, electrical home appliance, household electrical appliances"
家園,家园,jiāyuán,"home, homestead, native heath, homestall, homeland"
嘉賓,嘉宾,jiā bīn,"esteemed guest, honored guest, guest (on a show)"
假日,假日,jià rì,"holiday, non-working day"
尖,尖,jiān,"sharp-pointed, piercing, cuspidal, shrill, sharp"
監測,监测,jiāncè,"monitor, supervise"
監督,监督,jiāndū,"supervise, superintend, control"
撿,捡,jiǎn,"to pick up, to collect, to gather"
簡介,简介,jiǎnjiè,"brief introduction, synopsis"
劍,剑,jiàn,"sword, skewer, fox, sabre, steel, snickersnee, brand, bilbo, saber, blade, glaive, falchion"
鑑定,鉴定,jiàn dìng,"to appraise, to identify, to evaluate"
箭,箭,jiàn,"arrow, CL:支[zhi1]"
將軍,将军,jiāngjūn,"problem, mate, general, high-rank officer, marshal, full general, shogun, aga, warlord, tycoon, check"
講課,讲课,jiǎng kè,"teach, lecture"
醬,酱,jiàng,"thick paste of fermented soybean, marinated in soy paste, paste, jam"
醬油,酱油,jiàng yoú,"soy sauce"
驕傲,骄傲,jiāoào,"be proud, take pride in"
焦點,焦点,jiāodiǎn,"focal point, point at issue, focal, focus, focal_point, central issue"
腳印,脚印,jiǎo yìn,"footprint"
覺,觉,jué,"sense, feel, wake (up), become aware/awakened, discover"
教堂,教堂,jiàotáng,"tabernacle, kirk, house_of_God, church, temple, fane, cathedral, church building, bema"
教育部,教育部,jiàoyūbù,"Education, Ministry of Education, Department of Education, Education Department"
接收,接收,jiēshōu,"receive, take over (property/etc.)"
揭,揭,jiē,"to take the lid off, to expose, to unmask"
街頭,街头,jiētóu,"street corner, street_corner, street (corner), street"
節,节,jié,m.[event]
節假日,节假日,jié jià rì,"public holiday"
節能,节能,jié néng,"to save energy, energy-saving"
節奏,节奏,jiézòu,"pacing, cadency, musical rhythm, pulse, speech rhythm, rhythm, regular recurrence, pulsation, beat, pace, movement, tune, cadence, clip, tempo"
傑出,杰出,jiéchū,"excel at, exceed, shine at, outstanding, stand_out"
截止,截止,jiézhǐ,"end, cut off, expire, close"
截至,截至,jiézhì,"by (specified time), up to"
解,解,jiě,"separate, divide, cut apart, untie, undo, explain, interpret, dissolve"
解說,解说,jiěshuō,"explain orally, appease"
界,界,jiè,"boundary, scope, extent, circles, group, kingdom (taxonomy)"
借鑒,借鉴,jiè jiàn,"to use other people's experience, to borrow from a source, to use as reference"
金額,金额,jīné,"amount of money, sum_of_money, sum, money, penny, amount/sum of money, sum of money, amount"
金錢,金钱,jīnqián,"pewter, splosh, green, Oscar, siller, gelt, tin, coin, roll, dollar sign, funds, dollar mark, shekels, wealth, lucre, pecuniary, dinero, bankroll, dough, scratch, bread, means, moolah, shekel, shiner, cabbage, kale, spondulicks, pelf, oof, money, loot, wampum, brass, dollar"
金融,金融,jīnróng,"finance, banking"
盡,尽,jìn,"use up, exhaust, try one's best, put to best use, end"
進攻,进攻,jìngōng,"attack, assault"
近日,近日,jìn rì,"in the past few days, recently, in the last few days"
近視,近视,jìn shì,"shortsighted, nearsighted, myopia"
驚人,惊人,jīngrén,"alarming, whacking, astounding, spectacular, amazing, astonishing"
驚喜,惊喜,jīng xǐ,"nice surprise, to be pleasantly surprised"
精,精,jīng,"essence, extract, vitality, energy, semen, sperm, mythical goblin spirit, highly perfected, elite, the pick of sth, proficient (refined ability), extremely (fine), selected rice (archaic)"
精美,精美,jīngměi,"exquisite, elegant"
精品,精品,jīngpǐn,"plum, showpiece, fine work, quality goods, top quality article, article of fine quality"
井,井,jǐng,"Jing, well, Surname, something in the shape of a well"
景,景,jǐng,"view, Jing, shot, routine, bit, act, number, situation, scene, scenery, Surname, turn, condition"
景點,景点,jǐng diǎn,"scenic spot, place of interest (tourism)"
淨,净,jìngjìng,"clean, completely, only, net (income, exports etc), (Chinese opera) painted face male role"
糾紛,纠纷,jiūfēn,"entanglement, embarrassment, cobweb, skein, embroilment, dissension, complication, issue, conflict, confusion, dispute, shindig, knottiness, dustup, aggro, tangle, betanglement, maze, imbroglio, strife"
糾正,纠正,jiūzhèng,"correct, redress"
酒水,酒水,jiǔ shuǐ,"beverage, a drink"
救命,救命,jiù mìng,"to save sb's life, (interj.) Help!, Save me!"
救援,救援,jiù yuán,"to save, to support, to help, to assist"
救助,救助,jiù zhù,"to help sb in trouble, aid, assistance"
就是說,就是说,jiùshìshuō,"that is to say, in other words, namely"
就算,就算,jiùsuàn,"conj.: even if, granted that"
局,局,jú,m.[event]
劇,剧,jù,"theatrical work (play, opera, TV series etc), dramatic (change, increase etc), acute, severe"
據,据,jù,"according to, on the grounds of"
捐,捐,juān,"donation, subscription, relinquish, abandonment, subscribe, contribution, donate, abandon, contribute"
捐款,捐款,juān kuǎn,"to donate money, to contribute funds, donation, contribution (of money)"
捐贈,捐赠,juānzèng,"contribute (as gift), donate, present"
捐助,捐助,juān zhù,"to donate, to offer (aid), contribution, donation"
決策,决策,juécè,policy decision
覺悟,觉悟,jué wù,"to come to understand, to realize, consciousness, awareness, Buddhist enlightenment (Sanskrit: cittotpāda)"
絕,绝,jué,"extremely, most, absolutely, in the least, by any means, on any account"
絕大多數,绝大多数,juédàduōshù,"det.: most of, majority"
軍隊,军队,jūnduì,"military personnel, troops, armed forces, armament, military, soldiery, force, Sabaoth, array, army troops, military unit, host, military force, cohort, battalion, legion, troop, regular army, army, armed_forces, rank"
軍艦,军舰,jūn jiàn,"warship, military naval vessel, CL:艘[sou1]"
軍事,军事,jūnshì,"war, martial, military affairs, legion, military"
開創,开创,kāichuàng,"start, initiate"
開關,开关,kāi guān,"power switch, to open a gate"
開設,开设,kāishè,"open (shop/etc.), offer (course/etc.)"
開通,开通,kāi tong,"to open up (windows for air, ideas for discussion, transport routes etc), open-minded"
開頭,开头,kāi toú,"beginning, to start"
開夜車,开夜车,kāi yè chē,"to burn the midnight oil, to work late into the night"
看,看,kàn,"see, look at, watch, read, look upon, regard, look after, call on, visit"
看管,看管,kān guǎn,"to look after"
看得見,看得见,kàn dé jiàn,"can see, visible"
看得起,看得起,kàn de qǐ,"to show respect for, to think highly of"
看好,看好,kànhǎo,believe something/someone will be worthy in the future
看作,看作,kàn zuò,"to look upon as, to regard as"
康復,康复,kāng fù,"to recuperate, to recover (health), to convalesce"
抗議,抗议,kàngyì,protest
考場,考场,kǎo chǎng,"exam room"
考題,考题,kǎo tí,"exam question"
科研,科研,kē yán,"(scientific) research"
客車,客车,kè chē,"coach, bus, passenger train"
肯,肯,kěn,be willing/ready to
空軍,空军,kōngjūn,"airforce, air_force, Luftwaffe, air force, squadron"
口試,口试,koǔ shì,"oral examination, oral test"
釦,扣,koùkoù,"button"
酷,酷,kù,"ruthless, strong (e.g. of wine), (loanword) cool, hip"
跨,跨,kuà,"lead, go, bestride, straddle, go beyond, run, pass, extend, stride, ride, cut across, step"
快車,快车,kuài chē,"express (train, bus etc)"
寬闊,宽阔,kuān kuò,"expansive, wide, width, thickness"
鑛,矿,kuàngkuàng,"variant of 礦|矿[kuang4]"
闊,阔,kuòkuò,"rich, wide, broad"
啦,啦,lā,particle: used when informing sb. of st.; indicating excitement/doubt/comfort/etc.
來往,来往,láiwǎng,"associate, contact"
頼,赖,Làilàilài,"surname Lai, variant of 賴|赖[lai4]"
欄目,栏目,lán mù,"regular column or segment (in a publication or broadcast program), program (TV or radio)"
藍領,蓝领,lán lǐng,"blue collar, common laborer"
藍天,蓝天,lántiān,blue sky
懶,懒,lǎnlǎn,"lazy"
牢,牢,láo,"firm, sturdy, fold (for animals), sacrifice, prison"
老鄉,老乡,lǎo xiāng,"fellow townsman, fellow villager, sb from the same hometown"
冷氣,冷气,lěngqì,air conditioning
冷水,冷水,lěng shuǐ,"cold water, unboiled water, fig. not yet ready (of plans)"
禮堂,礼堂,lǐ táng,"assembly hall, auditorium, CL:座[zuo4],處|处[chu4]"
理,理,lǐ,"texture, grain (in wood/etc.), reason, logic, truth, natural science (esp. physics), law, principle, doctrine, theory"
理財,理财,lǐ cái,"financial management, finance"
理智,理智,lǐ zhì,"reason, intellect, rationality, rational"
力,力,lì,"power, strength, ability, force, physical strength"
利,利,lì,"profit, interest, advantage, benefit"
聯盟,联盟,liánméng,"conference, alliance, coalition, hookup, ally, Verein, confederacy, federacy, circuit, combination, Bund, confederation, federation, union, bloc, league, axis"
聯賽,联赛,liánsài,"loop, league matches, league match"
聯手,联手,lián shoǔ,"lit. to join hands, to act together"
涼鞋,凉鞋,liáng xié,"sandal"
兩側,两侧,liǎng cè,"two sides, both sides"
兩手,两手,liǎngshǒu,"Two hands"
聊,聊,liáo,"endure, rely/depend on, rely on, depend on, chat"
聊天兒,聊天儿,liao2 tian1 r5,"erhua variant of 聊天[liao2 tian1]"
料,料,liào,"material, stuff, grain, feed, to expect, to anticipate, to guess"
裂,裂,liè,"to split, to crack, to break open, to rend"
靈活,灵活,línghuó,"nimble, agile, flexible, elastic"
領取,领取,lǐngqǔ,"draw, receive"
領袖,领袖,lǐngxiù,"foreman, leader, head, guru, cob, doyen, cacique, Duce, duce, gaffer, chief, boss, soul, sovereign, honcho"
另,另,lìng,det.: another
留言,留言,liú yán,"to leave a message, to leave one's comments, message"
流感,流感,liú gǎn,"flu, influenza"
樓道,楼道,loú dào,"corridor, passageway (in storied building)"
樓房,楼房,loú fáng,"a building of two or more stories, CL:棟|栋[dong4],幢[zhuang4],座[zuo4]"
露,露,lù,"betray, betrayal, appear, reveal, show"
陸軍,陆军,lù jūn,"army"
錄像,录像,lù xiàng,"to videotape, to videorecord, video recording, CL:盤|盘[pan2]"
錄音機,录音机,lù yīn jī,"(tape) recording machine, tape recorder, CL:臺|台[tai2]"
路過,路过,lù guò,"to pass by or through"
旅店,旅店,lǚ diàn,"inn, small hotel"
綠化,绿化,lùhuà,"make (a place) green, afforest"
馬車,马车,mǎ chē,"cart, chariot, carriage, buggy"
嘛,嘛,má,particle: used to persuade someone to do something; used to emphasize the obvious
埋,埋,mái,"hide away, burial, bury, inter"
饅頭,馒头,mán tou,"steamed roll, steamed bun, steamed bread, CL:個|个[ge4]"
慢車,慢车,màn chē,"local bus or train, slow train with many stops"
盲人,盲人,máng rén,"blind person"
梅花,梅花,méihuā,"plum blossom, clubs (on playing cards), wintersweet"
美容,美容,měiróng,improve looks
蒙,蒙,méngmēngméngMéngMěngmēngméng,"to cover, ignorant, to suffer (misfortune), to receive (a favor), to cheat, (knocked) unconscious, dazed, stunned, surname Meng, Mongol ethnic group, abbr. for Mongolia 蒙古國|蒙古国[Meng3 gu3 guo2], Taiwan pr. [Meng2]"
猛,猛,měng,"suddenly, abruptly"
棉,棉,mián,"generic term for cotton or kapok, cotton, padded or quilted with cotton"
免得,免得,miǎnde5,"conj.: so as not to, so as to avoid"
面對面,面对面,miàn duì miàn,"face to face"
面嚮,面向,miàn xiàng,"to face, to turn towards, to incline to, geared towards, catering for, -oriented, facial feature, appearance, aspect, facet"
妙,妙,miào,"wonderful, excellent, fine, ingenious, clever, subtle"
滅,灭,miè,"destruction, go out, put out, wipe out, extermination, put/go out, put, exterminate, turn off, destroy, extinguish"
民歌,民歌,mín gē,"folk song, CL:支[zhi1],首[shou3]"
民工,民工,mín gōng,"migrant worker, temporary worker enlisted on a public project"
民警,民警,mín jǐng,"civil police, PRC police, abbr. for 人民警察"
民意,民意,mínyì,"public_opinion, popular will"
民主,民主,mínzhǔ,"democracy, democratic rights"
名額,名额,míngé,"number of people allowed, quota of people"
名勝,名胜,míng shèng,"a place famous for its scenery or historical relics, scenic spot, CL:處|处[chu4]"
名義,名义,míngyì,"title, name"
名譽,名誉,míngyū,"honour, laurel, celebrity, worship, character, odor, credit, repute, fame, name, rep, reputation, honorary, distinction, regard, honor"
明日,明日,míng rì,"tomorrow"
命,命,mìng,"life, lot, fate, destiny"
膜,膜,mó,"membrane, film"
磨,磨,mó,"grind, mill, turn round/about"
沒收,没收,mò shoū,"to confiscate, to seize"
墨水,墨水,mò shuǐ,"ink, CL:瓶[ping2]"
母,母,mǔ,"mother, elderly female relative, origin, source, (of animals) female"
母雞,母鸡,mǔ jī,"hen"
母女,母女,mǔ nǚ,"mother-daughter"
母子,母子,mǔ zǐ,"mother and child, parent and subsidiary (companies), principal and interest"
墓,墓,mù,"grave, tomb, mausoleum"
拿走,拿走,ná zoǔ,"to take away"
奶粉,奶粉,nǎi fěn,"powdered milk"
奶牛,奶牛,nǎi niú,"milk cow, dairy cow"
難忘,难忘,nánwàng,"unforgettable, memorable"
內地,内地,Nèi dìnèi dì,"mainland China (PRC excluding Hong Kong and Macau, but including islands such as Hainan), Japan (used in Taiwan during Japanese colonization), inland, interior, hinterland"
內外,内外,nèiwài,"inside and outside, domestic and foreign"
內衣,内衣,nèi yī,"undergarment, underwear, CL:件[jian4]"
能否,能否,néngfǒu,can or not
泥,泥,nínì,"mud, clay, paste, pulp, restrained"
扭,扭,niǔ,"to turn, to twist, to wring, to sprain, to swing one's hips"
排行榜,排行榜,páihángbǎng,seniority among siblings
派出,派出,pàichū,"send, dispatch"
判,判,pàn,"to judge, to sentence, to discriminate, to discern, obviously (different)"
盼望,盼望,pànwàng,"hope/long for, look forward to"
泡,泡,pào,"steep, soak, immerse"
砲,炮,bāopáopàopào,"to sauté, to fry, to dry by heating, to prepare herbal medicine by roasting or parching (in a pan), variant of 炮[pao4]"
陪同,陪同,péitóng,accompany
配置,配置,pèizhì,"dispose (troops/etc.), deploy"
皮球,皮球,pí qiú,"ball (made of rubber, leather etc)"
偏,偏,piān,"stubbornly, on the contrary"
貧困,贫困,pín kùn,"impoverished, poverty"
品牌,品牌,pǐnpái,"brand, make, trademark"
聘請,聘请,pìnqǐng,"engage, invite"
平凡,平凡,píngfán,"ordinary, common"
平方米,平方米,píng fāng mǐ,"square meter"
平衡,平衡,pínghéng,balance
平台,平台,píngtái,"patio, terrace, hathpace, platform"
評,评,píng,"to discuss, to comment, to criticize, to judge, to choose (by public appraisal)"
評選,评选,píng xuǎn,"to select on the basis of a vote or consensus"
屏幕,屏幕,píng mù,"screen (TV, computer or movie)"
坡,坡,pō,"slope, CL:個|个[ge4], sloping, slanted"
撲,扑,pū,"pat, attack, throw oneself at, rush at, tap, beat, dab, bend over, pounce on, lie_down, throw oneself on, flap, flutter, fling self at"
鋪,铺,pū,"pave, spread, overlay, extend, unfold, lay, surface, set in order, bespread"
欺負,欺负,qīfù,"browbeat, take advantage of, pick on"
奇妙,奇妙,qímiào,"wonderful, marvelous"
企圖,企图,qìtú,"attempt, intend"
起點,起点,qǐdiǎn,starting point
起訴,起诉,qǐ sù,"to sue, to bring a lawsuit against, to prosecute"
氣氛,气氛,qìfēn,"mood, air, look, feeling, aura, aurae, spirit, smell, genius loci, feel, flavor, atmosphere, tone, karma, ambiance, ambience"
恰當,恰当,qiàdàng,"appropriate, proper, suitable, fitting"
恰好,恰好,qià hǎo,"as it turns out, by lucky coincidence, (of number, time, size etc) just right"
恰恰,恰恰,qià qià,"exactly, just, precisely"
牽,牵,qiān,"lead along (by holding hand/halter/etc.), pull, involve, implicate"
鉛筆,铅笔,qiān bǐ,"(lead) pencil, CL:支[zhi1],枝[zhi1],桿|杆[gan3]"
謙虛,谦虚,qiānxū,make modest remarks
前方,前方,qián fāng,"ahead, the front"
前來,前来,qiánlái,come
潛力,潜力,qiánlì,"bottom, possibility, ability, potency, capability, capableness, potentiality, potential, potential(ity), latent capacity"
強盜,强盗,qiángdào,"hijacker, ravener, robber, rifler, freebooter, housebreaker, mugger, stickup, highwayman, brigand, ripoff, robbery, bandit, dacoit"
強化,强化,qiánghuà,"strengthen, intensify, consolidate"
強勢,强势,qiángshì,powerful influence
強壯,强壮,qiáng zhuàng,"strong, sturdy, robust"
橋梁,桥梁,qiáo liáng,"bridge, fig. connection between two areas"
巧妙,巧妙,qiǎomiào,"felicitous, skillful, ingenious, clever, shrewd"
茄子,茄子,qié zi,"eggplant (Solanum melongena L.), aubergine, brinjal, Guinea squash, phonetic 'cheese' (when being photographed), equivalent of 'say cheese'"
切實,切实,qiè shí,"feasible, realistic, practical, earnestly, conscientiously"
侵犯,侵犯,qīnfàn,"violate, infringe on (sb.'s rights)"
親屬,亲属,qīn shǔ,"kin, kindred, relatives"
親眼,亲眼,qīnyǎn,"with one's own eyes, personally"
傾向,倾向,qīngxiàng,"tendency, trend, inclination"
清,清,qīng,"pure, clean, fresh, cool, lonely, poor"
清潔,清洁,qīngjié,"clean, sanitary"
清潔工,清洁工,qīng jié gōng,"cleaner, janitor, garbage collector"
清明節,清明节,Qīng míng jié,"Qingming or Pure Brightness Festival or Tomb Sweeping Day, celebration for the dead (in early April)"
清洗,清洗,qīng xǐ,"to wash, to clean, to purge"
情緒,情绪,qíngxù,"form, pulse, humor, depression, temper, feeling, spirits, monkey, emotion, sentiment, humour, soulfulness, mood, heartbeat, heartstrings, sulks, chord, vein, feelings, emotional state, spirit, frame_of_mind, sentiments, moodiness, emotions, steam, tune, soul"
求職,求职,qiúzhí,seek for job
球拍,球拍,qiú pāi,"racket"
球星,球星,qiú xīng,"sports star (ball sport)"
球員,球员,qiúyuán,"ballplayer, player, ball team member"
區分,区分,qūfēn,"section, demarcate, compart, sectionalize, zone, screen, compartmentalize, individuate, differentiation, distinguish, mark off, secern, district, segment, separate, mark, sieve, differentiate, mark out, classify, divide, ramify, screen out, set apart, sort"
渠道,渠道,qú dào,"irrigation ditch, (fig.) channel, means"
取款,取款,qǔ kuǎn,"to withdraw money from a bank"
取款機,取款机,qǔ kuǎn jī,"ATM"
去掉,去掉,qù diào,"to get rid of, to exclude, to eliminate, to remove, to delete, to strip out, to extract"
權,权,Quánquán,"surname Quan, authority, power, right, (literary) to weigh, expedient, temporary"
權力,权力,quánlì,"influence, rod, authoritativeness, clutches, whip_hand, dominance, say-so, reins, force, emirate, might, pretension, station, commission, grasp, leverage, danger, authority, place, power, arm, disposal, puissance"
全力,全力,quánlì,"all one's strength, wholehearted dedication"
全新,全新,quán xīn,"all new, completely new"
劵,券,quànquàn,"variant of 券[quan4]"
缺陷,缺陷,quēxiàn,"gap, deficiency, trouble, flaw, blemishment, blemish, shortage, limitation, incapacity, defect, shortcoming, deformity, defacement, drawback, disfigurement, disadvantage"
卻是,却是,què shì,"nevertheless, actually, the fact is ..."
讓座,让座,ràng zuò,"to give up one's seat for sb"
熱點,热点,rè diǎn,"hot spot, point of special interest"
熱水,热水,rè shuǐ,"hot water"
熱水器,热水器,rè shuǐ qì,"water heater"
熱線,热线,rè xiàn,"hotline (communications link)"
人權,人权,rénquán,human rights
認同,认同,rèntóng,"identify, have meeting of the minds"
日夜,日夜,rì yè,"day and night, around the clock"
日語,日语,Rì yǔ,"Japanese language"
融合,融合,rónghé,"mix together, fuse, stick together"
融入,融入,róngrù,"melt, thaw, blend, merge"
如,如,rú,"according to, in accordance with, such as, as if, like, for example"
如一,如一,rúyī,"As one"
乳製品,乳制品,rǔ zhì pǐn,"dairy products"
入,入,rù,"agree with, set (of sun), set, take in, join, receive, be admitted into, become a member of, enter, descend, infiltrate, conform with, conform to, interlard"
入學,入学,rùxué,"enter a school, enrol, college, enter school, enter, start school, matriculate, enter college"
若,若,ruò,"conj.: if, as if"
塞,塞,sè,"fill in, stuff in, stuff, fill, squeeze in, bung, spile, squeeze, line, stick, fill/stuff in"
賽,赛,sài,"to compete, competition, match, to surpass, better than, superior to, to excel"
賽場,赛场,sài chǎng,"racetrack, field (for athletics competition)"
三明治,三明治,sān míng zhì,"sandwich (loanword), CL:個|个[ge4]"
喪失,丧失,sàngshī,"cost, forfeiture, forfeit, give_away, lapse, loss, bereaved, lose, jump"
山峰,山峰,shān fēng,"(mountain) peak"
山谷,山谷,shāngǔ,mountain valley
山坡,山坡,shānpō,"hillside, mountain slope"
傷口,伤口,shāngkǒu,"wound, cut"
傷亡,伤亡,shāng wáng,"casualties, injuries and deaths"
傷員,伤员,shāng yuán,"wounded person"
商城,商城,Shāng chéngshāng chéng,"see 商城縣|商城县[Shang1 cheng2 xian4], shopping center, department store"
上當,上当,shàngdàng,"be duped, be taken in, get_stuck, be fooled, be tricked"
上帝,上帝,shàngdì,"Creator, god, Yahveh, Almighty, almighty, Godhead, Jehovah, Being, Supreme_Being, God Almighty, Maker, Allah, deity, omnipotent, king, abba, Omniscience, omniscient, God, creator, Providence, Omnipotence, Deus, providence, Divine, lording, Lord, lord, maker, Supreme Being, judge, Dominus, Heaven, All-father, Adonai, Father-God, divinity, Father"
上市,上市,shàngshì,go/appear on market
上台,上台,shàngtái,enter
上演,上演,shàngyǎn,"produce, bring on, put on stage, play, stage, mount, perform, bring out, performance"
勺,勺,sháo,"spoon, ladle, CL:把[ba3], abbr. for 公勺[gong1 shao2], centiliter (unit of volume)"
少兒,少儿,shào ér,"child"
舌頭,舌头,shétou5,"lingua, clack, tongue, clapper, ability to talk, glossa, enemy soldier captured to extract inform, enemy soldier captured to extract information, an enemy soldier captured for the purpose of extra"
設計師,设计师,shèjìshī,"architect, designer, stylist"
涉及,涉及,shèjí,"come to, pertain, involvement, implicate, entail, relate, cover, deal, concern, bear on, run_on, involve, touch on, refer, touch upon, deal with, touch, come_to, relate to"
深化,深化,shēn huà,"to deepen, to intensify"
深深,深深,shēn shēn,"deep, profound"
審查,审查,shěnchá,"examine, investigate"
升級,升级,shēngjí,"upgrade, go up (in grade/etc.), escalate"
升學,升学,shēngxué,enter higher school
升值,升值,shēngzhí,"revalue, appreciate"
生活費,生活费,shēng huó fèi,"cost of living, living expenses, alimony"
省錢,省钱,shěng qián,"to save money"
聖誕節,圣诞节,Shèng dàn jié,"Christmas time, Christmas season, Christmas"
盛行,盛行,shèngxíng,"be current, be in vogue"
師父,师父,shīfù,"guru, address for nun/etc., teacher, tutor, address for monk, professional, master, nun, a polite form of address to a monk or nun, address for monk/nun/etc., etc."
師生,师生,shīshēng,teacher and student
時而,时而,shí ér,"occasionally, from time to time"
時節,时节,shí jié,"season, time"
時期,时期,shíqí,"epoch, season, date, period_of_time, phase, day, occasion, estate, period, length, period (of time), phase angle, stage, conjuncture, chapter, times, era, leg, guardianship"
時時,时时,shíshí,"always, constantly, often"
時裝,时装,shí zhuāng,"fashion, fashionable clothes"
識,识,shì,"know, recognize"
識字,识字,shí zì,"to learn to read"
實踐,实践,shíjiàn,practice
食慾,食欲,shí yù,"appetite"
市民,市民,shìmín,"citizen, burgess, citizenry, metropolitan, townsman, townsfolk, town, towner, civic, residents of a city, townee, burgher, townspeople"
事後,事后,shì hoù,"after the event, in hindsight, in retrospect"
試點,试点,shì diǎn,"test point, to carry out trial, pilot scheme"
適當,适当,shìdàng,"beseem, proper, suitable, suit"
收藏,收藏,shōucáng,"collect, store up"
收取,收取,shōuqǔ,"collect, gather"
收養,收养,shoū yǎng,"to take in and care for (an elderly person, a dog etc), to adopt (a child), adoption"
手續費,手续费,shoǔ xù fèi,"service charge, processing fee, commission"
首,首,shǒu,m.[general]
首次,首次,shoǔ cì,"first, first time, for the first time"
首腦,首脑,shoǔ nǎo,"head (of state), summit (meeting), leader"
首席,首席,shoǔ xí,"chief (representative, correspondent etc)"
首相,首相,shoǔ xiàng,"prime minister (of Japan or UK etc)"
書房,书房,shū fáng,"study (room), studio, CL:間|间[jian1]"
薯片,薯片,shǔ piàn,"fried potato chips"
薯條,薯条,shǔ tiáo,"french fries, french fried potatoes, chips"
雙打,双打,shuāngdǎ,"foursome, doubles"
爽,爽,shuǎng,comfortable
水泥,水泥,shuǐní,cement
稅,税,shuì,"droit, tax, geld, due, scot, exaction, capital levy, gabelle, duty, taxation, revenue enhancement"
順,顺,shùn,"to obey, to follow, to arrange, to make reasonable, along, favorable"
說明書,说明书,shuōmíngshū,"(technical) manual, (book of) directions, synopsis (of play/etc.)"
說實話,说实话,shuō shí huà,"to speak the truth, truth to tell, frankly"
司長,司长,sī zhǎng,"bureau chief"
死亡,死亡,sǐwáng,be dead/doomed
四處,四处,sìchù,"about, all around, everywhere, everyplace, all over, throughout, around"
寺,寺,sì,"Buddhist temple, mosque, government office (old)"
送禮,送礼,sòng lǐ,"to give a present"
送行,送行,sòng xíng,"to see someone off, to throw someone a send-off party"
素質,素质,sùzhí,"calibre, fibre, stuff, vocation, diathesis, caliber, character, strain, predisposition, quality, timber"
算了,算了,suànle5,"Forget about it., That's enough!"
算是,算是,suànshì,"regard_as, considered to be"
雖,虽,suī,"conj.: though, although, even if"
歲數,岁数,suì shu,"age (number of years old)"
所,所,suǒ,that which
踏實,踏实,tàshí,"dependable, at ease, solid"
塔,塔,tǎ,"pagoda, stupa, tower"
踏,踏,tà,"tread, trample, stamp, step, step on"
檯燈,台灯,tái dēng,"desk lamp, table lamp"
太陽能,太阳能,tài yáng néng,"solar energy"
嘆氣,叹气,tàn qì,"to sigh, to heave a sigh"
探索,探索,tànsuǒ,"explore, probe"
探討,探讨,tàntǎo,"inquire into, explore"
趟,趟,tàng,m.[activity]
搯,掏,tāotāo,"variant of 掏[tao1]"
特,特,tè,"unusual, special, extraordinarily"
特大,特大,tèdà,"Extraordinary"
特地,特地,tèdì,"purposely, specially, on purpose"
特快,特快,tè kuài,"express (train, delivery etc)"
特意,特意,tè yì,"specially, intentionally"
疼痛,疼痛,téngtòng,"pain, soreness, fester, suffer, hurt, ache, sore"
踢,踢,tī,"shin, spurn, drop-kick, prick, boot, kick, toe, dropkick, play, lunge, punt"
提交,提交,tí jiāo,"to submit (a report etc), to refer (a problem) to sb"
提升,提升,tíshēng,"promote, hoist, elevate"
天然,天然,tiānrán,natural
天堂,天堂,tiāntáng,"paradise, heaven"
天下,天下,tiānxià,"rule, world, China, domination, everywhere under heaven"
添,添,tiān,"add, fuel, appose, addition, increase, have a baby"
田,田,tián,"farmland, glebe, cropland, Surname, field, plow, Tian"
田徑,田径,tiánjìng,"track and field, track-and-field, athlete, athletics, sport"
跳水,跳水,tiàoshuǐ,dive
聽取,听取,tīng qǔ,"to hear (news), to listen to"
